"구분","순위","상병명 코드","상병명칭","진료인원(실인원)","진료인원(연인원)","진료비(천원)","연령별 59이하","연령별(60-64)","연령별(65-69)","연령별(70-79)","연령별(80-89)","연령별(90이상)"
"입원(실인원)","1"," H25 "," 노인성 백내장 ","264","448","544945","4","12","18","208","20","2"
"입원(실인원)","2"," E11 "," 인슐린-비의존 당뇨병 ","184","2993","723447","15","5","18","103","33","10"
"입원(실인원)","3"," M48 "," 기타 척추병증 ","138","1946","718612","4","2","9","90","27","6"
"입원(실인원)","4"," N31 "," 달리 분류되지 않은 방광의 신경근육기능장애 ","93","2443","524355","0","0","0","59","21","13"
"입원(실인원)","5"," N40 "," 전립선증식증 ","79","1317","306321","1","1","3","65","4","5"
"입원(실인원)","6"," K08 "," 치아 및 지지구조의 기타 장애 ","79","154","197132","3","2","3","70","1","0"
"입원(실인원)","7"," M17 "," 윤충증 ","64","2292","910136","2","3","3","48","7","1"
"입원(실인원)","8"," J44 "," 기타 만성 폐쇄성 폐질환 ","53","1424","345166","4","0","6","34","2","7"
"입원(실인원)","9"," M75 "," 어깨병변 ","46","903","370505","1","3","8","31","3","0"
"입원(실인원)","10"," M19 "," 기타관절증 ","46","1587","515792","1","8","4","25","8","0"
"입원(실인원)","11"," J21 "," 급성 세기관지염 ","41","526","146585","1","0","0","18","19","3"
"입원(실인원)","12"," I10 "," 본태성(일차성)고혈압 ","38","772","161420","2","0","1","7","12","16"
"입원(실인원)","13"," C67 "," 방광의 악성 신생물 ","36","767","187054","1","0","0","13","20","2"
"입원(실인원)","14"," C61 "," 전립선의 악성 신생물 ","30","1013","240299","0","0","0","16","11","3"
"입원(실인원)","15"," M96 "," 달리 분류되지 않은 처치후 근육골격 장애 ","27","502","135751","2","0","4","20","1","0"
"입원(실인원)","16"," J45 "," 천식 ","23","549","132476","0","0","1","19","0","3"
"입원(실인원)","17"," K56 "," 헤르니아가 없는 마비성 장폐색증 및 창자폐쇄 ","23","602","125347","2","0","0","11","6","4"
"입원(실인원)","18"," K29 "," 위염 및 십이지장염 ","21","367","98917","1","1","3","8","5","3"
"입원(실인원)","19"," D41 "," 비뇨기관의 행동양식 불명 또는 미상의 신생물 ","19","146","51916","0","0","2","12","4","1"
"입원(실인원)","20"," A09 "," 감염성 및 상세불명 기원의 기타 위장염 및 대장염 ","18","200","46245","5","0","0","8","5","0"
"입원(연인원)","1"," E11 "," 인슐린-비의존 당뇨병 ","184","2993","723447","157","29","281","1752","563","211"
"입원(연인원)","2"," N31 "," 달리 분류되지 않은 방광의 신경근육기능장애 ","93","2443","524355","0","0","0","1537","605","301"
"입원(연인원)","3"," M17 "," 윤충증 ","64","2292","910136","60","106","90","1754","256","26"
"입원(연인원)","4"," M48 "," 기타 척추병증 ","138","1946","718612","22","36","54","1198","583","53"
"입원(연인원)","5"," M19 "," 기타관절증 ","46","1587","515792","18","213","169","898","289","0"
"입원(연인원)","6"," J44 "," 기타 만성 폐쇄성 폐질환 ","53","1424","345166","127","0","133","749","14","401"
"입원(연인원)","7"," N40 "," 전립선증식증 ","79","1317","306321","21","7","8","1093","82","106"
"입원(연인원)","8"," C61 "," 전립선의 악성 신생물 ","30","1013","240299","0","0","0","470","470","73"
"입원(연인원)","9"," M75 "," 어깨병변 ","46","903","370505","35","46","200","562","60","0"
"입원(연인원)","10"," I10 "," 본태성(일차성)고혈압 ","38","772","161420","5","0","1","120","203","443"
"입원(연인원)","11"," C67 "," 방광의 악성 신생물 ","36","767","187054","3","0","0","186","529","49"
"입원(연인원)","12"," K56 "," 헤르니아가 없는 마비성 장폐색증 및 창자폐쇄 ","23","602","125347","23","0","0","175","172","232"
"입원(연인원)","13"," J45 "," 천식 ","23","549","132476","0","0","7","455","0","87"
"입원(연인원)","14"," J21 "," 급성 세기관지염 ","41","526","146585","7","0","0","201","261","57"
"입원(연인원)","15"," J18 "," 상세불명 병원체의 폐렴, 제외: 보통간질(J84.1) ","12","518","142812","0","0","0","251","214","53"
"입원(연인원)","16"," G81 "," 편마비 ","10","506","101753","0","44","0","304","142","16"
"입원(연인원)","17"," M96 "," 달리 분류되지 않은 처치후 근육골격 장애 ","27","502","135751","26","0","66","387","23","0"
"입원(연인원)","18"," H25 "," 노인성 백내장 ","264","448","544945","5","18","30","353","38","4"
"입원(연인원)","19"," K81 "," 담낭염 ","3","402","112787","0","0","0","7","0","395"
"입원(연인원)","20"," K59 "," 기타 기능적 창자 장애 ","10","373","99208","0","0","0","22","351","0"
