"구분","순위","상병코드","상병명","실인원","연인원","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원실인원","1"," U07 "," 바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19] ","801","7164","729","12","20","26","14",""
"입원실인원","2"," I20 "," 협심증 ","617","6529","9","17","46","468","62","15"
"입원실인원","3"," H25 "," 노년백내장 ","554","723","9","11","44","437","42","11"
"입원실인원","4"," M48 "," 기타 척추병증 ","255","9712","","9","12","183","35","16"
"입원실인원","5"," E11 "," 2형 당뇨병 ","232","11123","10","9","8","170","31","4"
"입원실인원","6"," Z51 "," 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ","190","5229","18","11","22","72","48","19"
"입원실인원","7"," M51 "," 기타 추간판장애 ","188","5806","10","7","8","149","11","3"
"입원실인원","8"," M17 "," 무릎관절증 ","154","4883","2","7","16","118","11",""
"입원실인원","9"," I48 "," 심방세동 및 조동 ","137","1764","1","7","7","107","12","3"
"입원실인원","10"," Z03 "," 의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된 ","122","151","3","10","9","88","12",""
"입원실인원","11"," S32 "," 요추 및 골반의 골절 ","115","4033","3","2","5","62","33","10"
"입원실인원","12"," R07 "," 목구멍 및 가슴의 통증 ","111","297","11","4","13","72","8","3"
"입원실인원","13"," N18 "," 만성 신장병 ","102","11137","4","7","6","58","14","13"
"입원실인원","14"," C61 "," 전립선의 악성 신생물 ","97","453","2","1","5","81","6","2"
"입원실인원","15"," M75 "," 어깨병변 ","94","2159","4","5","8","74","3",""
"입원실인원","16"," J18 "," 상세불명 병원체의 폐렴 ","91","7103","","","1","47","20","23"
"입원실인원","17"," K80 "," 담석증 ","75","685","7","3","5","50","8","2"
"입원실인원","18"," I50 "," 심부전 ","67","3022","2","","1","20","32","12"
"입원실인원","19"," D13 "," 기타 및 부위불명의 소화계통의 양성 신생물 ","65","354","1","1","7","50","6",""
"입원실인원","20"," I63 "," 뇌경색증 ","63","1770","3","2","2","27","19","10"
"입원연인원","1"," N18 "," 만성 신장병 ","102","11137","154","307","2196","5601","2119","760"
"입원연인원","2"," E11 "," 2형 당뇨병 ","232","11123","250","465","180","8998","879","351"
"입원연인원","3"," M48 "," 기타 척추병증 ","255","9712","","159","290","6464","1806","993"
"입원연인원","4"," U07 "," 바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19] ","801","7164","6492","99","214","232","127",""
"입원연인원","5"," J18 "," 상세불명 병원체의 폐렴 ","91","7103","","","12","1938","4432","721"
"입원연인원","6"," I20 "," 협심증 ","617","6529","25","202","128","4636","840","698"
"입원연인원","7"," M51 "," 기타 추간판장애 ","188","5806","75","344","329","4527","463","68"
"입원연인원","8"," Z51 "," 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ","190","5229","483","222","533","2031","1443","517"
"입원연인원","9"," M17 "," 무릎관절증 ","154","4883","114","194","516","3805","254",""
"입원연인원","10"," S32 "," 요추 및 골반의 골절 ","115","4033","75","39","190","2399","1019","311"
"입원연인원","11"," I50 "," 심부전 ","67","3022","6","","14","676","2059","267"
"입원연인원","12"," M75 "," 어깨병변 ","94","2159","72","87","158","1732","110",""
"입원연인원","13"," I63 "," 뇌경색증 ","63","1770","86","11","21","795","667","190"
"입원연인원","14"," I48 "," 심방세동 및 조동 ","137","1764","7","29","61","1254","288","125"
"입원연인원","15"," H25 "," 노년백내장 ","554","723","10","13","58","577","51","14"
"입원연인원","16"," K80 "," 담석증 ","75","685","36","15","26","365","163","80"
"입원연인원","17"," C61 "," 전립선의 악성 신생물 ","97","453","2","1","28","405","15","2"
"입원연인원","18"," D13 "," 기타 및 부위불명의 소화계통의 양성 신생물 ","65","354","4","2","20","285","43",""
"입원연인원","19"," R07 "," 목구멍 및 가슴의 통증 ","111","297","22","4","28","200","22","21"
"입원연인원","20"," Z03 "," 의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된 ","122","151","3","10","9","115","14",""
"외래","1"," N40 ","전립선증식증","33289","33289","490","910","1675","24995","3900","1319"
"외래","2"," E11 ","2형 당뇨병","23418","23418","1370","1266","2132","15483","2620","547"
"외래","3"," I10 ","본태성(원발성) 고혈압","22925","22925","1248","1386","2295","14066","3038","892"
"외래","4"," M51 ","기타 추간판장애","14974","14974","1086","645","1065","10960","1047","171"
"외래","5"," M48 ","기타 척추병증","13584","13584","246","411","987","9523","2039","378"
"외래","6"," I20 ","협심증","13018","13018","321","382","907","9703","1444","261"
"외래","7"," Z26 ","기타 단일 감염성 질환에 대한 예방접종의 필요","10966","10966","4095","1363","1245","3802","374","87"
"외래","8"," I63 ","뇌경색증","10346","10346","225","327","567","6600","2125","502"
"외래","9"," H25 ","노년백내장","8992","8992","84","194","628","6995","883","208"
"외래","10"," K08 ","치아 및 지지구조의 기타 장애","8964","8964","278","373","618","6710","770","215"
"외래","11"," N18 ","만성 신장병","7971","7971","802","508","282","4973","852","554"
"외래","12"," K05 ","치은염 및 치주질환","6765","6765","649","416","581","4626","436","57"
"외래","13"," M17 ","무릎관절증","6313","6313","285","304","796","4090","724","114"
"외래","14"," K21 ","위-식도역류병","5859","5859","421","305","680","3890","450","113"
"외래","15"," F00 ","알츠하이머병에서의 치매(G30.-+)","5426","5426","10","23","90","1966","2444","893"
"외래","16"," M75 ","어깨병변","5248","5248","366","292","510","3834","234","12"
"외래","17"," U07 ","바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19]","5044","5044","3499","215","284","900","123","23"
