월,퇴원과,퇴원결과,건수,지역,년도,주상병코드,주상병명
2022-01,순환기내과,48시간 후 사망,2,광주,2022,NA,NA
2022-01,내분비내과,호전,5,광주,2022,NA,NA
2022-01,응급의학과,호전,20,광주,2022,NA,NA
2022-01,신장내과,경쾌,2,광주,2022,NA,NA
2022-01,호흡기내과,불변(호전안됨),4,광주,2022,NA,NA
2022-02,안과,호전,21,광주,2022,NA,NA
2022-02,가정의학과,경쾌,1,광주,2022,NA,NA
2022-03,순환기내과,경쾌,4,광주,2022,NA,NA
2022-03,호흡기내과,호전,12,광주,2022,NA,NA
2022-03,순환기내과,호전,39,광주,2022,NA,NA
2022-03,호흡기내과,48시간 후 사망,5,광주,2022,NA,NA
2022-03,응급의학과,48시간 후 사망,2,광주,2022,NA,NA
2022-03,신장내과,48시간 후 사망,2,광주,2022,NA,NA
2022-03,신경과,진단만실시,2,광주,2022,NA,NA
2022-04,정형외과,진단만실시,1,광주,2022,NA,NA
2022-05,신경과,호전,31,광주,2022,NA,NA
2022-05,외과,진단만실시,1,광주,2022,NA,NA
2022-05,소화기내과,48시간 후 사망,1,광주,2022,NA,NA
2022-06,신경과,호전,41,광주,2022,NA,NA
2022-06,정형외과,경쾌,3,광주,2022,NA,NA
2022-06,재활의학과,불변(호전안됨),2,광주,2022,NA,NA
2022-07,감염내과,호전,8,광주,2022,NA,NA
2022-07,혈액종양내과,48시간 후 사망,1,광주,2022,NA,NA
2022-07,가정의학과,48시간 전 사망,1,광주,2022,NA,NA
2022-07,가정의학과,불변(호전안됨),2,광주,2022,NA,NA
2022-07,소화기내과,치료안함,1,광주,2022,NA,NA
2022-07,호흡기내과,불변(호전안됨),1,광주,2022,NA,NA
2022-07,재활의학과,불변(호전안됨),1,광주,2022,NA,NA
2022-08,재활의학과,호전,57,광주,2022,NA,NA
2022-08,응급의학과,호전,10,광주,2022,NA,NA
2022-08,응급의학과,48시간 전 사망,1,광주,2022,NA,NA
2022-08,비뇨의학과,불변(호전안됨),2,광주,2022,NA,NA
2022-08,비뇨의학과,치료안함,1,광주,2022,NA,NA
2022-08,소화기내과,48시간 전 사망,1,광주,2022,NA,NA
2022-08,외과,48시간 후 사망,2,광주,2022,NA,NA
2022-08,순환기내과,48시간 전 사망,1,광주,2022,NA,NA
2022-09,신경과,불변(호전안됨),1,광주,2022,NA,NA
2022-09,호흡기내과,48시간 후 사망,2,광주,2022,NA,NA
2022-09,순환기내과,경쾌,2,광주,2022,NA,NA
2022-10,호흡기내과,48시간 후 사망,2,광주,2022,NA,NA
2022-10,신장내과,호전,10,광주,2022,NA,NA
2022-10,순환기내과,경쾌,1,광주,2022,NA,NA
2022-11,소화기내과,호전,27,광주,2022,NA,NA
2022-11,재활의학과,호전,50,광주,2022,NA,NA
2022-11,비뇨의학과,호전,62,광주,2022,NA,NA
2022-11,비뇨의학과,진단만실시,32,광주,2022,NA,NA
2022-12,외과,호전,62,광주,2022,NA,NA
2022-12,응급의학과,48시간 후 사망,2,광주,2022,NA,NA
2022-12,이비인후과,경쾌,1,광주,2022,NA,NA
2022-01,정형외과,호전,115,광주,2022,NA,NA
2022-01,호흡기내과,호전,19,광주,2022,NA,NA
2022-01,가정의학과,경쾌,3,광주,2022,NA,NA
2022-01,비뇨의학과,치료안함,4,광주,2022,NA,NA
2022-01,혈액종양내과,경쾌,8,광주,2022,NA,NA
2022-01,비뇨의학과,불변(호전안됨),3,광주,2022,NA,NA
2022-02,신장내과,진단만실시,1,광주,2022,NA,NA
2022-02,정형외과,호전,74,광주,2022,NA,NA
2022-02,순환기내과,경쾌,25,광주,2022,NA,NA
2022-02,신경과,48시간 후 사망,2,광주,2022,NA,NA
2022-02,순환기내과,진단만실시,1,광주,2022,NA,NA
2022-03,신경과,호전,30,광주,2022,NA,NA
2022-03,내분비내과,호전,4,광주,2022,NA,NA
2022-03,외과,치료안함,2,광주,2022,NA,NA
2022-03,신장내과,경쾌,1,광주,2022,NA,NA
2022-04,외과,호전,47,광주,2022,NA,NA
2022-04,호흡기내과,경쾌,15,광주,2022,NA,NA
2022-04,순환기내과,호전,26,광주,2022,NA,NA
2022-04,신경과,경쾌,1,광주,2022,NA,NA
2022-04,정형외과,호전,60,광주,2022,NA,NA
2022-04,가정의학과,48시간 후 사망,7,광주,2022,NA,NA
2022-04,비뇨의학과,불변(호전안됨),2,광주,2022,NA,NA
2022-04,정형외과,경쾌,2,광주,2022,NA,NA
2022-04,순환기내과,48시간 전 사망,1,광주,2022,NA,NA
2022-04,혈액종양내과,48시간 후 사망,2,광주,2022,NA,NA
2022-04,신장내과,경쾌,1,광주,2022,NA,NA
2022-05,응급의학과,불변(호전안됨),2,광주,2022,NA,NA
2022-06,응급의학과,불변(호전안됨),3,광주,2022,NA,NA
2022-06,외과,호전,73,광주,2022,NA,NA
2022-06,비뇨의학과,진단만실시,30,광주,2022,NA,NA
2022-06,감염내과,호전,4,광주,2022,NA,NA
2022-06,신장내과,호전,9,광주,2022,NA,NA
2022-06,호흡기내과,호전,8,광주,2022,NA,NA
2022-06,신장내과,48시간 후 사망,1,광주,2022,NA,NA
2022-06,소아청소년과,호전,3,광주,2022,NA,NA
2022-07,혈액종양내과,경쾌,5,광주,2022,NA,NA
2022-07,소아청소년과,진단만실시,7,광주,2022,NA,NA
2022-07,순환기내과,경쾌,1,광주,2022,NA,NA
2022-07,비뇨의학과,불변(호전안됨),1,광주,2022,NA,NA
2022-08,응급의학과,48시간 후 사망,7,광주,2022,NA,NA
2022-08,감염내과,호전,11,광주,2022,NA,NA
2022-08,순환기내과,호전,43,광주,2022,NA,NA
2022-08,신장내과,48시간 후 사망,2,광주,2022,NA,NA
2022-08,호흡기내과,48시간 후 사망,1,광주,2022,NA,NA
2022-08,신장내과,경쾌,1,광주,2022,NA,NA
2022-09,호흡기내과,48시간 전 사망,1,광주,2022,NA,NA
2022-09,이비인후과,호전,1,광주,2022,NA,NA
2022-09,비뇨의학과,치료안함,1,광주,2022,NA,NA
2022-10,외과,호전,58,광주,2022,NA,NA
2022-10,비뇨의학과,진단만실시,28,광주,2022,NA,NA
2022-10,호흡기내과,호전,9,광주,2022,NA,NA
2022-10,신경과,48시간 전 사망,2,광주,2022,NA,NA
2022-10,정형외과,호전,9,광주,2022,NA,NA
2022-10,소아청소년과,호전,8,광주,2022,NA,NA
2022-10,신경과,진단만실시,1,광주,2022,NA,NA
2022-10,순환기내과,불변(호전안됨),1,광주,2022,NA,NA
2022-10,순환기내과,48시간 후 사망,1,광주,2022,NA,NA
2022-11,응급의학과,호전,11,광주,2022,NA,NA
2022-11,순환기내과,호전,30,광주,2022,NA,NA
2022-11,신장내과,호전,4,광주,2022,NA,NA
2022-11,신경과,진단만실시,1,광주,2022,NA,NA
2022-11,호흡기내과,경쾌,1,광주,2022,NA,NA
2022-12,소화기내과,48시간 후 사망,1,광주,2022,NA,NA
2022-12,가정의학과,48시간 후 사망,19,광주,2022,NA,NA
2022-12,신장내과,48시간 후 사망,1,광주,2022,NA,NA
2022-12,비뇨의학과,불변(호전안됨),1,광주,2022,NA,NA
2022-01,호흡기내과,경쾌,17,광주,2022,NA,NA
2022-01,혈액종양내과,호전,17,광주,2022,NA,NA
2022-01,비뇨의학과,경쾌,3,광주,2022,NA,NA
2022-01,소화기내과,호전,21,광주,2022,NA,NA
2022-01,혈액종양내과,불변(호전안됨),2,광주,2022,NA,NA
2022-01,호흡기내과,48시간 전 사망,1,광주,2022,NA,NA
2022-01,소화기내과,불변(호전안됨),4,광주,2022,NA,NA
2022-01,소화기내과,48시간 후 사망,2,광주,2022,NA,NA
2022-02,감염내과,호전,47,광주,2022,NA,NA
2022-02,감염내과,48시간 후 사망,1,광주,2022,NA,NA
2022-02,호흡기내과,호전,15,광주,2022,NA,NA
2022-02,혈액종양내과,48시간 후 사망,3,광주,2022,NA,NA
2022-02,외과,불변(호전안됨),1,광주,2022,NA,NA
2022-02,비뇨의학과,경쾌,2,광주,2022,NA,NA
2022-03,가정의학과,48시간 후 사망,10,광주,2022,NA,NA
