class_name,precision,recall,f1_score,support,accuracy
가정의학과,1.0,0.4605601233299075,0.630662327381476,7784.0,0.5
내과,0.7352853512377248,0.7077471700582346,0.7212534975392199,397358.0,0.7959866220735786
비뇨의학과,0.9826533723800264,0.9919963757173059,0.9873027709614112,172172.0,0.9696969696969697
소아청소년과,1.0,1.0,1.0,15036.0,1.0
신경과,0.8869257950530035,0.6117344474768917,0.7240641284696373,89037.0,0.5
신경외과,1.0,0.9610516701461378,0.9801390598489637,15328.0,0.84375
안과,0.3254146259593232,0.4761883498180357,0.38662195232484364,44789.0,0.7631578947368421
외과,1.0,0.9163152773272786,0.9563303994583615,3083.0,0.7692307692307693
응급실,1.0,1.0,1.0,15418.0,1.0
이비인후과,1.0,1.0,1.0,15142.0,1.0
재활의학과,1.0,0.9001578033769922,0.9474558394857698,63370.0,0.7738095238095238
정신건강의학과,0.06148294410022469,1.0,0.1158434894162925,4515.0,1.0
정형외과,1.0,0.9443343548773167,0.9713703329969727,254843.0,0.8671328671328671
치과,1.0,0.8449353713943578,0.9159511866865839,113572.0,0.8269230769230769
피부과,1.0,0.7447571493418066,0.8537086661289903,22030.0,0.6086956521739131
