병상 구분,병동 구분,병상 합계,병실 합계,1인실 병상,1인실 병실,2인실 병상,2인실 병실,4인실 병상,4인실 병실,5인실 병상,5인실 병실,6인실 병상,6인실 병실,기타 병상,기타 병실,년도,지역,3인실 병상,3인실 병실,7인실 병상,7인실 병실,8인실 병상,8인실 병실,9인실 병상,9인실 병실,특실 병상,특실 병실,격리실 병상,격리실 병실,국비 병상,국비 병실,사비 병상,사비 병실
운영병상(일반),일반병동,470,105,18,18,32,16,4,1,20,4,396,66,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),간호간병병동,45,9,1,1,2,1,0,0,0,0,42,7,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,29,8,1,1,0,0,28,7,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,28,2,1,1,0,0,0,0,0,0,0,0,27,1,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,5,5,5,5,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,8,0,8,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,물리치료실,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2019,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),일반병동,420,96,18,18,30,15,4,1,20,4,348,58,0,0,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),간호간병병동,89,17,1,1,4,2,0,0,0,0,84,14,0,0,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,29,8,1,1,0,0,28,7,0,0,0,0,0,0,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,28,2,1,1,0,0,0,0,0,0,0,0,27,1,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,5,5,5,5,0,0,0,0,0,0,0,0,0,0,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,16,1,0,0,0,0,0,0,0,0,0,0,16,1,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,8,8,0,0,0,0,0,0,0,0,0,0,8,8,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,5,1,0,0,0,0,0,0,0,0,0,0,5,1,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
