년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료과,진료비(천원),log_cost,cost_bin
2021,부산,입원(연인원),M48,18220.0,623.0,219.0,776.0,15301,1240.0,61.0,정형외과,4465311.0,15.311849646671174,7
2021,부산,입원(연인원),M51,8332.0,466.0,46.0,353.0,7187,280.0,0.0,재활의학과,2100664.0,14.55776451923201,6
2021,부산,입원(연인원),M17,6078.0,101.0,177.0,559.0,4809,432.0,0.0,정형외과,1832364.0,14.421118040179255,6
2021,부산,입원(연인원),M75,4463.0,83.0,146.0,147.0,3955,132.0,0.0,정형외과,1170617.0,13.97304237245092,5
2021,부산,입원(연인원),S46,4194.0,130.0,331.0,378.0,3355,0.0,0.0,정형외과,1363897.0,14.125857334530725,5
2021,부산,입원(연인원),I63,3652.0,233.0,0.0,0.0,2920,469.0,30.0,신경과,778332.0,13.564909732151408,4
2021,부산,입원(연인원),I20,3598.0,31.0,77.0,181.0,2986,270.0,53.0,내과,3223656.0,14.98602698737072,7
2021,부산,입원(연인원),U07,3593.0,2048.0,540.0,466.0,367,162.0,10.0,내과,1132642.0,13.9400643976837,5
2021,부산,입원(연인원),E11,3531.0,213.0,5.0,74.0,3002,237.0,0.0,내과,634669.0,13.360860457752386,3
2021,부산,입원(연인원),J18,3336.0,103.0,15.0,16.0,2024,682.0,496.0,내과,1138563.0,13.94527837722305,5
2021,부산,입원(연인원),I50,2896.0,13.0,12.0,83.0,1930,711.0,147.0,내과,921568.0,13.733832931205244,4
2021,부산,입원(연인원),I69,2759.0,220.0,0.0,290.0,2148,10.0,91.0,신경과,600973.0,13.306306951350269,3
2021,부산,입원(연인원),M50,2600.0,99.0,139.0,410.0,1793,93.0,66.0,재활의학과,731100.0,13.502306896082414,3
2021,부산,입원(연인원),M96,2589.0,184.0,0.0,49.0,2333,23.0,0.0,신경외과,544039.0,13.20677805254669,2
2021,부산,입원(연인원),M43,2384.0,0.0,146.0,331.0,1880,27.0,0.0,정형외과,618731.0,13.335427501532797,3
2021,부산,입원(연인원),C16,2299.0,75.0,21.0,146.0,1948,76.0,33.0,내과,641863.0,13.372131722225028,3
2021,부산,입원(연인원),C34,2173.0,52.0,145.0,107.0,1318,543.0,8.0,내과,859974.0,13.664658598039715,4
2021,부산,입원(연인원),C22,2112.0,62.0,7.0,0.0,1677,366.0,0.0,내과,673988.0,13.420969069286485,3
2021,부산,입원(연인원),S32,2040.0,102.0,13.0,35.0,963,727.0,200.0,신경외과,432912.0,12.97829206300921,2
2021,부산,입원(연인원),G81,2028.0,60.0,0.0,182.0,1636,150.0,0.0,재활의학과,431461.0,12.97493472073776,2
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,비뇨의학과,2862117.0,14.867072468157758,7
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,내과,2335613.0,14.66378536955064,7
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,내과,1626120.0,14.301707982065336,6
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,내과,1222231.0,14.016189253394426,5
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,정형외과,3357376.0,15.026670572307879,7
