병원명,진료과,현재_진료비(천원),최적_진료비(천원),변화량(천원),변화율(%),배분비율,효율성_점수,적절성_점수,종합_성과지표,현재_1인당_진료비,현재_의사당_환자수,현재_병상가동률,예측환자수
광주,가정의학과,555652131.0,450981841.9468074,-104670289.05319262,-18.837377419001136,0.8116262258099887,1284.1229134248492,0.44571023361097367,770.6520321483539,43271.71801261584,4280.333333333333,6.871254280821917,28810.1978183609
광주,감염내과,0.0,0.0,0.0,0.0,1.9063571821788405,0.4,0.0,0.24,0.0,0.0,0.0,3653.9728311971703
광주,건강관리과,0.0,0.0,0.0,0.0,1.4907884894416696,0.4,0.0,0.24,0.0,0.0,0.0,7025.861196196012
광주,내과,37245288524.0,46089223997.79233,8843935473.792328,23.74511199743694,1.2374511199743694,8636.809094310025,1.0,5182.485456586014,117614.71972261519,28788.363636363636,169.45205479452054,212273.2518929069
광주,내분비내과,0.0,0.0,0.0,0.0,0.3964354168406294,0.4,0.0,0.24,0.0,0.0,0.0,15298.775481648696
광주,마취과,0.0,0.0,0.0,0.0,0.39638958863878504,0.4,0.0,0.24,0.0,0.0,0.0,763.5895799391718
광주,비뇨기과,0.0,0.0,0.0,0.0,0.21035886311957896,0.4,0.0,0.24,0.0,0.0,0.0,37223.33400795642
광주,비뇨의학과,14298001048.0,24960516240.880985,10662515192.880985,74.57346769723769,1.7457346769723767,7971.039568469801,1.0,4783.02374108188,134533.96797079357,26569.5,56.86964897260274,47539.968198302435
광주,산부인과,0.0,0.0,0.0,0.0,1.2421185223120967,0.4,0.0,0.24,0.0,0.0,0.0,3944.976546291391
광주,소아청소년과,3108741676.0,4493182158.831906,1384440482.8319063,44.533789781248664,1.4453378978124864,7023.683524860433,1.0,4214.61011491626,66392.05697932684,23412.0,25.055650684931507,23883.451585000035
광주,소화기내과,0.0,0.0,0.0,0.0,0.13911053916202465,0.4,0.0,0.24,0.0,0.0,0.0,37765.79235256334
광주,순환기내과,0.0,0.0,0.0,0.0,1.942828719107789,0.4,0.0,0.24,0.0,0.0,0.0,49466.99663275686
광주,신경과,11178899745.0,18798896341.944824,7619996596.944824,68.16410175208011,1.6816410175208012,8531.952182704648,1.0,5119.571309622788,131026.27517053846,28439.333333333332,45.653895547945204,49956.370521871955
광주,신경외과,465527.0,234366.91943577916,-231160.08056422084,-49.65556897112753,0.5034443102887247,318.00560298413774,0.2007714516800972,190.88367037115466,219.58820754716982,1060.0,1.134417808219178,10559.27016644747
광주,신장내과,0.0,0.0,0.0,0.0,0.4454674376934912,0.4,0.0,0.24,0.0,0.0,0.0,20529.96297521323
광주,안과,985794021.0,442097633.6521062,-543696387.3478937,-55.15314312784757,0.44846856872152424,3976.2472924340814,1.0,2386.1483754604487,37188.54764599366,13254.0,14.184503424657535,18988.007456048228
광주,외과,4970533510.0,3370321252.197093,-1600212257.802907,-32.19397383768784,0.6780602616231216,2965.2352612940117,0.6131443884475679,1779.386414531786,251443.4191622825,9884.0,10.57791095890411,32240.366824608765
광주,응급의학과,0.0,0.0,0.0,0.0,1.097037220101252,0.4,0.0,0.24,0.0,0.0,0.0,10151.651764113984
광주,이비인후과,199356.0,183546.1791591935,-15809.820840806497,-7.930446457998001,0.9206955354200199,584.2647625820682,0.24632502088556252,350.65738755759514,51.18254172015404,1947.5,2.0842251712328768,15812.441570073128
광주,재활의학과,3827255668.0,2500481484.068473,-1326774183.9315271,-34.666463362372035,0.6533353663762796,1808.3680087271177,0.30718048760447614,1085.1436774313124,158734.83754303015,6027.75,12.901862157534246,78491.31365090216
광주,정신건강의학과,0.0,0.0,0.0,0.0,1.262520499972521,0.4,0.0,0.24,0.0,0.0,0.0,12049.99843044999
광주,정신과,0.0,0.0,0.0,0.0,0.36503833523887946,0.4,0.0,0.24,0.0,0.0,0.0,10091.999848448497
광주,정형외과,15097544336.0,9890021322.792627,-5207523013.207373,-34.49251677830855,0.6550748322169144,23715.2820033326,1.0,14229.569201999559,95493.63906388362,79050.0,84.59974315068493,37525.31964592315
광주,치과,5885281844.0,4685199323.2744,-1200082520.7256002,-20.391249774198585,0.7960875022580142,13343.179335571447,1.0,8006.307601342867,132321.91568675946,44477.0,23.79976455479452,21713.065329293313
광주,피부과,144668.0,139826.3917057493,-4841.6082942507055,-3.3467029987631722,0.9665329700123683,1437.621797021898,0.28820931498129054,862.6883619391313,30.18948247078464,4792.0,2.5642123287671232,16626.80472458386
광주,한의과,0.0,0.0,0.0,0.0,1.5918343266467259,0.4,0.0,0.24,0.0,0.0,0.0,6093.699434914403
광주,핵의학과,0.0,0.0,0.0,0.0,0.4793801861008835,0.4,0.0,0.24,0.0,0.0,0.0,241.70614552366908
광주,혈액종양내과,0.0,0.0,0.0,0.0,1.077045432985862,0.4,0.0,0.24,0.0,0.0,0.0,14961.075234372216
광주,호흡기내과,0.0,0.0,0.0,0.0,1.2255876808378807,0.4,0.0,0.24,0.0,0.0,0.0,0.0
광주,흉부외과,0.0,0.0,0.0,0.0,0.18825578416799568,0.4,0.0,0.24,0.0,0.0,0.0,3064.0
대구,가정의학과,0.0,0.0,0.0,0.0,1.2543352186127328,0.4,0.0,0.24,0.0,0.0,0.0,31829.186048157895
대구,감염내과,0.0,0.0,0.0,0.0,0.4239958350058539,0.4,0.0,0.24,0.0,0.0,0.0,17453.985762963723
대구,건강관리과,0.0,0.0,0.0,0.0,0.22359802667203107,0.4,0.0,0.24,0.0,0.0,0.0,27401.47365288796
대구,내과,4742643452.569468,9024693328.192472,4282049875.623005,90.2882520781333,1.9028825207813331,13367.566700488986,1.0,8020.94002029339,11826.510163058685,44557.555555555555,255.50684931506845,0.0
대구,내분비내과,0.0,0.0,0.0,0.0,1.9347008628416626,0.4,0.0,0.24,0.0,0.0,0.0,27945.004340786243
대구,마취과,0.0,0.0,0.0,0.0,1.635954961421276,0.4,0.0,0.24,0.0,0.0,0.0,2656.2003165742312
대구,마취통증의학과,0.0,0.0,0.0,0.0,0.6787661614294043,0.4,0.0,0.24,0.0,0.0,0.0,24670.0186638471
대구,비뇨기과,0.0,0.0,0.0,0.0,0.28557701661212936,0.4,0.0,0.24,0.0,0.0,0.0,50659.24993158723
대구,비뇨의학과,1879117573.2821424,2630844935.5723524,751727362.29021,40.00427503730981,1.400042750373098,31036.71974167798,1.0,18622.43184500679,18163.622572926804,103455.0,65.91589678241478,22381.41303558325
대구,산부인과,0.0,0.0,0.0,0.0,0.9362897381052424,0.4,0.0,0.24,0.0,0.0,0.0,4529.655310772881
대구,소아청소년과,0.0,0.0,0.0,0.0,0.3318726462050798,0.4,0.0,0.24,0.0,0.0,0.0,3787.064117972539
대구,소화기내과,0.0,0.0,0.0,0.0,1.0408361292114132,0.4,0.0,0.24,0.0,0.0,0.0,47827.33333333334
대구,순환기내과,0.0,0.0,0.0,0.0,0.16533819011891496,0.4,0.0,0.24,0.0,0.0,0.0,43077.25
대구,신경과,960989639.9498823,1756409187.001253,795419547.0513706,82.77087639496857,1.8277087639496858,7322.9537030218,1.0,4394.172221813079,19684.746511601676,24409.5,31.104810449187635,954.9594059079756
대구,신경외과,113536086.29722273,67177254.6432954,-46358831.653927326,-40.831803495996795,0.5916819650400321,1260.626817269909,0.2916197171059376,756.4927382487878,9006.511684691633,4202.0,8.03185727938834,43227.52976068686
대구,신장내과,0.0,0.0,0.0,0.0,1.3587923402725657,0.4,0.0,0.24,0.0,0.0,0.0,22472.648653070857
