"year","region","진료과","소속부서","보유장비","진료내용"
2019,"광주","내과","소화기","위내시경","상하부 위장 질환, 간질환 위암, 간암진단 및 치료, 내시경"
2019,"광주","내과","(내시경실)","S상 결장경","역행성 담췌관조영술(ERCP)"
2019,"광주","내과","(내시경실)","초음파 내시경","치료내시경(용종절제술/EVL/헤모클립 지혈술/내시경적 점막절제술)"
2019,"광주","내과","순환기","심혈관조영기","심장질환과 혈관질환에 대해 전박적인 검사 및 치료 시행"
2019,"광주","내과","(심혈관조영실)","(Angio)","고혈압, 심부전증, 심장판막질환, 동맥경화증, 고지혈증, 부정맥, 협심증"
2019,"광주","내과","(심혈관조영실)","심장초음파","심방세동, 허혈성 심질환 진단 및 치료"
2019,"광주","내과","(심혈관조영실)","심운동부하검사","관상동맥 조영술, 경피적 혈관내 금속스텐트 삽입술, 풍선혈관성형술"
2019,"광주","내과","(심혈관조영실)","동맥경화검사","말초혈관성형술(상, 하지), 경동맥혈관 성형술"
2019,"광주","내과","(심혈관조영실)","","영구적 심장박동기 삽입술"
2019,"광주","내과","호흡기","흉부 CT","호흡기질환(만성 폐쇄성 폐질환, 폐렴 , 호흡부전, 폐암, 결액) 간질성 폐질환"
2019,"광주","내과","호흡기","폐용량 및 폐기능검사기","(폐섬유화증 포함), 만성기침, 천식, 기관지 확장증, 흉막염, 급성 성인형"
2019,"광주","내과","호흡기","기관지내시경검사","호흡 곤란 증후군등 인공호흡기가 필요한 중증 호흡기 질환 등을 진료"
2019,"광주","내과","내분비","골밀도검사","당뇨병, 갑상선질환, 뇌하수체질환, 골다공증 및 갱년기증후군, 비만 및"
2019,"광주","내과","내분비","체성분검사","기타 내분비 질횐 진단 및 치료"
2019,"광주","내과","내분비","자율신경기능검사",""
2019,"광주","내과","신장(인공신장실)","혈액투석기(31대)","급 만성 신부전증, 당뇨병, 고협압, 전해질장애 진단 및 치료"
2019,"광주","내과","신장(인공신장실)","","인공신장실(혈액투석, 복만투석환자 치료 )"
2019,"광주","내과","혈액종양내과","","각종 혈액 질환과 종양의 진단과 치료"
2019,"광주","내과","감염내과","","세균, 바이러스, 기생충 등 미생물의 인체 감염에 의한 질환 진료감기, 인플루엔자, 폐렴, 폐외 결핵, 패혈증, 신우신염, 매독, 에이즈, 말라리아, 쯔쯔가무시, 감염성 설사, 피부 감염 등의 감염질환증상으로는 발열, 오한, 전신통, 인후통, 기침, 배뇨통, 설사, 피부 발진, 피부 농양, 임파선 종대 등의 증상을 진료"
2019,"광주","소아청소년과","클리닉","","급성 호흡기 질환 및 소화기질환 치료"
2019,"광주","소아청소년과","(성 조숙증, 소아알레르기","","환경오염으로 점점 증가하는 알레르기 환자와 기후의 변화 , 환경호르몬 영향"
2019,"광주","소아청소년과","신생아 및 미숙아","","으로 급속도로 증가 중인 성조숙증 환자 진료"
2019,"광주","소아청소년과","영유아, 소아발달장애","","비염, 천식, 중증 아토피 환자를 대상으로 알레르기 면역치료 시행"
