진료과,현재병상수,최적병상수,변화량,예측환자수,현재_병상가동률,최적_병상가동률,개선도
가정의학과,1864,1864.0,0.0,18732.26,2.75181020235778,2.75181020235778,0.0
내과,1506,1506.0,0.0,56630.72,10.29546499895465,10.29546499895465,0.0
비뇨의학과,1505,1505.0,0.0,25042.91,4.555824191817206,4.555824191817206,0.0
산부인과,514,514.0,0.0,0.0,0.0,0.0,
소아청소년과,1321,1321.0,0.0,209.16,0.043346527677035625,0.043346527677035625,0.0
신경과,1963,1963.0,0.0,17591.1,2.453910107970873,2.453910107970873,0.0
신경외과,1963,1963.0,0.0,67330.11,9.392365315403287,9.392365315403287,0.0
안과,1864,1864.0,0.0,1954.91,0.28718057952917847,0.28718057952917847,0.0
외과,1963,1963.0,0.0,31970.84,4.459844321066876,4.459844321066876,0.0
응급의학과,42,42.0,0.0,1283.24,8.176107040458746,8.176107040458746,0.0
이비인후과,1864,1864.0,0.0,2439.77,0.3584075801535128,0.3584075801535128,0.0
재활의학과,1864,1864.0,0.0,70175.28,10.308903007822542,10.308903007822542,0.0
정형외과,1963,1963.0,0.0,106862.72,14.907055771001312,14.907055771001312,0.0
피부과,942,942.0,0.0,0.0,0.0,0.0,
