"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"부산","상급병실료 차액","1인실","ABZ01","일반","50000","","","","","-"
"부산","상급병실료 차액","2인실","ABZ02","일반","30000","","","","","-"
"부산","출혈, 혈전 검사","혈소판 약물 반응검사 (아스피린) [현장검사]","BZ071","-","80000","","","","","-"
"부산","출혈, 혈전 검사","혈소판 약물 반응검사 (P2Y12) [현장검사]","BZ072","-","120000","","","","","-"
"부산","혈장단백검사","프로칼시토닌 정량검사","CZ115","-","38567","","","","","-"
"부산","지질, 영양 관련검사","호모시스테인검사","CZ133","-","24000","","","","","-"
"부산","내분비검사","PAPP-A 검사","CZ212","-","12567","","","","","위탁검사"
"부산","내분비검사","갑상선자극면역글로불린[생물발광법]","CZ213","-","31591","","","","","위탁검사"
"부산","내분비검사","체성분 분석검사","SZ05300","-","15000","","","","","-"
"부산","일반화학검사","당알부민","CZ241","-","12000","","","","","-"
"부산","유전성대사질환검사","옥살산검사","CZ339","-","19061","","","","","위탁검사"
"부산","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산검사","10596","","","","","위탁검사"
"부산","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산 정량(24시간 소변)","21193","","","","","위탁검사"
"부산","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","-","25000","","","","","-"
"부산","자가면역질환검사","항신경핵항체 1형","CZ422","-","46986","","","","","-"
"부산","자가면역질환검사","항신경핵항체 2형","CZ423","-","46986","","","","","-"
"부산","자가면역질환검사","항GD1b항체 [IgM]","CZ425","-","42866","","","","","위탁검사"
"부산","자가면역질환검사","항MAG항체","CZ427","-","21086","","","","","위탁검사"
"부산","자가면역질환검사","항CCP항체[IgG]","CZ432","-","25300","","","","","-"
"부산","자가면역질환검사","ASCA검사-igA [효소면역측정법]","CZ434","-","52677","","","","","위탁검사"
"부산","자가면역질환검사","항GM1항체 [IgG]","CZ261","-","19170","","","","","위탁검사"
"부산","자가면역질환검사","항GM1항체 [IgM]","CZ262","-","19170","","","","","위탁검사"
