"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비포함여부"
"부산","인체조직유래 2차 가공뼈","ORTHOBLAST ∥ PASTE","BC0101IE","-","380938","","","",""
"부산","인체조직유래 2차 가공뼈","BONGENER","BC0102QT","-","345000","","","",""
"부산","압박고정용 SPLINT","ALKANTIS","BC1202LF","-","65000","","","",""
"부산","흡수성 골절고정용 PLATE","OTPS PLATE","BC5301HP","-","513000","","","",""
"부산","흡수성 골절고정용 PLATE","INION OTPS BIODEGRADABLE DISTAL RADIUS PLATE","BC5302HP","-","760000","","","",""
"부산","흡수성 MESH PLATE","OTPS MESH PLATE","BC5401HP","-","864500","","","",""
"부산","흡수성 PLATE 고정용 SCREW","OTPS SCREW","BC6001HP","2.8MM/3.1MM","","147250","218500","",""
"부산","흡수성 PLATE 고정용 SCREW","OTPS SCREW","BC6002HP","4.5MM","351500","","","",""
"부산","척추고정용","Activ-C/AESCULAP AG","BF0003BP","-","4250000","","","",""
"부산","척추고정용","MOBI-C WITH plug & FIT","BF0001KV","-","4400000","","","",""
"부산","피부봉합용 봉합기","ZIPLINE SURGICAL SKIN CLOSURE","BB3202XS","8cm/16cm","","151050","178200","",""
"부산","두개골 고정용 IMPLANTS","MEDPORE CRANIAL PRODUCTS","BC7005BW","-","2400000","","","",""
"부산","-","유히브(LG생명과학)-예방접종","668901890","-","41000","","","",""
"부산","고주파 정맥내막폐쇄요법용","VNUS CLOSURE CATHETER","BJ4301CA","-","880000","","","",""
"부산","혈관내영상카테타","85900P EAGLE EYE PLATINUM DIGITAL IVUS CATHETER","BJ4504JT","-","1420000","","","",""
"부산","경막외강 신경박리술용","ST REED","BJ4801RA","-","490000","","","",""
"부산","경막외강 신경박리술 및 감압 신경성형술용","BIOVISION","BJ4802IU","-","800000","","","",""
"부산","이물제거용","MULTI SNARE SET","BJ5001CL","-","482155","","","",""
"부산","이물제거용","RETRIEVAL NET","BJ5003FM","-","40000","","","",""
"부산","혈관 중재적 시술후 지혈용","CLO-SUR PLUS P.A.D","BJ7001OO","-","89900","","","",""
"부산","혈관중재적 시술 후 지혈용","Quikclot Bandage","BJ7001LQ","-","90000","","","",""
"부산","바이스펙트랄 지수(BISPECTRAL INDEX) 감시용 SENSOR","BIS SENSOR","BK5001NF","-","62000","","","",""
"부산","혈전방지용 압박스타킹","DUOMED (허벅지형)","BK7306AU","18mm/ 23mm","","25970","47611","",""
"부산","혈전방지용 압박스타킹","COMPRESSION STOCKING THIGH LENGTH","BK7309IK","M / L","35000","","","",""
"부산","수술후 유착방지용","GUARDIX-SL","BM2101JO","1.5G/ 5G","","71200","223484","",""
"부산","창상피복제","NASOPORE","BM2201IE","-","","114950","122748","",""
"부산","불투명.투명멸균드레싱 재료(단순, 건조드레싱류)","STERI STRIP REINFORCED SKIN CLOSURE","BM5003EM","-","960","","","",""
"부산","불투명.투명멸균드레싱 재료(단순, 건조드레싱류)","SECUEX H 압박지혈밴드","BM5001GA","H/일반","","900","1300","",""
"부산","배액관 고정용판","기관 삽관 튜브 고정장치 (FSD)","BJ1001OI","-","8500","","","",""
"부산","호흡회로(가온·가습용)","ADULT EVAQUA 2 BREATHING CIRCUIT","BM6002TF","-","88000","","","",""
"부산","양막이식술용 AMNIOTIC MEMBRANE","AMBIO DRY2","BTA01011","-","273750","","","",""
"부산","고주파를 이용한 하비갑개 용적감소술용 재료","COBLATION REFLEX ULTRA PLASMA WAND","BI0631AD","-","440000","","","",""
"부산","보조기류","TOMAS COLLAR","BZ101007","S/ M/ L","2388","","","",""
