"대분류","중분류","소분류","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함여부","약제비포함여부","특이사항"
"행위","기본진료료","상급병실료 차액","상급병실료 차액","특실","-","입원료(특별병실:병실차액)","200000","","","","","-"
"행위","기본진료료","상급병실료 차액","상급병실료 차액","1인실","-","입원료(1인실:병실차액)-중앙관","100000","","","","","-"
"행위","기본진료료","상급병실료 차액","상급병실료 차액","1인실","-","입원료(1인실:병실차액)-본관","40000","","","","","-"
"행위","기본진료료","상급병실료 차액","상급병실료 차액","2인실","-","입원료(2인실:병실차액)-중앙관","30000","","","","","-"
"행위","기본진료료","상급병실료 차액","상급병실료 차액","2인실","-","입원료(2인실:병실차액)-본관","20000","","","","","-"
"행위","검사료","-","출혈, 혈전 검사","혈소판 약물 반응검사 (아스피린) [현장검사]","BZ071","혈소판 약물반응검사(아스피린)","80000","","","","","-"
"행위","검사료","-","출혈, 혈전 검사","혈소판 약물 반응검사 (P2Y12) [현장검사]","BZ072","혈소판 약물반응검사(P2Y12)","120000","","","","","-"
"행위","검사료","-","혈장단백검사","프로칼시토닌 정량검사","CZ115","프로칼시토닌 정량검사","38597","","","","","-"
"행위","검사료","-","혈장단백검사","프로칼시토닌 정량검사","CZ115","프로칼시토닌 정량검사","23608","","","","","위탁검사"
"행위","검사료","-","지질, 영양 관련검사","호모시스테인검사","CZ133","Homocysteine","24000","","","","","-"
"행위","검사료","-","내분비검사","항뮬러관호르몬[불임,폐경]","CZ214","Anti-Mullerian Hormone, AMH","22423","","","","","위탁검사"
"행위","검사료","-","약물 및 독물검사","약물동력학적 해석 및 보고","CZ371","약물 동력학적해석및보고Therapeutic Drug Monitoring TDM","20000","","","","","-"
"행위","검사료","-","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","인플루엔자 A·B 바이러스항원검사 [현장검사]","25000","","","","","-"
"행위","검사료","-","자가면역질환검사","항GD1b항체 [IgM]","CZ425","Anti GD1b Ab IgM","19708","","","","","위탁검사"
"행위","검사료","-","자가면역질환검사","항GD1b항체 [IgG]","CZ425","Anti GD1b Ab IgG","14134","","","","","위탁검사"
"행위","검사료","-","자가면역질환검사","항MAG항체","CZ427","Anti MAG Ab","24182","","","","","-"
"행위","검사료","-","자가면역질환검사","항CCP항체[IgG]","CZ432","항CCP항체[IgG]","25300","","","","","-"
"행위","검사료","-","자가면역질환검사","항CCP항체[IgG]","CZ432","항CCP항체[IgG]","14147","","","","","위탁검사"
"행위","검사료","-","자가면역질환검사","항GM1항체 [IgG]","CZ261","Anti GM1 Ab IgG","19170","","","","","위탁검사"
"행위","검사료","-","자가면역질환검사","항GM1항체 [IgM]","CZ262","Anti GM1 Ab IgM","19170","","","","","위탁검사"
