"대분류","중분류","소분류","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함여부","약제비포함여부","특이사항"
"행위","","","상급병실료(차액)","1인실","A2Z0010201","","","143690","217170","","","일반과/내소정 /간호간병구분"
"행위","","","감염검사","인플루엔자A/B바이러스항원검사(현장검사)","LZ00900","","25000","","","","",""
"행위","","","평형 및 청각 기능검사","비디오전기안진검사","FZ7330000","","","27000","103500","","","검사방법에 따라"
"행위","","","외피, 근골 기능 검사","적외선체열진단 [부분]","EZ7760002","","50000","","","","",""
"행위","","","시기능검사","인공수정체도수검사 IOL MASTER [편측]","EZ7970000","","50000","","","","",""
"행위","","","시기능검사","안구광학단층촬영 OCT [편측]","EZ7960000","","50000","","","","",""
"행위","","","순환기 기능 검사","동맥경화도검사(맥파전달속도측정)","EZ8680000","","","30000","50000","","","1부위/ 2부위"
"행위","","","내시경","진정내시경 환자관리료 Ⅰ","EA0010000","","52550","","","","",""
"행위","","","내시경","진정내시경 환자관리료 Ⅱ","EA0020000","","76230","","","","",""
"행위","","","내시경","진정내시경 환자관리료 Ⅲ","EA0030000","","116830","","","","",""
"행위","","","내시경","진정내시경 환자관리료 Ⅳ","EA0040000","","161570","","","","",""
"행위","","","초음파 검사료","단순초음파 I","SEB401","","15220","","","","",""
"행위","","","초음파 검사료","단순초음파 II","SEB402","","30430","","","","",""
"행위","","","초음파 검사료","진단초음파안안구","SEB411","","89760","","","","",""
"행위","","","초음파 검사료","진단초음파안안와","SEB412","","89760","","","","",""
"행위","","","초음파 검사료","진단초음파안계측","SEB413","","89760","","","","",""
"행위","","","초음파 검사료","진단초음파경부(도플러)갑상선·부갑상선","SEB414","","90100","","","","",""
"행위","","","초음파 검사료","진단초음파경부갑상선·부갑상선 제외한 경부","SEB415","","90100","","","","",""
"행위","","","초음파 검사료","진단초음파비·부비동 초음파","SEB416","","59520","","","","",""
"행위","","","초음파 검사료","진단초음파흉부유방·액와부 초음파","SEB421","","121440","","","","",""
"행위","","","초음파 검사료","진단초음파흉부유방·액와부 제외한 흉부 초음파","SEB422","","83990","","","","",""
"행위","","","초음파 검사료","단순","SEB431","","109690","","","","",""
"행위","","","초음파 검사료","일반","SEB432","","173140","","","","",""
"행위","","","초음파 검사료","전문","SEB433","","252440","","","","",""
"행위","","","초음파 검사료","약물부하","SEB434","","300360","","","","",""
"행위","","","초음파 검사료","운동부하","SEB435","","285590","","","","",""
"행위","","","초음파 검사료","진단초음파복부충수 APPENDIX","SEB443","","109150","","","","",""
"행위","","","초음파 검사료","진단초음파복부소장·대장 SMALL BOWEL·COLON","SEB444","","109220","","","","",""
"행위","","","초음파 검사료","진단초음파복부서혜부 INGUINAL REGION","SEB445","","75420","","","","",""
"행위","","","초음파 검사료","진단초음파복부직장·항문 RECTUM·ANUS","SEB446","","128550","","","","",""
"행위","","","초음파 검사료","진단초음파복부항문초음파만 시행한 경우","SEB447","","107120","","","","",""
"행위","","","초음파 검사료","진단초음파비뇨기계신장·부신·방광","SEB448","","96180","","","","",""
"행위","","","초음파 검사료","진단초음파비뇨기계신장·부신","SEB449","","86920","","","","",""
"행위","","","초음파 검사료","진단초음파비뇨기계방광 BLADDER","SEB450","","78410","","","","",""
"행위","","","초음파 검사료","진단초음파남성생식기전립선·정낭(경직장으로 실시)","SEB451","","112820","","","","",""
"행위","","","초음파 검사료","진단초음파남성생식기전립선·정낭(경복부로 실시)","SEB452","","62730","","","","",""
"행위","","","초음파 검사료","진단초음파남성생식기음경 PENIS","SEB453","","88640","","","","",""
"행위","","","초음파 검사료","진단초음파남성생식기음낭 SCROTUM","SEB454","","88640","","","","",""
"행위","","","초음파 검사료","진단초음파관절손가락(편측)","SEB461","","63740","","","","",""
"행위","","","초음파 검사료","진단초음파관절발가락(편측)TOE","SEB462","","63740","","","","",""
"행위","","","초음파 검사료","진단초음파관절주관절(편측)ELBOW","SEB463","","70230","","","","",""
"행위","","","초음파 검사료","진단초음파관절슬관절(편측)KNEE","SEB464","","70230","","","","",""
"행위","","","초음파 검사료","진단초음파관절고관절(편측)HIP","SEB465","","87940","","","","",""
"행위","","","초음파 검사료","진단초음파관절견관절(편측)SHOULDER","SEB466","","87940","","","","",""
"행위","","","초음파 검사료","진단초음파관절손목관절(편측)WRIST","SEB467","","87940","","","","",""
"행위","","","초음파 검사료","진단초음파관절발목관절(편측)ANKLE","SEB468","","87940","","","","",""
"행위","","","초음파 검사료","진단초음파관절류마티스성질환3부위이상관절종합","SEB469","","136430","","","","",""
"행위","","","초음파 검사료","진단초음파연부조직일반","SEB470","","63740","","","","",""
"행위","","","초음파 검사료","진단초음파연부조직정밀","SEB471","","81880","","","","",""
"행위","","","초음파 검사료","혈관뇌혈류 초음파","SEB481","","126570","","","","",""
"행위","","","초음파 검사료","혈관두개외 혈관 도플러 초음파","SEB482","","108040","","","","",""
"행위","","","초음파 검사료","혈관두개외 혈관 도플러 초음파","SEB483","","56710","","","","",""
"행위","","","초음파 검사료","혈관사지혈관 도플러 초음파","SEB484","","87050","","","","",""
"행위","","","초음파 검사료","혈관사지혈관 도플러 초음파","SEB485","","87050","","","","",""
"행위","","","초음파 검사료","혈관사지혈관 도플러 초음파","SEB486","","44810","","","","",""
"행위","","","초음파 검사료","혈관사지혈관 도플러 초음파","SEB487","","137840","","","","",""
"행위","","","초음파 검사료","혈관사지혈관 도플러 초음파","SEB488","","137840","","","","",""
