"대분류","EDI코드","EDI명칭","원내코드","원내명칭","비용"
"약제비","642507391","주블리아외용액(에피나코나졸)","DEFINAIL","주블리아외용액(에피나코나졸)(4밀리리터)","23984"
"약제비","643802602","아치온현탁액(피리티온아연)","DATHIONE","아치온현탁액","14780"
"약제비","646802660","서카딘서방정2mg(멜라토닌)","DMELATONIN","서카딘서방정2mg(멜라토닌)(건일)","601"
"약제비","652101560","프록토세딜연고","DPROO","프록토세딜연고(한독)","1005"
"치료재료대","BC0101AT","DBX PUTTY","4011500108","DBX PUTTY","386000"
"치료재료대","BC0101QT","BONFUSE","4011400040","BONFUSE","384917"
"치료재료대","BC0102QT","BONGENER, CGDBM DEEP, EL FUSE INJECTABLE","4011500081","BONGENER, CGDBM DEEP, EL FUSE INJECTABLE","345000"
"치료재료대","BC0102QT","BONGENER, CGDBM DEEP, EL FUSE INJECTABLE","4011500099","BONGENER, CGDBM DEEP, EL FUSE INJECTABLE","855000"
"치료재료대","BC1301PE","K-D CLAMP","4011400033","K-D CLAMP","138000"
"치료재료대","BF0001KV","MOBI-C WITH PLUG & FIT","4011500122","MOBI-C WITH PLUG & FIT","4400000"
"치료재료대","BF0002GZ","MOBI-C","4011500043","MOBI-C","3400000"
"치료재료대","BF0201SH","일회용 발 조절식 전기수술기용 전극","4011500129","일회용 발 조절식 전기수술기용 전극","1600000"
"치료재료대","BF0202SH","YES C DISC","4011500130","YES C DISC","1597688"
"치료재료대","BI0601AD","COBLATION REFLEX ULTRA WAND","4020300009","Coblator Tip(REFLEX,55)1/5회","66000"
"치료재료대","BI0601AD","COBLATION REFLEX ULTRA WAND","4020300007","Coblator Tip(REFLEX,45)1/5회","66000"
"치료재료대","BJ1005BY","메가픽스(MEGAFIX)","3012300198","메가픽스(MEGAFIX)","500"
"치료재료대","BJ1006GA","MULTIFIX EF","3012300084","Multifix Foley (plaster)","4572"
"치료재료대","BJ1009GA","MULTIFIX L-Ⅰ","3012300085","Multifix Levin Tube (plaster)","1863"
"치료재료대","BJ4321DU","VENASEAL CLOSURE SYSTEM","4010100084","VENASEAL CLOSURE SYSTEM","1760000"
"치료재료대","BJ4502JT","REVOLUTION CATHETER","5411400001","REVOLUTION CATHETER","1419830"
