연령대,순위,상병코드,상병명,건수
59세 이하,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3649
59세 이하,2,U07,U07의 응급사용,3408
59세 이하,3,E11,인슐린-비의존 당뇨병,1126
59세 이하,4,I10,본태성(일차성)고혈압,1018
59세 이하,5,M51,기타 추간판장애,925
59세 이하,6,N18,만성 콩팥(신장)기능상실,794
59세 이하,7,K05,치은염(잇몸염)및 치주 질환,560
59세 이하,8,K02,치아우식증,490
59세 이하,9,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,471
59세 이하,10,G82,하반신마비 및 사지마비,451
59세 이하,11,N40,전립선증식증,373
59세 이하,12,K21,위-식도역류병,352
59세 이하,13,B18,만성 바이러스간염,345
59세 이하,14,E78,지질단백질대사장애 및 기타 지질증,328
59세 이하,15,M75,어깨병변,325
59세 이하,16,M54,배통,306
59세 이하,17,F32,우울증 에피소드,276
59세 이하,18,N39,비뇨기계통의 기타 장애,275
59세 이하,19,I20,협심증,263
59세 이하,20,E03,기타 갑상선기능저하증,256
60대,1,I10,본태성(일차성)고혈압,2941
60대,2,E11,인슐린-비의존 당뇨병,2802
60대,3,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2598
60대,4,N40,전립선증식증,1983
60대,5,M51,기타 추간판장애,1281
60대,6,M48,기타 척추병증,1088
60대,7,M81,병적골절이 없는 골다공증,927
60대,8,I20,협심증,897
60대,9,K05,치은염(잇몸염)및 치주 질환,869
60대,10,E78,지질단백질대사장애 및 기타 지질증,849
60대,11,M17,윤충증,787
60대,12,K08,치아 및 지지구조의 기타 장애,757
60대,13,K21,위-식도역류병,752
60대,14,N18,만성 콩팥(신장)기능상실,750
60대,15,I63,뇌경색증,709
60대,16,M75,어깨병변,645
60대,17,M50,목뼈원판 장애,580
60대,18,M54,배통,528
60대,19,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,491
60대,20,H25,노인성 백내장,479
70대,1,N40,전립선증식증,24391
70대,2,E11,인슐린-비의존 당뇨병,15542
70대,3,I10,본태성(일차성)고혈압,14220
70대,4,M51,기타 추간판장애,11185
70대,5,I20,협심증,9574
70대,6,M48,기타 척추병증,9362
70대,7,H25,노인성 백내장,6986
70대,8,K08,치아 및 지지구조의 기타 장애,6599
70대,9,I63,뇌경색증,6383
70대,10,N18,만성 콩팥(신장)기능상실,4928
70대,11,K05,치은염(잇몸염)및 치주 질환,4632
70대,12,M17,윤충증,4272
70대,13,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,4136
70대,14,K21,위-식도역류병,3981
70대,15,M75,어깨병변,3828
70대,16,G62,기타 다발신경병증,3695
70대,17,B35,피부사상균증,3634
70대,18,C61,전립선의 악성 신생물,3279
70대,19,I48,심방세동 및 조동,3276
70대,20,K04,치수 및 치근단주위조직의 질환,3059
80대,1,N40,전립선증식증,4101
80대,2,I10,본태성(일차성)고혈압,3269
80대,3,E11,인슐린-비의존 당뇨병,2923
80대,4,F00,알츠하이머병에서의 치매(G30.-+),2173
80대,5,M48,기타 척추병증,2039
80대,6,I63,뇌경색증,2007
80대,7,I20,협심증,1630
80대,8,M51,기타 추간판장애,1237
80대,9,C61,전립선의 악성 신생물,1074
80대,10,H25,노인성 백내장,1064
80대,11,K08,치아 및 지지구조의 기타 장애,885
80대,12,M17,윤충증,778
80대,13,I48,심방세동 및 조동,718
80대,14,N18,만성 콩팥(신장)기능상실,711
80대,15,R41,인지기능 및 자각에 관한 기타 증상 및 징후,633
80대,16,F03,상세불명의 치매,592
80대,17,K21,위-식도역류병,547
80대,18,M13,추 락,542
80대,19,K05,치은염(잇몸염)및 치주 질환,536
80대,20,F32,우울증 에피소드,531
90세 이상,1,N40,전립선증식증,2430
90세 이상,2,F00,알츠하이머병에서의 치매(G30.-+),1465
90세 이상,3,I10,본태성(일차성)고혈압,1461
90세 이상,4,I63,뇌경색증,1047
90세 이상,5,E11,인슐린-비의존 당뇨병,1017
90세 이상,6,M48,기타 척추병증,905
90세 이상,7,N18,만성 콩팥(신장)기능상실,787
90세 이상,8,I20,협심증,621
90세 이상,9,C61,전립선의 악성 신생물,530
90세 이상,10,K08,치아 및 지지구조의 기타 장애,473
90세 이상,11,F03,상세불명의 치매,407
90세 이상,12,I48,심방세동 및 조동,377
90세 이상,13,H25,노인성 백내장,372
90세 이상,14,M51,기타 추간판장애,336
90세 이상,15,J44,기타 만성 폐쇄성 폐질환,293
90세 이상,16,L29,소양증,283
90세 이상,17,M54,배통,241
90세 이상,18,K59,기타 기능적 창자 장애,239
90세 이상,19,M17,윤충증,234
90세 이상,20,R41,인지기능 및 자각에 관한 기타 증상 및 징후,227
