"상병코드","상병명","국비","사비"
"A090","감염성 및 상세불명 기원의 기타 위장염 및 결장염","9","7"
"A099","상세불명 기원의 위장염 및 결장염","2","6"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","0","1"
"A419","상세불명의 패혈증","2","1"
"B022","기타 신경계통 침범을 동반한 대상포진","0","2"
"B182","만성 바이러스C형간염","0","1"
"B909","호흡기 및 상세불명 결핵의 후유증","1","0"
"C159","상세불명의 식도의 악성 신생물","2","0"
"C1699","상세불명의 위의 악성 신생물, 상세불명","1","0"
"C182","상행결장의 악성 신생물","0","2"
"C187","구불결장의 악성 신생물","1","1"
"C189","상세불명의 결장의 악성 신생물","0","1"
"C220","간세포암종의 악성 신생물","1","1"
"C23","담낭의 악성 신생물","0","1"
"C240","간외담관의 악성 신생물","0","1"
"C250","췌장의 두부의 악성 신생물","1","0"
"C259","상세불명의 췌장의 악성 신생물","1","0"
"C342","중엽, 기관지 또는 폐의 악성 신생물","2","0"
"C3490","상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽","4","0"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","2","1"
"C482","상세불명의 복막의 악성 신생물","0","1"
"C61","전립선의 악성 신생물","23","18"
"C649","신우를 제외한 신장의 악성 신생물, 상세불명 쪽","1","0"
"C672","방광의 측벽의 악성 신생물","0","6"
"C673","방광의 전벽의 악성 신생물","10","0"
"C679","상세불명의 방광의 악성 신생물","14","29"
"C799","상세불명 부위의 이차성 악성 신생물","0","1"
"C809","원발부위 상세불명인 악성 신생물","0","1"
"D010","결장의 제자리암종","2","0"
"D090","방광의 제자리암종","0","3"
"D127","직장구불결장접합부의 양성 신생물","0","1"
"D131","위의 양성 신생물","0","1"
"D170","머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물","1","1"
"D177","기타 부위의 양성 지방종성 신생물","1","0"
"D229","상세불명의 멜라닌세포모반","0","1"
"D232","귀 및 외이도의 피부의 양성 신생물","1","0"
"D361","말초신경 및 자율신경계통의 양성 신생물","0","1"
"D414","방광의 행동양식 불명 또는 미상의 신생물","10","14"
"D619","상세불명의 무형성빈혈","0","1"
"E059","상세불명의 갑상선독증","0","1"
"E062","일과성 갑상선독증을 동반한 만성 갑상선염","1","0"
"E1041","당뇨병성 다발신경병증을 동반한 1형 당뇨병(G632*)","1","0"
"E108","상세불명의 합병증을 동반한 1형 당뇨병","0","1"
"E1108","기타 및 상세불명의 혼수를 동반한 2형 당뇨병","2","0"
"E1122","말기신장병을 동반한 2형 당뇨병(N083*)","0","2"
"E1128","기타 및 상세불명의 신장합병증을 동반한 2형 당뇨병(N083*)","2","7"
"E1141","당뇨병성 다발신경병증을 동반한 2형 당뇨병(G632*)","10","1"
"E1142","당뇨병성 자율신경병증을 동반한 2형 당뇨병(G990*)","0","1"
"E1148","기타 및 상세불명의 신경학적 합병증을 동반한 2형 당뇨병","4","1"
"E1164","혈당조절이 되지 않은 2형 당뇨병","0","1"
"E1178","기타 다발성 합병증을 동반한 2형 당뇨병","2","2"
"E118","상세불명의 합병증을 동반한 2형 당뇨병","54","57"
"E119","합병증을 동반하지 않은 2형 당뇨병","13","14"
"E1408","기타 및 상세불명의 혼수를 동반한 상세불명의 당뇨병","1","1"
"E149","합병증을 동반하지 않은 상세불명의 당뇨병","1","0"
"E236","뇌하수체의 기타 장애","2","0"
"E46","상세불명의 단백질-에너지영양실조","4","6"
"E785","상세불명의 고지질혈증","0","1"
"E871","저오스몰랄농도 및 저나트륨혈증","2","1"
"E878","달리 분류되지 않는 전해질균형 및 체액균형의 기타 장애","1","0"
"F009","상세불명의 알츠하이머병에서의 치매(G309†)","0","3"
"F419","상세불명의 불안장애","0","1"
"G20","파킨슨병","6","0"
"G258","기타 명시된 추체외로 및 운동 장애","0","1"
"G448","기타 명시된 두통증후군","1","0"
"G464","소뇌뇌졸중증후군(I60-I67†)","0","1"
"G500","삼차신경통","1","0"
"G518","안면신경의 기타 장애","1","0"
"G530","대상포진후신경통(B022†)","0","2"
"G542","달리 분류되지 않은 경수신경뿌리장애","0","1"
"G551","추간판 장애에서의 신경근 및 신경총 압박(M50-M51†)","0","1"
"G560","손목터널증후군","1","1"
"G562","척골신경의 병변","0","1"
"G568","팔의 기타 단일신경병증","2","1"
"G570","좌골신경의 병변","0","2"
"G834","말총증후군","0","1"
"G919","상세불명의 수두증","0","1"
"H2590","상세불명의 노년백내장, 오른쪽","13","40"
"H2591","상세불명의 노년백내장, 왼쪽","10","22"
"H2592","상세불명의 노년백내장, 양쪽","36","83"
"H490","제3뇌[동안]신경마비","2","0"
"H609","상세불명의 외이도염","0","1"
"H6100","외이의 급성 연골막염","1","0"
"H6111","귓바퀴의 혈종","1","0"
"H6690","상세불명의 중이염, 한쪽 또는 상세불명","7","15"
"H6691","상세불명의 중이염, 양쪽","2","7"
"H71","중이의 진주종","4","4"
"H810","메니에르병","0","1"
"H811","양성 발작성 현기증","1","8"
"H812","전정신경세포염","0","4"
"H8138","기타 말초성 현기증","0","1"
"H905","상세불명의 감각신경성 청력소실","7","4"
"I109","기타 및 상세불명의 원발성 고혈압","7","34"
"I2088","기타 형태의 협심증","1","2"
"I269","급성 폐심장증에 대한 언급이 없는 폐색전증","0","3"
"I38","상세불명 판막의 심내막염","4","0"
"I501","좌심실부전","0","1"
"I509","상세불명의 심부전","1","2"
"I619","상세불명의 뇌내출혈","0","1"
"I620","경막하출혈(급성)(비외상성)","0","5"
"I638","기타 뇌경색증","1","1"
