"상병코드","상병명","국비","사비"
"A020 ","Salmonella enteritis","","1"
"A045 ","Campylobacter enteritis","2",""
"A047 ","Enterocolitis due to Clostridium difficile","2","1"
"A049 ","Bacterial intestinal infection, unspecified","","1"
"A090 ","Other and unspecified gastroenteritis and colitis of infectious origin","","2"
"A099 ","Gastroenteritis and colitis of unspecified origin","37","45"
"A1501 ","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","1",""
"A1531 ","Tuberculosis of lung without cavitation or unspecified, confirmed by unspecified means","6","2"
"A1621 ","Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation","3","2"
"A1691 ","Respiratory tuberculosis unspecified without cavitation or unspecified, without mention of bacteriological or histological confirmation","","6"
"A1801 ","Tuberculous arthritis of other joints(M01.1*)","","1"
"A199 ","Miliary tuberculosis, unspecified","1",""
"A318 ","Other mycobacterial infections","2","2"
"A418 ","Other specified sepsis","2","3"
"A419 ","Sepsis, unspecified","7","8"
"A499 ","Bacterial infection, unspecified","1","3"
"A753 ","Typhus fever due to Rickettsia tsutsugamushi","","2"
"A879 ","Viral meningitis, unspecified","","1"
"B022 ","Zoster with other nervous system involvement","","1"
"B023 ","Zoster ocular disease","1","1"
"B028 ","Zoster with other complications","","3"
"B029 ","Zoster without complication","1","2"
"B172 ","Acute hepatitis E","","1"
"B1810 ","Chronic viral hepatitis B without delta-agent, immune-tolerant phase","","1"
"B909 ","Sequelae of respiratory and unspecified tuberculosis","","2"
"B956 ","Staphylococcus aureus as the cause of diseases classified to other chapters","1",""
"C021 ","Malignant neoplasm of border of tongue","","2"
"C080 ","Malignant neoplasm of submandibular gland","1","2"
"C089 ","Malignant neoplasm of major salivary gland, unspecified","","1"
"C108 ","Malignant neoplasm of overlapping lesion of oropharynx","","1"
"C119 ","Malignant neoplasm of nasopharynx, unspecified","","1"
"C138 ","Malignant neoplasm of overlapping lesion of hypopharynx","2",""
"C139 ","Malignant neoplasm of hypopharynx, unspecified","5",""
"C148 ","Malignant neoplasm of overlapping lesion of lip, oral cavity and pharynx","","1"
"C153 ","Malignant neoplasm of upper third of oesophagus","1",""
"C155 ","Malignant neoplasm of lower third of oesophagus","","1"
"C159 ","Malignant neoplasm of oesophagus, unspecified","2","2"
"C1609 ","Malignant neoplasm of cardia, unspecified","1",""
"C1611 ","Malignant neoplasm of fundus of stomach, advanced","","1"
"C1619 ","Malignant neoplasm of fundus of stomach, unspecified","","1"
"C1621 ","Malignant neoplasm of body of stomach, advanced","","3"
"C1629 ","Malignant neoplasm of body of stomach, unspecified","2","9"
"C1631 ","Malignant neoplasm of pyloric antrum, advanced","","4"
"C1651 ","Malignant neoplasm of lesser curvature of stomach, unspecified, advanced","","1"
"C1690 ","Malignant neoplasm of stomach, unspecified, early","9","3"
"C1691 ","Malignant neoplasm of stomach, unspecified, advanced","2","12"
"C1699 ","Malignant neoplasm of stomach, unspecified, unspecified","42","30"
"C170 ","Malignant neoplasm of duodenum","3","3"
"C171 ","Malignant neoplasm of jejunum","1",""
"C179 ","Malignant neoplasm of small intestine, unspecified","","1"
"C181 ","Malignant neoplasm of appendix","1",""
"C182 ","Malignant neoplasm of ascending colon","7","4"
"C184 ","Malignant neoplasm of transverse colon","","1"
"C187 ","Malignant neoplasm of sigmoid colon","4","21"
"C188 ","Malignant neoplasm of overlapping lesion of colon","10","1"
"C189 ","Malignant neoplasm of colon, unspecified","55","20"
"C19 ","Malignant neoplasm of rectosigmoid junction","","2"
"C20 ","Malignant neoplasm of rectum","29","14"
"C220 ","Malignant neoplasm of liver cell carcinoma","15","20"
"C221 ","Malignant neoplasm of intrahepatic bile duct carcinoma","39","20"
"C229 ","Malignant neoplasm of liver, unspecified","","2"
"C23 ","Malignant neoplasm of gallbladder","16","7"
"C240 ","Malignant neoplasm of extrahepatic bile duct","1","3"
"C241 ","Malignant neoplasm of ampulla of Vater","5",""
"C249 ","Malignant neoplasm of biliary tract, unspecified","","1"
"C250 ","Malignant neoplasm of head of pancreas","1","8"
"C251 ","Malignant neoplasm of body of pancreas","","1"
"C252 ","Malignant neoplasm of tail of pancreas","4","2"
"C259 ","Malignant neoplasm of pancreas, unspecified","20","13"
"C260 ","Malignant neoplasm of intestinal tract, part unspecified","","1"
"C329 ","Malignant neoplasm of larynx, unspecified","4",""
"C3410 ","Malignant neoplasm of upper lobe, bronchus or lung, right","","5"
"C3411 ","Malignant neoplasm of upper lobe, bronchus or lung, left","1","8"
"C3419 ","Malignant neoplasm of upper lobe, bronchus or lung, unspecified side","5","2"
"C3430 ","Malignant neoplasm of lower lobe, bronchus or lung, right","2","8"
"C3431 ","Malignant neoplasm of lower lobe, bronchus or lung, left","2","3"
"C3439 ","Malignant neoplasm of lower lobe, bronchus or lung, unspecified side","","2"
