"상병코드","상병명","국비","사비",""
"A020","살모넬라장염","1","1",""
"A047","클로스트리듐 디피실리에 의한 장결장염","2","0",""
"A084","상세불명의 바이러스성 장감염","6","0",""
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","8","5",""
"A099","상세불명 기원의 위장염 및 결장염","37","27",""
"A1500","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵","1","0",""
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","1","2",""
"A1621","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵","1","0",""
"A1681","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 기타 호흡기결핵","1","0",""
"A169","세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵","1","0",""
"A1690","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 상세불명의 호흡기결핵","1","0",""
"A4150","대장균에 의한 패혈증","1","0",""
"A418","기타 명시된 패혈증","1","0",""
"A419","상세불명의 패혈증","12","4",""
"A46","단독(丹毒)","1","0",""
"A488","기타 명시된 세균성 질환","2","0",""
"A499","상세불명의 세균감염","1","0",""
"A630","항문생식기의(성병성) 사마귀","1","0",""
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","1","0",""
"A9380","중증열성혈소판감소증후군 [SFTS]","1","0",""
"B001","헤르페스바이러스 소수포피부염","1","0",""
"B009","상세불명의 헤르페스바이러스감염","1","0",""
"B022","기타 신경계통 침범을 동반한 대상포진","2","3",""
"B028","기타 합병증을 동반한 대상포진","1","2",""
"B029","합병증이 없는 대상포진","1","0",""
"B179","상세불명의 급성 바이러스간염","1","1",""
"B1809","델타0병원체가 있는 만성 바이러스B형간염, 기타 및 상세불명의 기간","1","1",""
"B1810","델타0병원체가 없는 만성 바이러스B형간염, 면역관용기","5","3",""
"B1819","델타0병원체가 없는 만성 바이러스B형간염, 기타 및 상세불명의 기간","1","0",""
"B182","만성 바이러스C형간염","4","1",""
"B351","손발톱백선","2","0",""
"B3780","칸디다식도염","1","0",""
"B86","옴","1","2",""
