상병코드,상병명,국비,사비,계
A012,파라티푸스 B,0,1,1
A013,파라티푸스 C,0,1,1
A090,감염성 기원의 기타 및 상세불명의 위장염 및 결장염,0,1,1
A099,상세불명 기원의 위장염 및 결장염,24,5,29
A1501,"배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵, 공동이 없거나 상세불명의",2,5,7
A1511,배양만으로 확인된 공동이 없거나 상세불명의 폐결핵,1,1,2
A1531,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵,2,0,2
A1581,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,0,1
A1601,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵,1,0,1
A310,폐마이코박테리아감염,1,0,1
A419,상세불명의 패혈증,6,1,7
A753,리케차 쯔쯔가무시에 의한 발진티푸스,3,1,4
B179,상세불명의 급성 바이러스간염,1,0,1
B1819,"델타-병원체가 없는 만성 바이러스B형간염, 기타 및 상세불명의 기간",2,0,2
B182,만성 바이러스C형간염,0,1,1
B3780,칸디다식도염,1,1,2
B909,호흡기 및 상세불명 결핵의 후유증,1,0,1
C029,상세불명의 혀의 악성 신생물,1,0,1
C049,상세불명의 입바닥의 악성 신생물,0,1,1
C159,상세불명의 식도의 악성 신생물,1,0,1
C1629,"위의 체부의 악성 신생물, 상세불명",0,1,1
C1631,"유문동의 악성 신생물, 진행형",1,0,1
C1639,"유문동의 악성 신생물, 상세불명",0,1,1
C1649,"유문의 악성 신생물, 상세불명",0,2,2
C1650,"상세불명의 위의 소만부의 악성 신생물, 조기",4,0,4
C1691,"상세불명의 위의 악성 신생물, 진행형",2,1,3
C1699,"상세불명의 위의 악성 신생물, 상세불명",59,11,70
C180,맹장의 악성 신생물,0,6,6
C182,상행결장의 악성 신생물,2,1,3
C187,구불결장의 악성 신생물,2,6,8
C189,상세불명의 결장의 악성 신생물,28,9,37
C19,직장구불결장접합부의 악성 신생물,16,3,19
C20,직장의 악성 신생물,21,7,28
C220,간세포암종의 악성 신생물,36,6,42
C221,간내담관암종의 악성 신생물,8,9,17
C229,상세불명의 간의 악성 신생물,1,0,1
C23,담낭의 악성 신생물,1,4,5
C240,간외담관의 악성 신생물,6,5,11
C241,파터팽대의 악성 신생물,2,0,2
C249,상세불명의 담도의 악성 신생물,3,0,3
C250,췌장의 두부의 악성 신생물,2,2,4
