"상병코드"," 상병명 ","국비","사비"
"A040"," 장병원성 대장균감염 ","","2"
"A045"," 캄필로박터장염 ","1",""
"A047"," 클로스트리듐 디피실리에 의한 장결장염 ","99","77"
"A084"," 상세불명의 바이러스성 장감염 ","","1"
"A090"," 감염성 기원의 기타 및 상세불명의 위장염 및 결장염 ","7","11"
"A099"," 상세불명 기원의 위장염 및 결장염 ","69","67"
"A1500"," 배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵 ","2","2"
"A1501"," 배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵, 공동이 없거나 상세불명의 ","6","5"
"A1511"," 배양만으로 확인된 공동이 없거나 상세불명의 폐결핵 ","1","2"
"A1521"," 조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵 ","2","1"
"A1530"," 상세불명의 수단으로 확인된 공동이 있는 폐결핵 ","2",""
"A1531"," 상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵 ","3",""
"A1551"," 세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두, 기관 및 기관지의 결핵 ","","2"
"A1620"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵 ","1",""
"A1621"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵 ","2","2"
"A1651"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염 ","3","2"
"A1691"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵 ","1",""
"A182"," 결핵성 말초림프절병증 ","1",""
"A1883"," 심장의 결핵 ","1",""
"A190"," 하나로 명시된 부위의 급성 좁쌀결핵 ","1",""
"A310"," 폐마이코박테리아감염 ","10","13"
"A318"," 기타 마이코박테리아감염 ","1",""
"A319"," 상세불명의 마이코박테리아감염 ","1","1"
"A327"," 리스테리아패혈증 ","1",""
"A398"," 기타 수막알균감염 ","1",""
"A401"," 연쇄알균B군에 의한 패혈증 ","1",""
"A4020"," 장알균에 의한 패혈증 ","2","3"
"A403"," 폐렴연쇄알균에 의한 패혈증 ","","1"
"A408"," 기타 연쇄알균패혈증 ","2","1"
"A409"," 상세불명의 연쇄알균패혈증 ","2",""
"A410"," 황색포도알균에 의한 패혈증 ","10","10"
"A411"," 기타 명시된 포도알균에 의한 패혈증 ","17","6"
"A412"," 상세불명의 포도알균에 의한 패혈증 ","5","2"
"A4150"," 대장균에 의한 패혈증 ","15","11"
"A4153"," 아시네토박터에 의한 패혈증 ","3","3"
"A4158"," 기타 명시된 그람음성균에 의한 패혈증 ","18","11"
"A418"," 기타 명시된 패혈증 ","2","7"
"A419"," 상세불명의 패혈증 ","47","32"
"A420"," 폐방선균증 ","1",""
"A422"," 목얼굴방선균증 ","1","2"
"A428"," 기타 형태의 방선균증 ","1",""
"A46"," 단독(丹毒) ","","1"
"A480"," 가스괴저 ","1",""
"A488"," 기타 명시된 세균성 질환 ","","1"
"A490"," 상세불명 부위의 포도알균감염 ","51","36"
"A491"," 상세불명 부위의 연쇄알균 및 장내알균 감염 ","41","32"
"A498"," 상세불명 부위의 기타 세균감염 ","89","56"
"A499"," 상세불명의 세균감염 ","15","5"
"A528"," 잠복성 만기매독 ","2","2"
"A530"," 조기인지 만기인지 상세불명의 잠복매독 ","1","2"
"A6004"," 여성 비뇨생식기관의 헤르페스바이러스감염 (N77.0-N77.1*) ","","1"
"A630"," 항문생식기의(성병성) 사마귀 ","","3"
"A753"," 리케차 쯔쯔가무시에 의한 발진티푸스 ","1",""
"A810"," 크로이츠펠트-야콥병 ","","2"
"A86"," 상세불명의 바이러스뇌염 ","2",""
"A879"," 상세불명의 바이러스수막염 ","1",""
"B001"," 헤르페스바이러스 소수포피부염 ","5","3"
"B003"," 헤르페스바이러스수막염(G02.0*) ","","1"
"B0050"," 홍채섬모체염(H22.0*) ","","1"
"B0051"," 각막염(H19.1*) ","2","1"
"B007"," 파종성 헤르페스바이러스병 ","","2"
"B009"," 상세불명의 헤르페스바이러스감염 ","22","15"
"B022"," 기타 신경계통 침범을 동반한 대상포진 ","4","4"
"B027"," 파종성 대상포진 ","1","1"
"B029"," 합병증이 없는 대상포진 ","12","7"
"B07"," 바이러스사마귀 ","4","1"
"B081"," 전염성 물렁종 ","","1"
"B084"," 발진을 동반한 엔테로바이러스소수포구내염 ","1",""
"B159"," 간성 혼수가 없는 A형간염 ","2","2"
"B172"," 급성 E형간염 ","","2"
"B179"," 상세불명의 급성 바이러스간염 ","3","1"
"B1810"," 델타-병원체가 없는 만성 바이러스B형간염, 면역관용기 ","45","42"
"B1819"," 델타-병원체가 없는 만성 바이러스B형간염, 기타 및 상세불명의 기간 ","113","75"
"B182"," 만성 바이러스C형간염 ","38","14"
"B189"," 상세불명의 만성 바이러스간염 ","","1"
"B250"," 거대세포바이러스폐렴(J17.1*) ","1",""
"B251"," 거대세포바이러스간염(K77.0*) ","","1"
"B258"," 기타 거대세포바이러스병 ","4","5"
