상병코드,상    병    명,국비,사비
A020 ,Salmonella enteritis,4,1
A045 ,Campylobacter enteritis,3,1
A047 ,Enterocolitis due to Clostridium difficile,5,5
A090 ,Other and unspecified gastroenteritis and colitis of infectious origin,3,5
A099 ,Gastroenteritis and colitis of unspecified origin,36,34
A1621 ,"Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation",4,1
A1651 ,"Tuberculous pleurisy without cavitation or unspecified, without mention of bacteriological or histological confirmation",1,
A170 ,Tuberculous meningitis(G01*),,1
A419 ,"Sepsis, unspecified",5,13
A499 ,"Bacterial infection, unspecified",3,4
A753 ,Typhus fever due to Rickettsia tsutsugamushi,,2
A830 ,Japanese encephalitis,,1
A879 ,"Viral meningitis, unspecified",,2
B009 ,"Herpesviral infection, unspecified",2,2
B019 ,Varicella without complication,,1
B029 ,Zoster without complication,1,3
B178 ,Other specified acute viral hepatitis,,1
B1809 ,"Chronic viral hepatitis B with delta-agent, other and unspecified phase",,1
B1819 ,"Chronic viral hepatitis B without delta-agent, other and unspecified phase",1,
B182 ,Chronic viral hepatitis C,1,
B342 ,"Coronavirus infection, unspecified site",1,
B465 ,"Mucormycosis, unspecified",,1
B49 ,Unspecified mycosis,1,
B956 ,Staphylococcus aureus as the cause of diseases classified to other chapters,1,
C029 ,"Malignant neoplasm of tongue, unspecified",,3
C051 ,Malignant neoplasm of soft palate,,1
C069 ,"Malignant neoplasm of mouth, unspecified",,1
C109 ,"Malignant neoplasm of oropharynx, unspecified",,1
C138 ,Malignant neoplasm of overlapping lesion of hypopharynx,1,2
C139 ,"Malignant neoplasm of hypopharynx, unspecified",1,1
C155 ,Malignant neoplasm of lower third of oesophagus,,1
C159 ,"Malignant neoplasm of oesophagus, unspecified",2,6
C1620 ,"Malignant neoplasm of body of stomach, early",,1
C1621 ,"Malignant neoplasm of body of stomach, advanced",,7
C1629 ,"Malignant neoplasm of body of stomach, unspecified",,2
C1631 ,"Malignant neoplasm of pyloric antrum, advanced",,5
C1690 ,"Malignant neoplasm of stomach, unspecified, early",2,3
C1691 ,"Malignant neoplasm of stomach, unspecified, advanced",5,10
C1699 ,"Malignant neoplasm of stomach, unspecified, unspecified",17,37
C170 ,Malignant neoplasm of duodenum,7,
C179 ,"Malignant neoplasm of small intestine, unspecified",,2
C182 ,Malignant neoplasm of ascending colon,2,8
C183 ,Malignant neoplasm of hepatic flexure,,2
C184 ,Malignant neoplasm of transverse colon,,5
C186 ,Malignant neoplasm of descending colon,1,
C187 ,Malignant neoplasm of sigmoid colon,6,10
C188 ,Malignant neoplasm of overlapping lesion of colon,4,
C189 ,"Malignant neoplasm of colon, unspecified",34,12
C19 ,Malignant neoplasm of rectosigmoid junction,1,4
C20 ,Malignant neoplasm of rectum,28,12
C210 ,"Malignant neoplasm of anus, unspecified",1,
C218 ,"Malignant neoplasm of overlapping lesion of rectum, anus and anal canal",,2
C220 ,Malignant neoplasm of liver cell carcinoma,36,34
C221 ,Malignant neoplasm of intrahepatic bile duct carcinoma,23,32
C23 ,Malignant neoplasm of gallbladder,6,24
C240 ,Malignant neoplasm of extrahepatic bile duct,3,7
C241 ,Malignant neoplasm of ampulla of Vater,3,1
C250 ,Malignant neoplasm of head of pancreas,,4
C251 ,Malignant neoplasm of body of pancreas,,3
C252 ,Malignant neoplasm of tail of pancreas,3,4
C253 ,Malignant neoplasm of pancreatic duct,,1
C259 ,"Malignant neoplasm of pancreas, unspecified",47,30
C269 ,Malignant neoplasm of ill-defined sites within the digestive system,,1
C310 ,Malignant neoplasm of maxillary sinus,,1
C321 ,Malignant neoplasm of supraglottis,,1
C329 ,"Malignant neoplasm of larynx, unspecified",,1
C3400 ,"Malignant neoplasm of main bronchus, right",1,
C3401 ,"Malignant neoplasm of main bronchus, left",,1
C3410 ,"Malignant neoplasm of upper lobe, bronchus or lung, right",2,9
C3411 ,"Malignant neoplasm of upper lobe, bronchus or lung, left",,4
C3419 ,"Malignant neoplasm of upper lobe, bronchus or lung, unspecified side",1,3
C342 ,"Malignant neoplasm of middle lobe, bronchus or lung",,1
C3430 ,"Malignant neoplasm of lower lobe, bronchus or lung, right",1,8
C3431 ,"Malignant neoplasm of lower lobe, bronchus or lung, left",1,10
C3439 ,"Malignant neoplasm of lower lobe, bronchus or lung, unspecified side",2,2
C3489 ,"Malignant neoplasm of overlapping lesion of bronchus and lung, unspecified side",1,
C3490 ,"Malignant neoplasm of bronchus or lung, unspecified, right",1,2
C3491 ,"Malignant neoplasm of bronchus or lung, unspecified, left",1,3
C3499 ,"Malignant neoplasm of bronchus or lung, unspecified, unspecified side",17,8
C439 ,"Malignant melanoma of skin, unspecified",1,1
C445 ,Malignant neoplasm of skin of trunk,,1
C449 ,"Malignant neoplasm of skin, unspecified",1,
C451 ,Mesothelioma of peritoneum,,1
C479 ,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",,1
C495 ,Malignant neoplasm of connective and soft tissue of pelvis,,1
C499 ,"Malignant neoplasm of connective and soft tissue, unspecified",,1
C5090 ,"Malignant neoplasm of breast unspecified, right",,1
C5099 ,"Malignant neoplasm of breast unspecified, unspecified side",,4
C539 ,"Malignant neoplasm of cervix uteri, unspecified",,2
C541 ,Malignant neoplasm of endometrium,,1
C55 ,"Malignant neoplasm of uterus, part unspecified",,1
C560 ,"Malignant neoplasm of ovary, right",,1
C569 ,"Malignant neoplasm of ovary, unspecified side",,1
C570 ,Malignant neoplasm of fallopian tube,,1
C61 ,Malignant neoplasm of prostate,152,73
C632 ,Malignant neoplasm of scrotum,2,
C640 ,"Malignant neoplasm of kidney, except renal pelvis, right",,2
C641 ,"Malignant neoplasm of kidney, except renal pelvis, left",,2
C649 ,"Malignant neoplasm of kidney, except renal pelvis, unspecified side",3,9
C651 ,"Malignant neoplasm of renal pelvis, left",,1
C659 ,"Malignant neoplasm of renal pelvis, unspecified side",,1
C660 ,"Malignant neoplasm of ureter, right",2,1
C661 ,"Malignant neoplasm of ureter, left",,5
C672 ,Malignant neoplasm of lateral wall of bladder,,2
C678 ,Malignant neoplasm of overlapping lesion of bladder,,1
C679 ,"Malignant neoplasm of bladder, unspecified",83,48
C700 ,Malignant neoplasm of cerebral Meninges,1,1
C709 ,"Malignant neoplasm of meninges, unspecified",,2
C710 ,"Malignant neoplasm of cerebrum, except lobes and ventricles",,5
C719 ,"Malignant neoplasm of brain, unspecified",4,1
C720 ,Malignant neoplasm of spinal cord,,1
C73 ,Malignant neoplasm of thyroid gland,4,9
C749 ,"Malignant neoplasm of adrenal gland, unspecified",,1
C770 ,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",,1
C774 ,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,1,
C779 ,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",1,
C786 ,Secondary malignant neoplasm of retroperitoneum and peritoneum,1,2
C787 ,Secondary malignant neoplasm of liver and intrahepatic bile duct,1,1
C7930 ,Secondary malignant neoplasm of brain,,1
C795 ,Secondary malignant neoplasm of bone and bone marrow,,1
C809 ,"Malignant neoplasm, primary site unspecified",1,3
C833 ,Diffuse large B-cell lymphoma,2,3
C859 ,"Non-Hodgkin lymphoma, unspecified",1,1
D012 ,Carcinoma in situ of rectum,,1
D090 ,Carcinoma in situ of bladder,3,4
D103 ,Benign neoplasm of other and unspecified parts of mouth,1,
D121 ,Benign neoplasm of appendix,3,
D122 ,Benign neoplasm of ascending colon,,1
