"상병코드","상병명","국비","사비"
"A047","클로스트리듐 디피실리에 의한 장결장염","5","3"
"A084","상세불명의 바이러스성 장감염","1","1"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","18","3"
"A099","상세불명 기원의 위장염 및 결장염","36","18"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","1","0"
"A1511","배양만으로 확인된 공동이 없거나 상세불명의 폐결핵","0","1"
"A1521","조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵","0","1"
"A1621","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵","1","0"
"A1681","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 기타 호흡기결핵","1","0"
"A1691","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵","2","0"
"A199","상세불명의 좁쌀결핵","0","2"
"A409","상세불명의 연쇄알균패혈증","0","1"
"A419","상세불명의 패혈증","12","6"
"A498","상세불명 부위의 기타 세균감염","0","1"
"A528","잠복성 만기매독","0","2"
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","0","2"
"B009","상세불명의 헤르페스바이러스감염","2","1"
"B022","기타 신경계통 침범을 동반한 대상포진","5","1"
"B029","합병증이 없는 대상포진","2","1"
"B07","바이러스사마귀","0","1"
"B1809","델타-병원체가 있는 만성 바이러스B형간염, 기타 및 상세불명의 기간","2","2"
"B1810","델타-병원체가 없는 만성 바이러스B형간염, 면역관용기","1","1"
"B1819","델타-병원체가 없는 만성 바이러스B형간염, 기타 및 상세불명의 기간","3","2"
"B182","만성 바이러스C형간염","4","2"
"B351","손발톱백선","7","1"
"B353","발백선","1","0"
"B370","칸디다구내염","1","0"
"B390","급성 폐히스토플라스마증","1","0"
"B49","상세불명의 진균증","0","1"
"B810","고래회충증","1","0"
"B948","기타 명시된 감염성 및 기생충성 질환의 후유증","2","0"
"B951","다른 장에서 분류된 질환의 원인으로서의 B군연쇄알균","1","0"
"B952","다른 장에서 분류된 질환의 원인으로서의 D군연쇄알균 및 장내알균","1","15"
"B953","다른 장에서 분류된 질환의 원인으로서의 폐렴연쇄알균","0","1"
"B956","다른 장에서 분류된 질환의 원인으로서의 황색포도알균","3","5"
"B961","다른 장에서 분류된 질환의 원인으로서의 폐렴막대균","6","5"
"B962","다른 장에서 분류된 질환의 원인으로서의 대장균","18","30"
"B965","다른 장에서 분류된 질환의 원인으로서의 슈도모나스 (아에루기노사)","2","3"
"B9680","다른 장에서 분류된 질환의 원인으로서의 아시네토박터바우마니","1","2"
"B9681","다른 장에서 분류된 질환의 원인으로서의 장내세균속균","2","1"
"B9688","다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균 감염체","1","1"
