"상병코드","상병명","국비","사비"
"Z988","기타 명시된 수술후 상태","29","29"
"Z9664","무릎관절삽입물의 존재","1",""
"Z961","안구내렌즈의 존재","1",""
"Z955","관상동맥혈관성형 삽입물 및 이식편의 존재","10","4"
"Z944","간이식상태","7",""
"Z940","신장이식상태","1",""
"Z903","위 일부의 후천성 결여","1",""
"Z902","폐[일부]의 후천성 결여","1",""
"Z895","무릎을 포함한 다리의 후천성 결여","4",""
"Z850","소화기관의 악성 신생물의 개인력","","1"
"Z800","소화기관의 악성 신생물의 가족력","1",""
"Z716","담배남용상담을 위해 보건서비스와 접하고 있는 사람","","8"
"Z540","수술후 회복기","","1"
"Z539","상세불명의 이유로 실행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","1","1"
"Z538","기타 이유로 실행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","6","5"
"Z532","기타 및 상세불명의 이유로 인한 환자의 의사결정 때문에 수행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","11","6"
"Z530","금기증 때문에 수행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","11","8"
"Z515","완화의료를 위하여 보건서비스와 접하고 있는 사람","27","164"
"Z511","신생물에 대한 화학요법기간을 위하여 보건서비스와 접하고 있는 사람","19","19"
"Z508","기타 재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","28","22"
"Z4788","기타 명시된 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","1",""
"Z470","골절판 및 기타 내부고정장치의 제거를 포함한 추적치료를 위하여 보건서비스와 접하고 있는 사람","12","20"
"Z089","악성 신생물에 대한 상세불명의 치료후 추적검사","1",""
"Z080","악성 신생물에 대한 수술후 추적검사","4",""
"Z000","일반적 의학검사","1","1"
"Y835","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 사지의 절단","1",""
"Y604","내시경검사 도중에 생긴 비의도적 절단, 천자, 천공 또는 출혈","1",""
"Y459","치료용으로 사용시 유해작용을 나타내는 상세불명의 진통제, 해열제 및 항염증제","1",""
"X5999","기타 및 상세불명의 손상을 초래하는 상세불명의 요인에 노출, 상세불명 장소","6","3"
"X5998","기타 및 상세불명의 손상을 초래하는 상세불명의 요인에 노출, 기타 명시된 장소","","1"
"X5909","골절을 초래하는 상세불명의 요인에 노출, 상세불명 장소","11","22"
"X509","과잉노력 및 격심한 또는 반복적 운동, 상세불명 장소","9","10"
"X508","과잉노력 및 격심한 또는 반복적 운동, 기타 명시된 장소","1",""
"X507","과잉노력 및 격심한 또는 반복적 운동, 농장","","1"
"X505","과잉노력 및 격심한 또는 반복적 운동, 상업 및 서비스 구역","","1"
"X504","과잉노력 및 격심한 또는 반복적 운동, 도로 및 고속도로","","2"
"X503","과잉노력 및 격심한 또는 반복적 운동, 운동 및 경기장","1",""
"X500","과잉노력 및 격심한 또는 반복적 운동, 주택","1","2"
"X190","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 주택","","1"
"X112","뜨거운 수돗물과 접촉, 학교, 기타 시설 및 공공행정 구역","","1"
"W513","타인과 부딪힘 또는 받힘, 운동 및 경기장","","1"
"W314","기타 및 상세불명의 기계류와 접촉, 도로 및 고속도로","","1"
"W311","기타 및 상세불명의 기계류와 접촉, 집단거주시설","","1"
"W307","농업용기계와 접촉, 농장","1",""
"W299","기타 동력손공구 및 가정용 기계류와의 접촉, 상세불명 장소","1",""
"W298","기타 동력손공구 및 가정용 기계류와의 접촉, 기타 명시된 장소","1",""
"W229","다른 물체에 의한 타격, 상세불명 장소","1",""
"W220","다른 물체에 의한 타격, 주택","2","3"
"W219","스포츠장비에 의한 타격, 상세불명 장소","","1"
"W199","상세불명의 낙상, 상세불명 장소","1","2"
"W190","상세불명의 낙상, 주택","","1"
"W189","동일면상에서 기타 넘어짐, 상세불명 장소","","1"
"W184","동일면상에서 기타 넘어짐, 도로 및 고속도로","1",""
"W181","동일면상에서 기타 넘어짐, 집단거주시설","1","1"
"W180","동일면상에서 기타 넘어짐, 주택","9","20"
"W170","기타 한면에서 다른 면으로 넘어짐, 주택","","1"
"W148","나무에서의 낙상, 기타 명시된 장소","","1"
"W147","나무에서의 낙상, 농장","1",""
"W130","빌딩 또는 구조물에서의 낙상, 주택","1",""
"W119","사다리에서의 낙상, 상세불명 장소","1",""
"W109","계단에서의 낙상, 상세불명 장소","6","9"
"W108","계단에서의 낙상, 기타 명시된 장소","1",""
"W105","계단에서의 낙상, 상업 및 서비스 구역","","1"
"W102","계단에서의 낙상, 학교, 기타 시설 및 공공행정 구역","1",""
"W100","계단에서의 낙상, 주택","1","1"
"W079","의자가 관여된 낙상, 상세불명 장소","1","1"
"W070","의자가 관여된 낙상, 주택","","3"
"W062","침대가 관여된 낙상, 학교, 기타 시설 및 공공행정 구역","1",""
"W060","침대가 관여된 낙상, 주택","2","6"
"W059","휠체어가 관여된 낙상, 상세불명 장소","","1"
"W054","휠체어가 관여된 낙상, 도로 및 고속도로","1",""
"W019","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 상세불명 장소","19","39"
"W018","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 기타 명시된 장소","5","10"
"W017","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 농장","2","11"
"W014","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 도로 및 고속도로","10","14"
"W013","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 운동 및 경기장","2",""
"W012","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 학교, 기타 시설 및 공공행정 구역","5","4"
"W011","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 집단 거주시설","3","6"
"W010","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 주택","18","40"
"W004","얼음 또는 눈에 의한 동일 면상에서의 낙상, 도로 및 고속도로","1","2"
"V899","상세불명의 차량사고에서 다친 사람","1","1"
"V890","상세불명의 자동차 사고에서 다친 사람, 비교통성","","1"
"V849","비교통사고에서 다친 상세불명의 특수농업용 차량 탑승자","1",""
"V793","상세불명의 비교통사고에서 다친 [모든] 버스 탑승자","","2"
"V593","상세불명의 비교통사고에서 다친 [모든] 픽업트럭 또는 밴 탑승자","","1"
"V583","비교통사고에서 비충돌 운수사고에서 다친 상세불명의 픽업트럭 또는 밴의 탑승자","","1"
"V575","교통사고에서 고정 또는 정지된 물체와의 충돌로 다친 픽업트럭 또는 밴의 운전자","","1"
"V535","교통사고에서 승용차, 픽업트럭 또는 밴과의 충돌로 다친 픽업트럭 또는 밴의 운전자","","1"
"V499","상세불명의 교통사고에서 다친 [모든] 승용차 탑승자","","1"
"V494","교통사고에서 기타 및 상세불명의 자동차와의 충돌로 다친 운전자","1","1"
"V383","비교통사고에서 비충돌 운수사고에서 다친 삼륜자동차 상세불명의 삼륜자동차 탑승자","1",""
"V299","상세불명의 교통사고에서 다친 [모든]모터싸이클 탑승자","","1"
"V296","교통사고에서 기타 및 상세불명의 자동차와 충돌로 다친 상세불명의 모터사이클 탑승자","1",""
"V282","비교통사고에서 비충돌 운수사고에서 다친 상세불명의 모터사이클 탑승자","","1"
"V239","교통사고에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 상세불명의 모터사이클 탑승자","1",""
"V196","교통사고에서 기타 및 상세불명의 자동차와 충돌로 다친 상세불명의 자전거 탑승자","","1"
"V184","교통사고에서 비충돌 운수사고에서 다친 자전거 운전자","4","2"
"V182","비교통사고에서 비충돌 운수사고에서 다친 상세불명의 자전거 탑승자","","4"
"U99","재발한 악성 신생물","4","5"
"U8280","카바페넴계내성","6","2"
"U234","중풍후유증(中風後遺證)","2",""
"U089","상세불명의 코로나-19의 개인력","3","5"
"U072","바이러스가 확인되지 않은 코로나바이러스 질환 2019 [바이러스가 확인되지 않은 코로나-19]","1","4"
"U071","바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19]","65","80"
"T936","다리의 으깸손상 및 외상성 절단의 후유증","2",""
"T913","척수손상의 후유증","1","1"
"T911","척추골절의 후유증","1",""
"T905","두개내손상의 후유증","7",""
"T873","절단잘린끝의 신경종","1",""
"T857","기타 내부 인공삽입장치, 삽입물 및 이식편에 의한 감염 및 염증반응","3",""
"T845","내부인공관절에 의한 감염 및 염증반응","","1"
"T814","달리 분류되지 않은 처치에 따른 감염","3","1"
"T813","달리 분류되지 않은 수술상처의 파열","1","5"
"T810","달리 분류되지 않은 처치에 합병된 출혈 및 혈종","1","1"
"T2421","발목 및 발을 제외한 엉덩이 및 다리의 2도 화상, 무릎","","1"
"T212","몸통의 2도 화상","","1"
"T189","소화관의 상세불명 부분의 이물","1",""
"T146","상세불명의 신체부위의 근육 및 힘줄의 손상","","1"
"T143","상세불명의 신체부위의 탈구, 염좌 및 긴장","","1"
"T140","상세불명의 신체부위의 표재성 손상","","1"
"T093","척수의 상세불명 부위의 손상","1",""
"T009","상세불명의 여러 부위의 표재성 손상","1",""
"S936","발의 기타 및 상세불명 부분의 염좌 및 긴장","1",""
"S9349","발목의 상세불명 부분의 염좌 및 긴장","","2"
"S932","발목 및 발 부위의 인대의 파열","","1"
"S9250","기타 발가락의 골절, 폐쇄성","","1"
"S9231","중족골의 골절, 개방성","2",""
"S9230","중족골의 골절, 폐쇄성","2","7"
