"상병코드"," 상병명 ","국비","사비"
"A020"," 살모넬라장염 ","2",""
"A044"," 기타 장대장균감염 ","1",""
"A047"," 클로스트리듐 디피실리에 의한 장결장염 ","71","59"
"A048"," 기타 명시된 세균성 장감염 ","1",""
"A090"," 감염성 기원의 기타 및 상세불명의 위장염 및 결장염 ","5","9"
"A099"," 상세불명 기원의 위장염 및 결장염 ","54","52"
"A1500"," 배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵 ","1","1"
"A1501"," 배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵, 공동이 없거나 상세불명의 ","5","6"
"A1510"," 배양만으로 확인된 공동이 있는 폐결핵 ","","1"
"A1511"," 배양만으로 확인된 공동이 없거나 상세불명의 폐결핵 ","1","5"
"A1521"," 조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵 ","1","1"
"A1531"," 상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵 ","5",""
"A1551"," 세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두, 기관 및 기관지의 결핵 ","","1"
"A1561"," 세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염 ","1",""
"A1601"," 세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵 ","1",""
"A1611"," 세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 폐결핵 ","","1"
"A1621"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵 ","2","2"
"A1691"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵 ","","1"
"A182"," 결핵성 말초림프절병증 ","","2"
"A184"," 피부 및 피하조직의 결핵 ","","1"
"A310"," 폐마이코박테리아감염 ","11","14"
"A319"," 상세불명의 마이코박테리아감염 ","","1"
"A4020"," 장알균에 의한 패혈증 ","3","3"
"A408"," 기타 연쇄알균패혈증 ","","1"
"A410"," 황색포도알균에 의한 패혈증 ","11","8"
"A411"," 기타 명시된 포도알균에 의한 패혈증 ","6","5"
"A412"," 상세불명의 포도알균에 의한 패혈증 ","3","1"
"A4150"," 대장균에 의한 패혈증 ","17","17"
"A4151"," 슈도모나스에 의한 패혈증 ","4","6"
"A4153"," 아시네토박터에 의한 패혈증 ","1","3"
"A4158"," 기타 명시된 그람음성균에 의한 패혈증 ","13","7"
"A4159"," 상세불명의 그람음성균에 의한 패혈증 ","","1"
"A418"," 기타 명시된 패혈증 ","5","7"
"A419"," 상세불명의 패혈증 ","21","24"
"A422"," 목얼굴방선균증 ","3",""
"A490"," 상세불명 부위의 포도알균감염 ","58","50"
"A491"," 상세불명 부위의 연쇄알균 및 장내알균 감염 ","62","36"
"A492"," 상세불명 부위의 인플루엔자균감염 ","","1"
