"상병코드","상병명","국비","사비"
"A047","클로스트리듐 디피실리에 의한 장결장염","2","10"
"A048","기타 명시된 세균성 장감염","1",""
"A050","음식매개포도알균중독","","1"
"A0838","기타 바이러스장염","","1"
"A084","상세불명의 바이러스성 장감염","2","9"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","7","9"
"A099","상세불명 기원의 위장염 및 결장염","25","16"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","","1"
"A1591","세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵","","1"
"A1651","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염","","3"
"A419","상세불명의 패혈증","3","2"
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","2","2"
"B0052","결막염(H13.1*)","","1"
"B009","상세불명의 헤르페스바이러스감염","4","2"
"B022","기타 신경계통 침범을 동반한 대상포진","1","1"
"B029","합병증이 없는 대상포진","","1"
"B171","급성 C형간염","","1"
"B179","상세불명의 급성 바이러스간염","","1"
"B1819","델타-병원체가 없는 만성 바이러스B형간염, 기타 및 상세불명의 기간","1",""
"B182","만성 바이러스C형간염","","2"
"B279","상세불명의 감염성 단핵구증","","1"
"B351","손발톱백선","23","5"
"B353","발백선","26","7"
"B354","체부백선","4","4"
"B356","사타구니백선","1",""
"B3780","칸디다식도염","1",""
"B49","상세불명의 진균증","1",""
"C069","상세불명의 입의 악성 신생물","","1"
"C089","상세불명의 주침샘의 악성 신생물","1",""
"C159","상세불명의 식도의 악성 신생물","","7"
"C1601","분문의 악성 신생물, 진행형","","2"
"C1621","위의 체부의 악성 신생물, 진행형","2",""
"C1629","위의 체부의 악성 신생물, 상세불명","1",""
"C1631","유문동의 악성 신생물, 진행형","1","1"
"C1639","유문동의 악성 신생물, 상세불명","8","4"
"C1681","위의 중복병변의 악성 신생물, 진행형","","2"
"C1690","상세불명의 위의 악성 신생물, 조기","1","1"
"C1691","상세불명의 위의 악성 신생물, 진행형","","4"
"C1699","상세불명의 위의 악성 신생물, 상세불명","17","23"
"C170","십이지장의 악성 신생물","","4"
"C180","맹장의 악성 신생물","1","3"
"C181","충수의 악성 신생물","","2"
"C182","상행결장의 악성 신생물","5","6"
"C184","횡행결장의 악성 신생물","1",""
"C186","하행결장의 악성 신생물","14",""
"C187","구불결장의 악성 신생물","11","26"
"C189","상세불명의 결장의 악성 신생물","2","6"
"C19","직장구불결장접합부의 악성 신생물","3","6"
"C20","직장의 악성 신생물","4","9"
"C220","간세포암종의 악성 신생물","16","10"
"C221","간내담관암종의 악성 신생물","9","4"
"C23","담낭의 악성 신생물","3","9"
"C240","간외담관의 악성 신생물","5","1"
"C241","파터팽대의 악성 신생물","1","5"
"C250","췌장의 두부의 악성 신생물","4","6"
"C252","췌장의 꼬리의 악성 신생물","1","5"
"C258","췌장의 중복병변의 악성 신생물","","1"
"C259","상세불명의 췌장의 악성 신생물","8","19"
