"상병코드","상병명","국비","사비"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","4","3"
"A099","상세불명 기원의 위장염 및 결장염","3","8"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","0","1"
"A488","기타 명시된 세균성 질환","1","0"
"B022","기타 신경계통 침범을 동반한 대상포진","0","1"
"B07","바이러스사마귀","0","1"
"C1691","상세불명의 위의 악성 신생물, 진행형","7","1"
"C1699","상세불명의 위의 악성 신생물, 상세불명","0","5"
"C182","상행결장의 악성 신생물","1","2"
"C187","구불결장의 악성 신생물","1","1"
"C189","상세불명의 결장의 악성 신생물","1","0"
"C19","직장구불결장접합부의 악성 신생물","0","1"
"C220","간세포암종의 악성 신생물","0","5"
"C221","간내담관암종의 악성 신생물","0","1"
"C229","상세불명의 간의 악성 신생물","0","2"
"C251","췌장의 체부의 악성 신생물","1","0"
"C259","상세불명의 췌장의 악성 신생물","5","0"
"C3490","상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽","0","1"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","3","2"
"C443","얼굴의 기타 및 상세불명 부분의 피부의 악성 신생물","1","0"
"C61","전립선의 악성 신생물","22","8"
"C660","요관의 악성 신생물, 오른쪽","0","3"
"C672","방광의 측벽의 악성 신생물","1","1"
"C679","상세불명의 방광의 악성 신생물","14","20"
"C861","간비장 T-세포림프종","0","1"
"D010","결장의 제자리암종","1","0"
"D090","방광의 제자리암종","2","0"
"D131","위의 양성 신생물","1","0"
"D170","머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물","1","0"
"D171","몸통의 피부 및 피하조직의 양성 지방종성 신생물","1","0"
"D1720","팔의 피부 및 피하조직의 양성 지방종성 신생물","0","2"
"D177","기타 부위의 양성 지방종성 신생물","1","1"
"D179","상세불명의 양성 지방종성 신생물","1","6"
"D213","흉부의 결합조직 및 기타 연조직의 양성 신생물","0","1"
"D219","상세불명의 결합조직 및 기타 연조직의 기타 양성 신생물","1","0"
"D316","상세불명의 안와의 양성 신생물. 제외 : 안와골(D16.41) (Orbital bone)","0","1"
"D370","입술, 구강 및 인두의 행동양식 불명 또는 미상의 신생물","1","0"
"D377","기타 소화기관의 행동양식 불명 또는 미상의 신생물","0","1"
"D414","방광의 행동양식 불명 또는 미상의 신생물","9","10"
