"상병코드","상병명","국비","사비"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","0","1"
"A099","상세불명 기원의 위장염 및 결장염","3","12"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","1","2"
"B022","기타 신경계통 침범을 동반한 대상포진","0","1"
"B1809","델타-병원체가 있는 만성 바이러스B형간염, 기타 및 상세불명의 기간","0","3"
"B353","발백선","0","1"
"B49","상세불명의 진균증","0","1"
"C180","맹장의 악성 신생물","2","0"
"C187","구불결장의 악성 신생물","0","1"
"C220","간세포암종","0","1"
"C259","상세불명의 췌장의 악성 신생물","0","1"
"C321","성문상의 악성 신생물","2","0"
"C3410","상엽, 기관지 또는 폐의 악성 신생물, 오른쪽","0","2"
"C3430","하엽, 기관지 또는 폐의 악성 신생물, 오른쪽","1","0"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","2","3"
"C61","전립선의 악성 신생물","13","13"
"C672","방광의 측벽의 악성 신생물","5","4"
"C679","상세불명의 방광의 악성 신생물","34","27"
"C73","갑상선의 악성 신생물","0","1"
"C809","원발부위 상세불명인 악성 신생물","0","1"
"D090","방광의 제자리암종","6","11"
"D122","상행결장의 양성 신생물","0","1"
"D123","횡행결장의 양성 신생물","1","0"
"D127","직장구불결장접합부의 양성 신생물","2","1"
"D136","췌장의 양성 신생물","1","0"
"D179","상세불명의 양성 지방종성 신생물","0","1"
"D211","어깨를 포함한 팔의 결합조직 및 기타 연조직의 기타 양성 신생물","0","1"
"D212","엉덩이를 포함한 다리의 결합조직 및 기타 연조직의 기타 양성 신생물","1","0"
"D414","방광의 행동양식 불명 또는 미상의 신생물","1","0"
"D432","상세불명의 뇌의 행동양식 불명 또는 미상의 신생물","1","0"
"E039","상세불명의 갑상선기능저하증","0","1"
"E059","상세불명의 갑상선독증","1","0"
"E1041","당뇨병성 다발신경병증을 동반한 1형 당뇨병(G63.2*)","1","1"
"E1078","기타 다발성 합병증을 동반한 1형 당뇨병","0","2"
"E1128","기타 및 상세불명의 신장합병증을 동반한 2형 당뇨병(N08.3*)","5","0"
"E1140","당뇨병성 단일신경병증을 동반한 2형 당뇨병","0","1"
"E1141","당뇨병성 다발신경병증을 동반한 2형 당뇨병(G63.2*)","0","1"
