year_num,age_num,is_major_city,is_inpatient,year_trend,age_city_interaction,age_year_interaction,지역,age_group,구분,disease_group,region_age,y_actual,y_predicted,prediction_correct,top1_class,top1_probability,top2_class,top2_probability,top3_class,top3_probability,confidence,sample_weight,confidence_bin
0,30,1,0,0,30,0,서울,59이하,입원(연인원),S72,서울_59이하,정형외과,내과,0,내과,0.7791566874546125,정형외과,0.09354466792140477,재활의학과,0.055563916174202005,0.7791566874546125,14,0.7-0.8
0,30,1,0,0,30,0,서울,59이하,외래,R42,서울_59이하,신경과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,594,0.5-0.7
0,30,1,0,0,30,0,서울,59이하,외래,H35,서울_59이하,안과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,181,0.5-0.7
1,30,1,0,1,30,30,서울,59이하,입원(연인원),S72,서울_59이하,정형외과,내과,0,내과,0.7791566874546125,정형외과,0.09354466792140477,재활의학과,0.055563916174202005,0.7791566874546125,123,0.7-0.8
1,30,1,0,1,30,30,서울,59이하,입원(연인원),T84,서울_59이하,정형외과,내과,0,내과,0.7791566874546125,정형외과,0.09354466792140477,재활의학과,0.055563916174202005,0.7791566874546125,199,0.7-0.8
1,30,1,0,1,30,30,서울,59이하,외래,H35,서울_59이하,안과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,192,0.5-0.7
1,30,1,0,1,30,30,서울,59이하,외래,R42,서울_59이하,신경과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,657,0.5-0.7
1,30,1,0,1,30,30,서울,59이하,외래,H42,서울_59이하,안과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,366,0.5-0.7
1,30,1,0,1,30,30,서울,59이하,외래,K04,서울_59이하,치과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,1084,0.5-0.7
2,30,1,0,4,30,60,서울,59이하,입원(연인원),G82,서울_59이하,재활의학과,내과,0,내과,0.7791566874546125,정형외과,0.09354466792140477,재활의학과,0.055563916174202005,0.7791566874546125,2155,0.7-0.8
2,30,1,0,4,30,60,서울,59이하,입원(연인원),S72,서울_59이하,정형외과,내과,0,내과,0.7791566874546125,정형외과,0.09354466792140477,재활의학과,0.055563916174202005,0.7791566874546125,177,0.7-0.8
2,30,1,0,4,30,60,서울,59이하,외래,R42,서울_59이하,신경과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,664,0.5-0.7
2,30,1,0,4,30,60,서울,59이하,외래,H35,서울_59이하,안과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,131,0.5-0.7
2,30,1,0,4,30,60,서울,59이하,외래,K04,서울_59이하,치과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,1150,0.5-0.7
2,30,1,0,4,30,60,서울,59이하,외래,H42,서울_59이하,안과,내과,0,내과,0.5374829263762158,안과,0.20190809075814461,치과,0.11916728900594857,0.5374829263762158,291,0.5-0.7
0,30,1,0,0,30,0,부산,59이하,입원(연인원),S46,부산_59이하,정형외과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,130,0.7-0.8
0,30,1,0,0,30,0,부산,59이하,입원(연인원),I69,부산_59이하,신경과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,220,0.7-0.8
0,30,1,0,0,30,0,부산,59이하,입원(연인원),M50,부산_59이하,재활의학과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,99,0.7-0.8
0,30,1,0,0,30,0,부산,59이하,입원(연인원),M43,부산_59이하,정형외과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,0,0.7-0.8
0,30,1,0,0,30,0,부산,59이하,외래,L29,부산_59이하,피부과,내과,0,내과,0.5528952611871295,안과,0.18601662137208289,치과,0.07647490181285596,0.5528952611871295,387,0.5-0.7
0,30,1,0,0,30,0,부산,59이하,외래,H04,부산_59이하,안과,내과,0,내과,0.5528952611871295,안과,0.18601662137208289,치과,0.07647490181285596,0.5528952611871295,310,0.5-0.7
0,30,1,0,0,30,0,부산,59이하,외래,H35,부산_59이하,안과,내과,0,내과,0.5528952611871295,안과,0.18601662137208289,치과,0.07647490181285596,0.5528952611871295,111,0.5-0.7
1,30,1,0,1,30,30,부산,59이하,입원(연인원),S46,부산_59이하,정형외과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,166,0.7-0.8
1,30,1,0,1,30,30,부산,59이하,입원(연인원),I69,부산_59이하,신경과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,0,0.7-0.8
1,30,1,0,1,30,30,부산,59이하,입원(연인원),M50,부산_59이하,재활의학과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,121,0.7-0.8
1,30,1,0,1,30,30,부산,59이하,외래,N31,부산_59이하,비뇨의학과,내과,0,내과,0.5528952611871295,안과,0.18601662137208289,치과,0.07647490181285596,0.5528952611871295,285,0.5-0.7
1,30,1,0,1,30,30,부산,59이하,외래,R53,부산_59이하,가정의학과,내과,0,내과,0.5528952611871295,안과,0.18601662137208289,치과,0.07647490181285596,0.5528952611871295,282,0.5-0.7
2,30,1,0,4,30,60,부산,59이하,입원(연인원),S46,부산_59이하,정형외과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,238,0.7-0.8
2,30,1,0,4,30,60,부산,59이하,입원(연인원),I69,부산_59이하,신경과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,49,0.7-0.8
2,30,1,0,4,30,60,부산,59이하,입원(연인원),M43,부산_59이하,정형외과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,0,0.7-0.8
2,30,1,0,4,30,60,부산,59이하,입원(연인원),G82,부산_59이하,재활의학과,내과,0,내과,0.7753308173802544,정형외과,0.07530033465270398,재활의학과,0.05778149152404182,0.7753308173802544,478,0.7-0.8
2,30,1,0,4,30,60,부산,59이하,외래,N31,부산_59이하,비뇨의학과,내과,0,내과,0.5528952611871295,안과,0.18601662137208289,치과,0.07647490181285596,0.5528952611871295,278,0.5-0.7
2,30,1,0,4,30,60,부산,59이하,외래,F06,부산_59이하,정신건강의학과,내과,0,내과,0.5528952611871295,안과,0.18601662137208289,치과,0.07647490181285596,0.5528952611871295,4,0.5-0.7
2,30,1,0,4,30,60,부산,59이하,외래,H35,부산_59이하,안과,내과,0,내과,0.5528952611871295,안과,0.18601662137208289,치과,0.07647490181285596,0.5528952611871295,102,0.5-0.7
