상병코드,상병명,방문비율
K63,장의기타질환,inf
C25,췌장의악성신생물,inf
M51,기타추간판장애,inf
N18,만성신장병,inf
G82,하반신마비및사지마비,inf
M75,어깨병변,inf
E11,2형당뇨병,inf
I69,뇌혈관질환의후유증,inf
M54,등통증,inf
C16,위의악성신생물,inf
C34,기관지및폐의악성신생물,inf
I63,뇌경색증,inf
M96,달리분류되지않은처치후근골격장애,inf
M17,무릎관절증,inf
M48,기타척추병증,inf
L89, 욕창성 및 압박부위 궤양 ,255.23076923076923
L89, 욕창성 및 압박부위 궤양 ,185.78571428571428
G82, flaccid paraplegia ,167.79365079365078
L89,욕창성 및 압박부위 궤양,135.6
K81, 담낭염 ,134.0
Z49, 투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ,129.60655737704917
Z49, 투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ,129.60655737704917
G82,   하반신마비 및 사지마비   ,121.7
Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,109.55072463768116
N18, 만성 신장병 ,109.18627450980392
N18, 만성 신장병 ,109.18627450980392
G82, 하반신마비 및 사지마비 ,108.85714285714286
F20, Paranoid schizophrenia ,104.46835443037975
F20, Paranoid schizophrenia ,103.33734939759036
G81, flaccid hemiplegia ,103.3170731707317
F20, Paranoid schizophrenia ,94.78823529411764
G82, 하반신마비 및 사지마비 ,85.21739130434783
I69,   뇌혈관질환의 후유증   ,79.2051282051282
G81, 편마비 ,74.16666666666667
G81, 편마비 ,74.16666666666667
G81, flaccid hemiplegia ,70.72602739726027
G81, 편마비 ,69.5945945945946
N18,만성 신장병,68.51764705882353
N18,만성 신장병,68.51764705882353
Z50, 재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ,68.29850746268657
Z50, 재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ,68.29850746268657
G81, 편마비 ,65.95454545454545
I69, 뇌혈관질환의 후유증 ,63.458333333333336
I69, 뇌혈관질환의 후유증 ,63.229166666666664
N18, 만성 신장병 ,63.067567567567565
N18, 만성 신장병 ,63.067567567567565
M43, 기타 변형성 등병증 ,62.73684210526316
I63, 뇌경색증 ,62.129411764705885
I63, 뇌경색증 ,62.129411764705885
G20, 파킨슨병 ,61.73170731707317
Z50,재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,61.397260273972606
Z50,재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,61.397260273972606
I69, 뇌혈관질환의 후유증 ,59.3235294117647
M96, 달리 분류되지 않은 처치후 근골격장애 ,56.28260869565217
N18,만성 콩팥(신장)기능상실,56.23376623376623
I69, 뇌혈관질환의 후유증 ,55.18
I63, 뇌경색증 ,54.701149425287355
I63, 뇌경색증 ,54.701149425287355
C61,전립선의 악성 신생물,54.07692307692308
G81,편마비,53.6875
G81,편마비,53.6875
M50, 경추간판장애 ,53.06122448979592
M51, 기타 추간판장애 ,52.375
M48, 기타 척추병증 ,51.95918367346939
M48, 기타 척추병증 ,51.95918367346939
G20, 파킨슨병 ,51.71739130434783
M54, 등통증 ,51.473684210526315
M43, 기타 변형성 등병증 ,50.951219512195124
N18, 만성 콩팥(신장)기능상실 ,50.916666666666664
M96, 달리 분류되지 않은 처치후 근골격장애 ,50.74107142857143
M96, 달리 분류되지 않은 처치후 근골격장애 ,50.74107142857143
G81, 편마비 ,50.6
M48, 기타 척추병증 ,50.331491712707184
