"구분","순위","상병코드","상병명","실인원","연인원","59이하","60-64","65-69","70-79","80-89","90이상"
"입원실인원","1"," U07 "," Emergency use of U07 ","2739","27848","1527","263","332","468","136","13"
"입원실인원","2"," H25 "," Senile incipient cataract, ","1420","4916","19","29","99","1051","185","37"
"입원실인원","3"," Z51 "," therapeutic radiology ","694","8317","44","34","45","484","78","9"
"입원실인원","4"," M17 "," Osteoarthritis of patellofemoral joint, both ","471","10136","16","27","51","318","56","3"
"입원실인원","5"," C34 "," lung cancer of hilus ","327","8220","6","2","13","254","40","12"
"입원실인원","6"," M48 "," spinal stenosis ","314","5046","13","13","22","235","24","7"
"입원실인원","7"," I25 "," Atherosclerotic cardiovascular disease ","305","3532","8","7","16","220","47","7"
"입원실인원","8"," I67 "," Dissection intracranial ","280","1813","20","19","49","180","12","0"
"입원실인원","9"," C22 "," Combined hepatocellular carcinoma and cholangiocarcinoma ","252","2878","7","12","11","186","35","1"
"입원실인원","10"," I65 "," Occlusion and stenosis of vertebral artery ","252","1708","1","3","8","222","16","2"
"입원실인원","11"," Z04 "," Examination and observation following work accident ","244","831","0","1","0","215","26","2"
"입원실인원","12"," I63 "," cerebral infarction due to thrombosis of precerebral arteries ","242","4055","9","7","5","134","58","29"
"입원실인원","13"," M75 "," periarthritis of shoulder ","231","3269","21","12","20","168","9","1"
"입원실인원","14"," K80 "," gallstone(impacted) of cystic duct ","224","2675","9","4","9","148","40","14"
"입원실인원","15"," C61 "," Acinar Prostate Adenocarcinoma ","220","3252","2","4","6","187","18","3"
"입원실인원","16"," C16 "," Malignant neoplasm of cardia of stomach ","181","3461","6","4","5","127","27","12"
"입원실인원","17"," I50 "," Right heart failure ","179","3555","3","1","1","73","78","23"
"입원실인원","18"," N18 "," Chronic kidney disease, stage 1 ","177","5559","9","6","5","119","33","5"
"입원실인원","19"," K40 "," Bilateral inguinal hernia, with obstruction, without gangrene ","171","614","4","2","3","123","30","9"
"입원실인원","20"," J18 "," bronchopneumonia ","153","2474","2","1","2","75","46","27"
"입원연인원","1"," U07 "," Emergency use of U07 ","2739","27848","13881","2907","3680","5521","1660","199"
"입원연인원","2"," M17 "," Osteoarthritis of patellofemoral joint, both ","471","10136","413","558","1125","6693","1301","46"
"입원연인원","3"," Z51 "," therapeutic radiology ","694","8317","591","186","426","4467","2039","608"
"입원연인원","4"," F20 "," Paranoid schizophrenia ","79","8253","3608","1513","1395","1345","392","0"
"입원연인원","5"," C34 "," lung cancer of hilus ","327","8220","158","23","211","6370","1106","352"
"입원연인원","6"," N18 "," Chronic kidney disease, stage 1 ","177","5559","122","89","128","3689","932","599"
"입원연인원","7"," M48 "," spinal stenosis ","314","5046","179","224","333","3729","476","105"
"입원연인원","8"," H25 "," Senile incipient cataract, ","1420","4916","67","98","349","3628","642","132"
"입원연인원","9"," I63 "," cerebral infarction due to thrombosis of precerebral arteries ","242","4055","100","155","34","1817","1499","450"
"입원연인원","10"," J15 "," Pneumonia due to klebsiella pneumoniae ","87","3692","0","15","9","1700","1412","556"
"입원연인원","11"," E11 "," non-insulin-dependent diabetes mellitus with coma ","133","3562","278","183","116","1985","740","260"
"입원연인원","12"," I50 "," Right heart failure ","179","3555","22","13","11","1378","1731","400"
"입원연인원","13"," S72 "," femur neck fracture Garden type III ","108","3541","14","186","41","710","1712","878"
"입원연인원","14"," I25 "," Atherosclerotic cardiovascular disease ","305","3532","36","54","247","2444","660","91"
"입원연인원","15"," C16 "," Malignant neoplasm of cardia of stomach ","181","3461","66","47","53","2532","567","196"
"입원연인원","16"," M75 "," periarthritis of shoulder ","231","3269","328","149","277","2351","135","29"
"입원연인원","17"," C61 "," Acinar Prostate Adenocarcinoma ","220","3252","23","69","59","2718","194","189"
"입원연인원","18"," C22 "," Combined hepatocellular carcinoma and cholangiocarcinoma ","252","2878","57","103","108","2058","543","9"
"입원연인원","19"," K80 "," gallstone(impacted) of cystic duct ","224","2675","48","22","101","1842","496","166"
"입원연인원","20"," S06 "," Cerebral concussion, without open intracranial wound ","81","2672","50","13","183","1731","453","242"
"외래","1"," N40 "," benign prostate of hyperplasia(BPH) ","60388","60388","595","1319","2445","44207","8851","2971"
"외래","2"," I10 "," essential hypertension ","54469","54469","2288","2355","4401","34447","8838","2140"
"외래","3"," K05 "," Acute gingivitis ","53947","53947","4853","3260","5211","34906","4933","784"
"외래","4"," E11 "," non-insulin-dependent diabetes mellitus with coma ","53443","53443","2832","2292","4141","35780","7091","1307"
"외래","5"," K08 "," Other disorders of teeth and supporting  structures ","41924","41924","1474","1087","3225","30757","4476","905"
"외래","6"," M48 "," spinal stenosis ","30964","30964","898","946","2287","20767","4926","1140"
"외래","7"," L30 "," Nummular dermatitis ","28265","28265","1569","921","1497","20829","2840","609"
"외래","8"," I20 "," Angina pectoris ","25532","25532","355","530","1126","18836","3784","901"
"외래","9"," I63 "," cerebral infarction due to thrombosis of precerebral arteries ","22710","22710","284","534","962","14843","4500","1587"
"외래","10"," H25 "," Senile incipient cataract, ","18689","18689","425","627","1292","13158","2673","514"
"외래","11"," G81 "," flaccid hemiplegia ","18343","18343","2350","605","1341","12041","1481","525"
"외래","12"," M51 "," Lumbar and other intervertebral disc disorders with myelopathy ","17593","17593","1354","437","940","12351","2167","344"
"외래","13"," N18 "," Chronic kidney disease, stage 1 ","17273","17273","1129","734","758","10283","3225","1144"
"외래","14"," R42 "," psychophysiologic dizziness ","16954","16954","594","490","1155","10572","3249","894"
"외래","15"," C61 "," Acinar Prostate Adenocarcinoma ","16780","16780","9","176","302","13458","2395","440"
"외래","16"," U07 "," Emergency use of U07 ","16243","16243","10370","1117","1330","2916","437","73"
"외래","17"," M17 "," Osteoarthritis of patellofemoral joint, both ","16028","16028","661","680","1567","10324","2348","448"
"외래","18"," R52 "," acute pain ","15517","15517","2200","968","1166","9105","1525","553"
"외래","19"," H35 "," radiation retinopathy ","15475","15475","181","248","697","10920","2751","678"
"외래","20","K02","Caries limited to enamel","14653","14653","1979","719","1106","9262","1394","193"
