구 분,1 월,2 월,3 월,4 월,5 월,6 월,7 월,8 월,9 월,10 월,11 월,12 월,합계
내과,"12,324","12,386","12,712","13,208","11,996","11,524","13,149","11,820","14,379","14,222","11,669","13,177","152,566"
신경과,"2,499","2,433","2,501","2,681","2,501","2,391","2,789","2,563","2,613","2,745","2,443","2,698","30,857"
소아청소년과,"2,507","2,606","2,521","3,262","2,548","2,228","2,490","2,075","2,108","2,951","2,772","3,305","31,373"
정신과,724,725,758,798,760,685,829,770,782,795,703,741,"9,070"
외과,"1,145","1,134","1,216","1,205","1,022","1,091","1,258","1,056",990,"1,044",929,"1,119","13,209"
흉부외과,151,188,146,168,167,164,198,182,185,160,138,145,"1,992"
정형외과,"3,930","3,899","3,889","4,156","3,797","3,782","4,183","3,868","3,985","3,959","3,661","3,855","46,964"
신경외과,"1,644","1,673","1,847","1,925","1,724","1,540","1,737","1,554","1,484","1,490","1,371","1,450","19,439"
산부인과,123,133,122,122,124,128,139,136,113,138,102,127,"1,507"
안과,"1,662","1,668","1,899","2,024","1,848","1,837","2,205","1,977","2,022","2,059","1,800","1,945","22,946"
피부과,"2,048","1,906","2,262","1,890","2,035","2,131","2,336","2,191","2,257","2,292","1,994","2,143","25,485"
이비인후과,"1,350","1,106","1,350","1,363","1,127","1,137","1,293","1,086","1,297","1,366","1,336","1,342","15,153"
비뇨기과,"2,586","2,677","2,716","2,827","2,521","2,452","2,853","2,663","2,719","2,719","2,513","2,822","32,068"
치과,"2,669","2,601","2,698","2,631","2,291","2,272","2,694","2,315","2,284","2,537","2,243","2,488","29,723"
재활의학과,"2,518","2,481","2,659","2,923","2,596","2,562","3,182","2,703","2,873","3,085","2,787","2,965","33,334"
가정의학과,"2,551","2,740","2,637","2,664","2,265","2,084","2,455","2,094","2,877","4,976","3,256","3,108","33,707"
마취과,29,43,48,48,46,45,30,29,35,49,38,31,471
핵의학과,17,14,10,15,19,24,23,21,20,19,18,11,211
건강관리과,287,452,759,721,998,841,776,762,888,988,913,"1,466","9,851"
합 계,"40,764","40,865","42,750","44,631","40,385","38,918","44,619","39,865","43,911","47,594","40,686","44,938","509,926"
