구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,522,"2,424","2,946",382,"2,014","2,396",438,"1,891","2,329",427,"1,741","2,168",428,"1,612","2,040",356,"1,500","1,856",412,"1,569","1,981",460,"1,615","2,075",313,"1,593","1,906","6,033","8,191","14,224","1,327","2,303","3,630",442,"1,855","2,297","11,540","28,308","39,848"
순환기내과,318,"1,720","2,038",197,"1,253","1,450",474,"1,560","2,034",600,"1,714","2,314",622,"1,932","2,554",395,"1,524","1,919",576,"2,156","2,732",357,"2,029","2,386",309,"1,844","2,153",422,"2,032","2,454",379,"2,035","2,414",393,"2,237","2,630","5,042","22,036","27,078"
호흡기내과,318,864,"1,182",186,627,813,463,883,"1,346",427,"1,012","1,439",392,"1,076","1,468",312,998,"1,310",374,"1,206","1,580",305,"1,114","1,419",334,"1,093","1,427",351,"1,128","1,479",375,"1,159","1,534",348,"1,134","1,482","4,185","12,294","16,479"
내분비내과,192,"1,922","2,114",145,"1,254","1,399",199,"1,605","1,804",201,"1,747","1,948",277,"1,710","1,987",210,"1,665","1,875",195,"1,981","2,176",154,"1,519","1,673",230,"1,732","1,962",205,"1,884","2,089",214,"1,695","1,909",204,"1,678","1,882","2,426","20,392","22,818"
소화기내과,976,"2,449","3,425",935,"1,961","2,896",958,"2,406","3,364",913,"2,466","3,379",946,"2,615","3,561",791,"2,217","3,008",971,"2,781","3,752",841,"2,598","3,439",732,"2,571","3,303",849,"2,646","3,495",870,"3,246","4,116",790,"3,296","4,086","10,572","31,252","41,824"
신장내과,187,"1,927","2,114",153,"1,578","1,731",174,"1,717","1,891",197,"1,854","2,051",180,"1,862","2,042",162,"1,803","1,965",191,"1,991","2,182",204,"1,928","2,132",122,"1,715","1,837",198,"2,060","2,258",169,"1,862","2,031",156,"1,876","2,032","2,093","22,173","24,266"
소아청소년과,154,363,517,110,282,392,114,329,443,159,354,513,177,362,539,88,286,374,205,310,515,384,232,616,144,285,429,445,396,841,240,367,607,200,393,593,"2,420","3,959","6,379"
신경과,539,"1,342","1,881",405,921,"1,326",517,"1,254","1,771",537,"1,294","1,831",523,"1,185","1,708",464,"1,039","1,503",524,"1,305","1,829",526,"1,163","1,689",486,"1,245","1,731",541,"1,289","1,830",504,"1,208","1,712",431,"1,122","1,553","5,997","14,367","20,364"
정신건강의학과,100,"1,511","1,611",171,"1,225","1,396",146,"1,442","1,588",116,"1,610","1,726",118,"1,345","1,463",99,"1,450","1,549",135,"1,552","1,687",104,"1,706","1,810",85,"1,489","1,574",112,"1,612","1,724",110,"1,516","1,626",106,"1,638","1,744","1,402","18,096","19,498"
외과,183,497,680,166,484,650,176,461,637,175,449,624,212,491,703,186,476,662,227,569,796,165,471,636,179,488,667,219,522,741,197,549,746,153,586,739,"2,238","6,043","8,281"
정형외과,638,"3,396","4,034",509,"2,648","3,157",575,"3,157","3,732",660,"3,325","3,985",671,"3,296","3,967",562,"2,982","3,544",755,"3,263","4,018",793,"3,079","3,872",780,"2,972","3,752",881,"3,228","4,109",776,"2,978","3,754",723,"3,114","3,837","8,323","37,438","45,761"
신경외과,566,"1,895","2,461",478,"1,576","2,054",554,"1,780","2,334",571,"1,894","2,465",534,"1,865","2,399",498,"1,583","2,081",635,"1,940","2,575",585,"1,723","2,308",544,"1,679","2,223",598,"1,795","2,393",544,"1,644","2,188",543,"1,754","2,297","6,650","21,128","27,778"
산부인과,67,90,157,111,68,179,103,111,214,92,96,188,85,85,170,96,92,188,131,100,231,95,90,185,99,110,209,87,79,166,131,102,233,118,91,209,"1,215","1,114","2,329"
안과,963,"1,904","2,867",684,"1,582","2,266",970,"1,901","2,871",953,"1,900","2,853","1,011","1,843","2,854",863,"1,715","2,578","1,061","1,906","2,967",929,"1,850","2,779",866,"1,685","2,551","1,016","1,560","2,576",770,"1,715","2,485",840,"1,491","2,331","10,926","21,052","31,978"
이비인후과,423,871,"1,294",322,726,"1,048",390,808,"1,198",360,744,"1,104",401,821,"1,222",378,759,"1,137",528,797,"1,325",371,735,"1,106",395,754,"1,149",445,760,"1,205",472,754,"1,226",469,811,"1,280","4,954","9,340","14,294"
피부과,"1,012","2,078","3,090",863,"1,744","2,607",951,"1,948","2,899",987,"2,068","3,055","1,067","2,100","3,167","1,028","1,966","2,994","1,157","2,389","3,546","1,068","2,314","3,382",958,"2,161","3,119","1,011","2,212","3,223",946,"1,890","2,836",934,"1,932","2,866","11,982","24,802","36,784"
