구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,330,100,430,250,174,424,271,263,534,428,449,877,446,574,"1,020",428,710,"1,138",379,831,"1,210",372,818,"1,190",322,837,"1,159","1,691","1,108","2,799",378,909,"1,287",360,931,"1,291","5,655","7,704","13,359"
소화기내과,249,899,"1,148",181,784,965,208,813,"1,021",156,514,670,154,418,572,157,755,912,151,492,643,108,644,752,99,691,790,694,551,"1,245",125,553,678,177,771,948,"2,459","7,885","10,344"
순환기내과,14,136,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,2,56,128,36,164,94,71,165,120,93,213,410,338,748
신경과,170,751,921,38,383,421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208,"1,134","1,342"
외과,-,-,-,78,35,113,74,73,147,74,55,129,58,70,128,78,94,172,77,108,185,14,8,22,-,-,-,57,32,89,38,52,90,39,87,126,587,614,"1,201"
정형외과,396,"1,338","1,734",192,"1,111","1,303",245,989,"1,234",210,920,"1,130",234,714,948,295,844,"1,139",280,827,"1,107",299,745,"1,044",236,695,931,240,573,813,245,548,793,301,497,798,"3,173","9,801","12,974"
신경외과,161,682,843,166,672,838,241,796,"1,037",367,698,"1,065",330,734,"1,064",278,"1,022","1,300",269,933,"1,202",222,"1,026","1,248",215,"1,164","1,379",240,"1,127","1,367",249,952,"1,201",215,613,828,"2,953","10,419","13,372"
마취통증의학과,5,35,40,13,44,57,11,49,60,6,38,44,14,40,54,11,45,56,12,46,58,12,52,64,8,42,50,9,48,57,9,46,55,15,58,73,125,543,668
안과,400,223,623,369,213,582,330,268,598,278,261,539,365,302,667,381,335,716,343,407,750,288,347,635,294,402,696,587,295,882,302,390,692,280,409,689,"4,217","3,852","8,069"
이비인후과,345,413,758,221,333,554,206,327,533,233,336,569,233,301,534,244,328,572,265,285,550,225,280,505,244,313,557,907,325,"1,232",245,262,507,260,316,576,"3,628","3,819","7,447"
피부과,336,328,664,273,327,600,274,355,629,315,315,630,324,313,637,373,371,744,379,384,763,397,392,789,342,324,666,282,253,535,303,282,585,336,268,604,"3,934","3,912","7,846"
비뇨의학과,224,"1,342","1,566",204,"1,187","1,391",213,"1,297","1,510",200,"1,222","1,422",205,"1,142","1,347",254,"1,294","1,548",244,"1,340","1,584",258,"1,310","1,568",479,"1,381","1,860","1,757","1,536","3,293",421,"1,337","1,758",312,"1,497","1,809","4,771","15,885","20,656"
재활의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,127,213,97,445,542,183,572,755
치과,238,933,"1,171",174,835,"1,009",169,945,"1,114",208,997,"1,205",197,976,"1,173",258,"1,110","1,368",224,"1,099","1,323",171,"1,042","1,213",179,"1,094","1,273",192,968,"1,160",166,973,"1,139",162,"1,007","1,169","2,338","11,979","14,317"
가정의학과,587,"1,025","1,612",386,911,"1,297",402,994,"1,396",268,831,"1,099",280,642,922,356,783,"1,139",362,874,"1,236",253,673,926,552,904,"1,456","1,214",874,"2,088",444,786,"1,230",463,813,"1,276","5,567","10,110","15,677"
진단검사의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183,-,183,-,-,-,-,-,-,183,-,183
계,"3,455","8,205","11,660","2,545","7,009","9,554","2,644","7,169","9,813","2,743","6,636","9,379","2,840","6,226","9,066","3,113","7,691","10,804","2,985","7,626","10,611","2,619","7,337","9,956","3,024","7,849","10,873","8,181","7,726","15,907","3,105","7,288","10,393","3,137","7,805","10,942","40,391","88,567","128,958"
