구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,190,724,914,250,816,"1,066",262,"1,083","1,345",246,887,"1,133",331,697,"1,028",273,788,"1,061",216,831,"1,047",216,926,"1,142",173,897,"1,070",411,"1,288","1,699",204,765,969,165,740,905,"2,937","10,442","13,379"
순환기내과,554,"2,450","3,004",518,"2,509","3,027",525,"2,831","3,356",460,"2,513","2,973",535,"2,717.0","3,252",510,"2,676","3,186",452,"2,669","3,121",503,"2,609","3,112",430,"2,485","2,915",583,"2,658","3,241",551,"2,659","3,210",494,"2,650","3,144","6,115","31,426","37,541"
호흡기·알레르기내과,281,987,"1,268",263,929,"1,192",313,"1,101","1,414",285,"1,003","1,288",260,"1,073.0","1,333",300,"1,031","1,331",227,962,"1,189",326,"1,095","1,421",253,"1,061","1,314",269,"1,104","1,373",293,"1,036","1,329",296,"1,068","1,364","3,366","12,450","15,816"
내분비내과,110,"1,616","1,726",95,"1,135","1,230",128,"1,430","1,558",115,"1,168","1,283",169,"1,247.0","1,416",175,"1,245","1,420",165,"1,086","1,251",56,"1,044","1,100",74,"1,133","1,207",78,"1,142","1,220",107,"1,232","1,339",53,"1,001","1,054","1,325","14,479","15,804"
소화기내과,606,"2,800","3,406",626,"2,659","3,285",725,"3,111","3,836",594,"2,605","3,199",564,"2,472.0","3,036",624,"2,834","3,458",691,"2,769","3,460",671,"2,713","3,384",583,"2,625","3,208",629,"2,483","3,112",744,"2,775","3,519",561,"2,537","3,098","7,618","32,383","40,001"
혈액종양내과,42,148,190,55,160,215,62,191,253,62,139,201,67,196.0,263,57,180,237,52,145,197,72,201,273,53,179,232,61,142,203,68,161,229,47,145,192,698,"1,987","2,685"
신장내과,114,"1,593","1,707",127,"1,426","1,553",132,"1,646","1,778",93,"1,520","1,613",115,"1,609.0","1,724",128,"1,593","1,721",131,"1,642","1,773",127,"1,654","1,781",85,"1,605","1,690",125,"1,530","1,655",118,"1,550","1,668",84,"1,524","1,608","1,379","18,892","20,271"
류마티스내과,77,365,442,79,274,353,91,355,446,66,303,369,84,340.0,424,95,327,422,81,336,417,113,363,476,63,292,355,84,381,465,82,334,416,53,301,354,968,"3,971","4,939"
소아청소년과,817,171,988,652,139,791,912,157,"1,069",796,213,"1,009",682,213.0,895,738,222,960,256,212,468,365,220,585,"1,040",210,"1,250","1,846",247,"2,093",487,247,734,315,209,524,"8,906","2,460","11,366"
신경과,396,"1,152","1,548",427,"1,004","1,431",412,"1,270","1,682",357,"1,103","1,460",405,"1,124.0","1,529",401,"1,111","1,512",344,"1,196","1,540",399,"1,097","1,496",351,"1,076","1,427",388,"1,093","1,481",397,"1,076","1,473",372,"1,141","1,513","4,649","13,443","18,092"
정신건강의학과,88,"1,389","1,477",84,"1,365","1,449",129,"1,512","1,641",90,"1,304","1,394",106,"1,515.0","1,621",99,"1,361","1,460",98,"1,415","1,513",93,"1,434","1,527",112,"1,394","1,506",93,"1,500","1,593",115,"1,634","1,749",92,"1,485","1,577","1,199","17,308","18,507"
피부과,981,"1,421","2,402",993,"1,341","2,334","1,072","1,428","2,500",963,"1,291","2,254","1,025","1,408.0","2,433","1,208","1,389","2,597","1,152","1,507","2,659","1,257","1,566","2,823",938,"1,424","2,362","1,127","1,431","2,558","1,081","1,486","2,567",933,"1,235","2,168","12,730","16,927","29,657"
재활의학과,140,"2,994","3,134",104,"3,139","3,243",151,"3,539","3,690",123,"3,144","3,267",157,"3,219.0","3,376",132,"3,112","3,244",144,"3,040","3,184",144,"3,143","3,287",119,"3,014","3,133",134,"2,829","2,963",112,"3,155","3,267",101,"2,846","2,947","1,561","37,174","38,735"
가정의학과,420,"1,260","1,680",383,"1,264","1,647",411,"1,253","1,664",348,"1,210","1,558",437,"1,247.0","1,684",453,"1,285","1,738",457,"1,196","1,653",453,"1,340","1,793",394,"1,228","1,622","2,232","1,506","3,738","1,478","1,382","2,860",598,"1,279","1,877","8,064","15,450","23,514"
외과,125,408,533,139,414,553,137,438,575,154,416,570,135,376.0,511,133,424,557,154,424,578,135,418,553,124,410,534,137,421,558,138,426,564,137,372,509,"1,648","4,947","6,595"
정형외과,507,"2,369","2,876",501,"2,434","2,935",659,"2,771","3,430",520,"2,384","2,904",552,"2,669.0","3,221",589,"2,565","3,154",548,"2,537","3,085",487,"2,399","2,886",481,"2,368","2,849",478,"2,337","2,815",670,"2,613","3,283",527,"2,361","2,888","6,519","29,807","36,326"
신경외과,520,"1,530","2,050",461,"1,513","1,974",496,"1,583","2,079",458,"1,456","1,914",530,"1,540.0","2,070",580,"1,512","2,092",529,"1,494","2,023",604,"1,671","2,275",472,"1,427","1,899",526,"1,440","1,966",560,"1,526","2,086",502,"1,290","1,792","6,238","17,982","24,220"
산부인과,99,52,151,105,54,159,127,68,195,89,56,145,114,56.0,170,113,50,163,135,67,202,126,47,173,109,47,156,469,48,517,144,55,199,82,45,127,"1,712",645,"2,357"
