구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,77,683,760,104,849,953,106,833,939,110,921,"1,031",124,888,"1,012",204,"1,021","1,225",136,"1,020","1,156",79,666,745,148,"1,266","1,414",181,"1,235","1,416",167,"1,282","1,449",208,958,"1,166","1,644","11,622","13,266"
소화기내과,530,"1,986","2,516",488,"1,815","2,303",617,"2,069","2,686",603,"2,053","2,656",638,"2,068","2,706",727,"2,440","3,167",656,"2,468","3,124",622,"2,336","2,958",577,"2,452","3,029",584,"2,416","3,000",586,"2,408","2,994",992,"2,750","3,742","7,620","27,261","34,881"
심장내과,260,"1,842","2,102",235,"1,726","1,961",196,"1,434","1,630",193,"1,071","1,264",215,"1,062","1,277",297,"1,023","1,320",297,"1,102","1,399",263,993,"1,256",285,"1,066","1,351",490,"1,146","1,636",547,"1,239","1,786",396,"1,382","1,778","3,674","15,086","18,760"
호흡기내과,458,"1,229","1,687",380,"1,150","1,530",414,"1,156","1,570",450,"1,128","1,578",411,"1,110","1,521",375,"1,147","1,522",375,"1,134","1,509",422,"1,098","1,520",369,"1,110","1,479",316,991,"1,307",267,929,"1,196",392,"1,002","1,394","4,629","13,184","17,813"
류마티스내과,171,728,899,137,647,784,236,676,912,274,735,"1,009",204,666,870,198,845,"1,043",217,746,963,304,979,"1,283",102,612,714,148,699,847,124,601,725,482,824,"1,306","2,597","8,758","11,355"
신장내과,106,819,925,87,743,830,144,816,960,147,859,"1,006",141,834,975,171,925,"1,096",197,980,"1,177",131,847,978,114,891,"1,005",109,876,985,123,866,989,114,964,"1,078","1,584","10,420","12,004"
소아청소년과,10,2,12,5,-,5,10,2,12,4,2,6,7,2,9,38,6,44,28,5,33,39,5,44,36,7,43,76,4,80,51,10,61,152,9,161,456,54,510
신경과,309,"2,302","2,611",227,"2,148","2,375",306,"2,227","2,533",317,"2,231","2,548",351,"2,187","2,538",337,"2,464","2,801",326,"2,421","2,747",326,"2,477","2,803",302,"2,431","2,733",313,"2,326","2,639",291,"2,258","2,549",282,"2,478","2,760","3,687","27,950","31,637"
정신건강의학과,157,674,831,130,611,741,118,651,769,148,653,801,107,596,703,126,617,743,123,663,786,85,535,620,126,628,754,121,568,689,102,603,705,113,540,653,"1,456","7,339","8,795"
피부과,718,589,"1,307",534,459,993,742,648,"1,390",842,538,"1,380",779,671,"1,450",854,775,"1,629",800,790,"1,590",760,755,"1,515",700,804,"1,504",721,777,"1,498",530,531,"1,061",762,806,"1,568","8,742","8,143","16,885"
