구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,"1,333","11,038","12,371",962,"8,992","9,954","1,250","9,916","11,166","1,324","9,891","11,215","1,069","10,390","11,459",917,"9,182","10,099","1,075","10,431","11,506",995,"9,675","10,670",940,"9,749","10,689","4,821","15,447","20,268","1,459","9,746","11,205","1,094","10,376","11,470","17,239","124,833","142,072"
신경과,451,"2,105","2,556",280,"1,598","1,878",384,"1,784","2,168",412,"1,766","2,178",398,"1,734","2,132",367,"1,613","1,980",403,"1,807","2,210",422,"1,858","2,280",363,"1,749","2,112",413,"1,935","2,348",367,"1,872","2,239",323,"1,897","2,220","4,583","21,718","26,301"
정신건강의학과,117,997,"1,114",82,830,912,104,871,975,105,936,"1,041",96,882,978,90,839,929,103,946,"1,049",108,900,"1,008",99,928,"1,027",99,938,"1,037",101,851,952,101,942,"1,043","1,205","10,860","12,065"
외과,178,645,823,136,536,672,98,406,504,129,453,582,158,452,610,184,456,640,199,500,699,209,552,761,178,432,610,178,486,664,181,457,638,130,428,558,"1,958","5,803","7,761"
흉부외과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
정형외과,511,"1,911","2,422",390,"1,659","2,049",565,"2,523","3,088",605,"4,787","5,392",508,"4,529","5,037",431,"3,109","3,540",560,"2,663","3,223",470,"2,587","3,057",390,"2,395","2,785",430,"2,494","2,924",618,"2,674","3,292",523,"2,928","3,451","6,001","34,259","40,260"
신경외과,436,"1,795","2,231",404,"1,541","1,945",400,"1,710","2,110",457,"1,911","2,368",450,"1,942","2,392",355,"1,894","2,249",495,"2,278","2,773",409,"2,174","2,583",392,"1,875","2,267",415,"2,063","2,478",391,"2,055","2,446",379,"2,174","2,553","4,983","23,412","28,395"
마취통증의학과,55,173,228,76,168,244,96,181,277,94,222,316,88,203,291,55,152,207,91,200,291,92,185,277,83,207,290,67,190,257,76,166,242,67,216,283,940,"2,263","3,203"
산부인과,370,308,678,126,371,497,188,237,425,166,252,418,138,260,398,131,208,339,202,237,439,206,251,457,136,229,365,146,255,401,144,219,363,239,251,490,"2,192","3,078","5,270"
소아청소년과,51,79,130,40,73,113,34,66,100,49,81,130,36,75,111,34,64,98,35,55,90,46,56,102,40,77,117,239,107,346,58,70,128,45,82,127,707,885,"1,592"
안과,567,"1,475","2,042",531,"1,224","1,755",611,"1,305","1,916",583,"1,434","2,017",576,"1,414","1,990",517,"1,265","1,782",578,"1,535","2,113",548,"1,388","1,936",587,"1,351","1,938",614,"1,463","2,077",584,"1,425","2,009",528,"1,479","2,007","6,824","16,758","23,582"
이비인후과,581,"1,225","1,806",401,"1,032","1,433",483,"1,110","1,593",540,"1,268","1,808",478,"1,262","1,740",395,"1,088","1,483",461,"1,195","1,656",413,"1,126","1,539",436,"1,054","1,490",551,"1,164","1,715",470,"1,115","1,585",457,"1,144","1,601","5,666","13,783","19,449"
피부과,760,"1,247","2,007",576,"1,017","1,593",647,"1,138","1,785",729,"1,246","1,975",762,"1,266","2,028",699,"1,186","1,885",770,"1,371","2,141",765,"1,318","2,083",645,"1,182","1,827",773,"1,271","2,044",626,"1,239","1,865",711,"1,249","1,960","8,463","14,730","23,193"
비뇨의학과,459,"4,122","4,581",324,"3,568","3,892",379,"3,762","4,141",377,"3,706","4,083",394,"3,880","4,274",331,"3,484","3,815",396,"4,012","4,408",382,"3,772","4,154",321,"4,113","4,434",392,"3,818","4,210",330,"3,824","4,154",384,"3,905","4,289","4,469","45,966","50,435"
재활의학과,207,"4,199","4,406",176,"3,326","3,502",55,323,378,91,441,532,138,415,553,115,374,489,109,412,521,101,371,472,81,319,400,93,362,455,128,330,458,149,331,480,"1,443","11,203","12,646"
가정의학과,342,312,654,220,248,468,277,370,647,282,406,688,323,411,734,248,316,564,299,380,679,409,344,753,278,358,636,"2,474",403,"2,877",603,378,981,394,358,752,"6,149","4,284","10,433"
치과,288,"2,563","2,851",333,"1,871","2,204",381,"2,241","2,622",243,"2,611","2,854",188,"2,212","2,400",172,"2,055","2,227",193,"2,292","2,485",183,"2,407","2,590",204,"1,961","2,165",213,"2,096","2,309",401,"1,987","2,388",542,"1,758","2,300","3,341","26,054","29,395"
건강관리과,"1,095",192,"1,287",477,127,604,509,149,658,938,154,"1,092","1,044",196,"1,240",820,111,931,530,120,650,552,135,687,583,142,725,512,171,683,526,202,728,600,200,800,"8,186","1,899","10,085"
핵의학과,88,296,384,59,192,251,82,259,341,83,248,331,81,216,297,69,230,299,104,360,464,89,348,437,72,336,408,94,347,441,74,358,432,68,349,417,963,"3,539","4,502"
합계,"7,889","34,682","42,571","5,593","28,373","33,966","6,543","28,351","34,894","7,207","31,813","39,020","6,925","31,739","38,664","5,930","27,626","33,556","6,603","30,794","37,397","6,399","29,447","35,846","5,828","28,457","34,285","12,524","35,010","47,534","7,137","28,968","36,105","6,734","30,067","36,801","85,312","365,327","450,639"
