구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 				 환자"
일 반 내 과,"3,034","2,682","2,760","2,840","2,653","2,608","2,397","2,732","2,906","11,844","3,872","3,016","43,344",175.5
순 환 기 내 과,"2,315","2,288","2,575","2,249","2,521","2,593","2,361","2,724","2,246","2,591","2,581","2,785","29,829",120.8
호 흡 기 내 과,946,808,"1,054",794,934,859,913,965,871,901,881,814,"10,740",43.5
내 분 비 내 과,"1,823","1,700","1,942","1,616","1,785","1,954","1,838","1,757","1,693","1,692","1,916","1,905","21,621",87.5
소 화 기 내 과,"3,059","2,810","3,531","3,251","3,245","3,328","3,153","3,360","2,995","3,095","3,028","3,160","38,015",153.9
신 장 내 과,"1,513","1,390","1,493","1,486","1,439","1,534","1,523","1,585","1,504","1,589","1,526","1,609","18,191",73.6
소아청소년과,424,576,553,456,444,416,434,447,496,778,597,842,"6,463",26.2
신 경 과,"1,724","1,603","1,860","1,690","1,699","1,787","1,828","1,779","1,733","1,783","1,772","1,756","21,014",85.1
정신건강의학과,828,"1,366","1,572","1,319","1,547","1,250","1,507","1,561","1,465","1,459","1,464","1,552","16,890",68.4
외 과,701,677,862,757,610,670,702,750,661,743,765,792,"8,690",35.2
정 형 외 과,"3,350","3,011","3,594","3,401","3,539","3,600","3,434","3,896","3,383","3,495","3,678","3,867","42,248",171.0
신 경 외 과,"2,218","2,067","2,506","2,252","2,410","2,380","2,301","2,393","2,162","2,192","2,239","2,281","27,401",110.9
산 부 인 과,159,155,204,182,166,238,200,221,176,204,233,233,"2,371",9.6
안 과,"2,740","2,569","3,036","2,611","2,870","2,778","2,604","2,709","2,556","2,600","2,885","2,955","32,913",133.3
이 비 인 후 과,"1,284","1,067","1,214","1,228","1,280","1,208","1,105","1,081","1,120","1,249","1,317","1,359","14,512",58.8
피 부 과,"2,658","2,682","2,944","2,756","2,977","3,217","3,199","3,551","2,987","2,914","3,041","2,989","35,915",145.4
비 뇨 기 과,"3,516","3,419","4,010","4,072","4,619","4,451","4,523","4,695","4,515","4,509","4,802","4,607","51,738",209.5
치 과,"3,151","2,811","3,702","3,280","3,399","2,954","3,563","3,559","3,112","2,978","2,850","3,129","38,488",155.8
재 활 의 학 과,"1,751","1,703","2,098","1,903","2,060","2,106","2,174","2,225","1,985","2,071","2,198","2,235","24,509",99.2
가 정 의 학 과,"1,455","1,450","1,553","1,581","1,463","1,431","1,327","1,302","1,336","1,405","1,438","1,507","17,248",69.8
한 방 진 료 과,575,541,586,584,615,653,765,829,410,676,652,606,"7,492",30.3
건 강 관 리 과,349,492,624,690,"1,292","1,339",901,"1,016",607,665,828,"1,096","9,899",40.1
향 정 신 과,44,42,44,41,31,26,31,14,30,31,30,22,386,1.6
합 계,"39,617","37,909","44,317","41,039","43,598","43,380","42,783","45,151","40,949","51,464","44,593","45,117","519,917","2,104.9"
신 생 아,,,,,,,,,,,,,0,0.0
