구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,224,"2,289","2,513",195,"1,810","2,005",164,"1,981","2,145",187,"1,751","1,938",146,"1,829","1,975",142,"1,481","1,623",136,992,"1,128",121,763,884,114,759,873,"3,182","4,150","7,332",254,753,"1,007",105,860,965,"4,970","19,418","24,388"
소화기내과,544,"1,957","2,501",427,"1,638","2,065",561,"1,801","2,362",706,"1,964","2,670",523,"1,989","2,512",463,"1,805","2,268",595,"2,049","2,644",526,"2,007","2,533",533,"1,865","2,398",590,"2,027","2,617",536,"1,837","2,373",616,"2,110","2,726","6,620","23,049","29,669"
심장내과,400,"1,772","2,172",258,"1,581","1,839",296,"1,644","1,940",312,"1,766","2,078",287,"1,757","2,044",270,"1,579","1,849",304,"1,959","2,263",247,"1,741","1,988",236,"1,776","2,012",279,"1,850","2,129",241,"1,783","2,024",300,"1,860","2,160","3,430","21,068","24,498"
호흡기내과,409,"1,104","1,513",338,925,"1,263",339,"1,046","1,385",423,"1,073","1,496",389,"1,111","1,500",305,"1,035","1,340",416,"1,174","1,590",378,"1,092","1,470",474,"1,132","1,606",455,"1,157","1,612",450,"1,144","1,594",451,"1,204","1,655","4,827","13,197","18,024"
류마티스내과,99,389,488,105,430,535,71,372,443,128,521,649,97,389,486,88,417,505,229,705,934,269,838,"1,107",167,690,857,167,835,"1,002",214,767,981,172,753,925,"1,806","7,106","8,912"
신장내과,101,483,584,99,525,624,140,540,680,141,611,752,133,616,749,150,641,791,172,811,983,124,707,831,133,706,839,134,835,969,92,767,859,129,831,960,"1,548","8,073","9,621"
소아청소년과,17,12,29,40,1,41,11,7,18,15,3,18,16,2,18,22,10,32,25,7,32,32,4,36,8,1,9,83,6,89,53,4,57,18,5,23,340,62,402
신 경 과,416,"2,700","3,116",330,"2,309","2,639",343,"2,466","2,809",413,"2,536","2,949",335,"2,552","2,887",269,"2,283","2,552",402,"2,620","3,022",373,"2,458","2,831",319,"2,309","2,628",301,"2,550","2,851",274,"2,258","2,532",373,"2,566","2,939","4,148","29,607","33,755"
정신건강의학과,153,730,883,136,620,756,122,581,703,142,640,782,98,570,668,132,566,698,167,614,781,128,596,724,101,568,669,161,616,777,140,558,698,141,686,827,"1,621","7,345","8,966"
피부과,709,"1,148","1,857",474,823,"1,297",642,"1,006","1,648",857,936,"1,793",760,"1,114","1,874",698,"1,069","1,767",807,"1,236","2,043",782,"1,186","1,968",674,"1,112","1,786",719,"1,159","1,878",472,725,"1,197",743,740,"1,483","8,337","12,254","20,591"
재활의학과,205,"1,769","1,974",154,"1,427","1,581",171,"1,706","1,877",208,"1,870","2,078",189,"1,865","2,054",198,"1,831","2,029",227,"2,137","2,364",212,"2,013","2,225",176,"1,795","1,971",213,"1,999","2,212",203,"1,849","2,052",200,"1,905","2,105","2,356","22,166","24,522"
