구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,-,-,-,246,893,"1,139",708,"3,203","3,911",483,"2,572","3,055",65,559,624,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,502","7,227","8,729"
소화기내과,700,"2,712","3,412",659,"2,478","3,137",835,"2,810","3,645",723,"2,809","3,532",765,"2,776","3,541",756,"2,664","3,420",755,"2,787","3,542",808,"2,904","3,712",975,"2,968","3,943","1,301","2,831","4,132",763,"2,838","3,601",716,"2,616","3,332","9,756","33,193","42,949"
내분비내과,216,"1,206","1,422",220,"1,109","1,329",217,"1,279","1,496",183,"1,159","1,342",183,"1,103","1,286",230,"1,176","1,406",241,"1,095","1,336",218,"1,237","1,455",283,"1,118","1,401",281,"1,111","1,392",212,"1,180","1,392",255,"1,197","1,452","2,739","13,970","16,709"
순환기내과,650,"2,915","3,565",569,"2,837","3,406",501,"3,161","3,662",455,"2,872","3,327",446,"3,176","3,622",470,"2,901","3,371",449,"2,967","3,416",536,"2,987","3,523",689,"3,282","3,971",535,"2,808","3,343",495,"3,053","3,548",506,"3,030","3,536","6,301","35,989","42,290"
호흡기내과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
신장내과,142,"1,600","1,742",147,"1,500","1,647",210,"1,601","1,811",196,"1,651","1,847",236,"1,555","1,791",179,"1,558","1,737",195,"1,557","1,752",261,"1,692","1,953",311,"1,622","1,933",353,"1,536","1,889",183,"1,533","1,716",217,"1,567","1,784","2,630","18,972","21,602"
감염내과,"3,184",146,"3,330","2,393",32,"2,425","3,602",19,"3,621","1,650",15,"1,665",809,13,822,291,5,296,477,7,484,922,23,945,652,13,665,704,17,721,519,14,533,529,26,555,"15,732",330,"16,062"
신경과,402,"2,074","2,476",377,"1,844","2,221",426,"2,067","2,493",360,"2,069","2,429",468,"2,042","2,510",487,"2,064","2,551",455,"2,067","2,522",450,"2,141","2,591",529,"2,160","2,689","1,380","2,102","3,482",444,"2,032","2,476",456,"2,062","2,518","6,234","24,724","30,958"
정신건강의학과,108,879,987,114,808,922,114,879,993,125,860,985,105,927,"1,032",103,831,934,102,848,950,139,900,"1,039",107,888,995,216,811,"1,027",107,861,968,112,855,967,"1,452","10,347","11,799"
외과,202,472,674,168,405,573,186,408,594,224,522,746,254,539,793,239,522,761,270,531,801,233,571,804,343,482,825,521,552,"1,073",227,509,736,249,557,806,"3,116","6,070","9,186"
흉부외과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
정형외과,599,"1,561","2,160",536,"1,418","1,954",634,"1,624","2,258",731,"1,549","2,280",676,"1,639","2,315",615,"1,545","2,160",661,"1,486","2,147",656,"1,411","2,067",572,"1,451","2,023",889,"1,349","2,238",564,"1,318","1,882",642,"1,438","2,080","7,775","17,789","25,564"
신경외과,521,"1,655","2,176",293,"1,444","1,737",357,"1,628","1,985",349,"1,573","1,922",413,"1,631","2,044",379,"1,567","1,946",352,"1,643","1,995",448,"1,702","2,150",366,"1,652","2,018",566,"1,574","2,140",380,"1,651","2,031",364,"1,679","2,043","4,788","19,399","24,187"
마취통증의학과,66,157,223,70,182,252,71,134,205,58,100,158,91,111,202,120,113,233,88,124,212,114,116,230,107,143,250,120,94,214,111,124,235,94,133,227,"1,110","1,531","2,641"
