구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
순환기내과,22,"4,281","4,303",19,"4,183","4,202",28,"4,501","4,529",19,"4,343","4,362",16,"4,033","4,049",21,"4,566","4,587",19,"4,427","4,446",18,"4,005","4,023",21,"4,385","4,406",13,"4,070","4,083",17,"3,992","4,009",19,"4,507","4,526",232,"51,293","51,525"
호흡기내과,47,"1,912","1,959",35,"1,723","1,758",35,"1,783","1,818",26,"1,636","1,662",29,"1,542","1,571",22,"1,700","1,722",25,"1,674","1,699",18,"1,449","1,467",23,"1,626","1,649",17,"1,634","1,651",29,"1,661","1,690",25,"1,727","1,752",331,"20,067","20,398"
내분비내과,10,"1,931","1,941",2,"1,695","1,697",5,"1,887","1,892",4,"1,801","1,805",3,"1,617","1,620",5,"1,770","1,775",5,"1,747","1,752",7,"1,311","1,318",6,"1,482","1,488",8,"1,389","1,397",9,"1,434","1,443",10,"1,655","1,665",74,"19,719","19,793"
감염내과,,,-,,,-,,,-,,,-,,,-,,,-,4,21,25,23,156,179,30,176,206,19,194,213,50,404,454,,,-,126,951,"1,077"
소화기내과,22,"2,809","2,831",23,"2,451","2,474",15,"2,544","2,559",25,"2,474","2,499",25,"2,480","2,505",29,"2,941","2,970",17,"2,798","2,815",16,"2,371","2,387",31,"2,648","2,679",18,"2,559","2,577",22,"2,493","2,515",29,"2,852","2,881",272,"31,420","31,692"
혈액종양내과,1,581,582,3,536,539,4,571,575,4,689,693,,698,698,3,660,663,2,609,611,5,610,615,4,600,604,4,510,514,6,587,593,4,542,546,40,"7,193","7,233"
신장내과,5,"1,163","1,168",5,"1,085","1,090",8,"1,133","1,141",7,"1,170","1,177",7,"1,255","1,262",10,"1,250","1,260",6,"1,451","1,457",7,"1,246","1,253",4,"1,387","1,391",4,"1,247","1,251",7,"1,260","1,267",10,"1,280","1,290",80,"14,927","15,007"
일반내과,,23,23,1,6,7,,3,3,,12,12,,11,11,,11,11,,19,19,,14,14,,21,21,292,"4,904","5,196",1,26,27,,30,30,294,"5,080","5,374"
신경과,43,"3,088","3,131",22,"2,928","2,950",30,"2,994","3,024",39,"3,037","3,076",31,"2,838","2,869",48,"3,151","3,199",34,"3,159","3,193",35,"2,750","2,785",28,"2,969","2,997",36,"3,004","3,040",43,"2,831","2,874",46,"3,230","3,276",435,"35,979","36,414"
소아청소년과,159,"1,983","2,142",134,"1,563","1,697",182,"1,432","1,614",243,"1,584","1,827",241,"1,700","1,941",165,"1,726","1,891",107,"1,603","1,710",197,"1,566","1,763",109,"1,667","1,776",118,"1,749","1,867",112,"1,477","1,589",119,"1,711","1,830","1,886","19,761","21,647"
정신건강의학과,3,"1,080","1,083",3,954,957,7,"1,132","1,139",4,"1,101","1,105",3,"1,043","1,046",10,"1,183","1,193",8,"1,184","1,192",11,"1,127","1,138",9,"1,146","1,155",10,"1,098","1,108",10,"1,101","1,111",10,"1,259","1,269",88,"13,408","13,496"
외과,16,849,865,9,716,725,9,749,758,17,818,835,12,713,725,12,877,889,17,844,861,16,752,768,11,721,732,6,741,747,15,741,756,11,779,790,151,"9,300","9,451"
정형외과,49,"2,721","2,770",20,"1,791","1,811",22,"2,591","2,613",19,"2,454","2,473",35,"2,520","2,555",38,"2,762","2,800",57,"2,901","2,958",58,"2,441","2,499",29,"2,698","2,727",54,"2,728","2,782",51,"2,563","2,614",43,"2,807","2,850",475,"30,977","31,452"
신경외과,37,"2,085","2,122",13,"1,696","1,709",11,"1,879","1,890",15,"1,892","1,907",26,"2,031","2,057",26,"2,169","2,195",29,"2,166","2,195",24,"1,938","1,962",15,"1,981","1,996",31,"2,080","2,111",23,"2,050","2,073",19,"2,101","2,120",269,"24,068","24,337"
산부인과,3,124,127,3,79,82,5,101,106,7,113,120,10,100,110,3,109,112,9,107,116,10,94,104,10,105,115,7,111,118,25,80,105,43,115,158,135,"1,238","1,373"
안과,15,"1,770","1,785",12,"1,675","1,687",11,"1,985","1,996",25,"1,868","1,893",15,"1,773","1,788",16,"1,932","1,948",12,"2,015","2,027",7,"1,891","1,898",19,"1,926","1,945",11,"1,751","1,762",7,"1,704","1,711",12,"1,813","1,825",162,"22,103","22,265"
피부과,8,"1,892","1,900",9,"1,675","1,684",12,"1,858","1,870",10,"1,771","1,781",11,"1,831","1,842",15,"1,974","1,989",10,"1,909","1,919",17,"1,911","1,928",14,"1,927","1,941",8,"1,798","1,806",13,"1,678","1,691",11,"1,816","1,827",138,"22,040","22,178"
이비인후과,14,"1,127","1,141",8,993,"1,001",4,"1,066","1,070",7,923,930,15,923,938,11,"1,001","1,012",15,"1,046","1,061",8,669,677,12,883,895,8,825,833,9,944,953,6,996,"1,002",117,"11,396","11,513"
비뇨의학과,22,"3,152","3,174",14,"2,796","2,810",21,"3,102","3,123",22,"3,045","3,067",20,"2,972","2,992",19,"3,060","3,079",29,"3,215","3,244",32,"2,852","2,884",19,"2,984","3,003",22,"2,948","2,970",14,"2,848","2,862",23,"3,231","3,254",257,"36,205","36,462"
치과,3,"2,076","2,079",1,"2,017","2,018",3,"2,044","2,047",4,"1,695","1,699",8,"2,014","2,022",5,"2,503","2,508",7,"2,168","2,175",2,"1,926","1,928",2,"1,997","1,999",1,"1,993","1,994",4,"1,968","1,972",4,"2,118","2,122",44,"24,519","24,563"
재활의학과,8,"2,952","2,960",3,"2,521","2,524",9,"2,606","2,615",2,"2,598","2,600",11,"2,411","2,422",8,"2,717","2,725",6,"2,562","2,568",2,"2,381","2,383",6,"2,560","2,566",8,"2,364","2,372",9,"2,376","2,385",4,"2,551","2,555",76,"30,599","30,675"
가정의학과,70,"2,474","2,544",54,"2,006","2,060",43,"1,846","1,889",65,"1,754","1,819",72,"1,688","1,760",90,"1,868","1,958",74,"1,741","1,815",39,"1,493","1,532",46,"1,744","1,790",87,"2,035","2,122",105,"2,090","2,195",52,"1,849","1,901",797,"22,588","23,385"
마취과,1,83,84,,90,90,,94,94,,85,85,,70,70,1,88,89,,104,104,,64,64,,64,64,,65,65,,62,62,1,70,71,3,939,942
핵의학과,3,7,10,3,6,9,,3,3,1,7,8,3,9,12,3,12,15,3,9,12,3,7,10,6,3,9,2,8,10,6,12,18,6,5,11,39,88,127
건강관리과,388,,388,296,,296,233,,233,345,,345,614,,614,"1,771",,"1,771",648,,648,"1,053",,"1,053","1,040",,"1,040","1,053",,"1,053","1,043",,"1,043","1,141",,"1,141","9,625",-,"9,625"
한의과,,522,522,,512,512,,524,524,1,532,533,1,456,457,,579,579,,524,524,,539,539,,560,560,,453,453,1,495,496,1,539,540,4,"6,235","6,239"
계,949,"40,685","41,634",692,"35,697","36,389",697,"38,428","39,125",911,"37,402","38,313","1,208","36,728","37,936","2,331","40,609","42,940","1,143","40,003","41,146","1,608","35,563","37,171","1,494","38,260","39,754","1,837","42,258","44,095","1,631","36,877","38,508","1,649","39,583","41,232","16,150","462,093","478,243"
