구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 				 환자"
일 반 내 과,"2,497","1,998","2,177","2,098","2,093","1,648","1,934","1,678","1,593","8,986","1,796","2,320","30,818",124.3
순 환 기 내 과,"2,014","1,818","2,040","1,904","2,447","1,729","2,223","2,070","2,063","2,323","2,271","2,571","25,473",102.7
호 흡 기 내 과,864,758,786,875,652,833,924,885,779,"1,012",828,940,"10,136",40.9
내 분 비 내 과,"2,103","1,799","1,591","1,776","1,780","1,686","1,828","1,797","1,609","2,028","1,752","1,906","21,655",87.3
소 화 기 내 과,"2,872","2,063","2,469","2,747","2,747","2,282","2,602","2,483","2,495","2,900","2,614","2,876","31,150",125.6
신 장 내 과,"1,371","1,248","1,373","1,331","1,392","1,265","1,501","1,393","1,368","1,494","1,387","1,485","16,608",67.0
소아청소년과,541,580,559,667,597,467,503,449,556,842,643,608,"7,012",28.3
신 경 과,"1,832","1,668","1,670","1,800","1,696","1,493","1,865","1,711","1,724","1,931","1,708","1,928","21,026",84.8
정신건강의학과,915,899,939,"1,006","1,029","1,028","1,099","1,120","1,057","1,053","1,054","1,152","12,351",49.8
외 과,664,604,709,602,738,584,659,627,622,725,729,734,"7,997",32.2
정 형 외 과,"3,280","2,788","2,962","3,230","3,225","2,880","3,505","2,998","2,997","3,334","3,195","3,294","37,688",152.0
신 경 외 과,"2,492","2,149","2,249","2,486","2,453","2,215","2,432","2,336","2,260","2,603","2,464","2,469","28,608",115.4
산 부 인 과,216,166,201,212,226,210,214,194,156,301,222,241,"2,559",10.3
안 과,"3,020","2,737","2,947","3,111","3,146","2,609","2,995","2,773","2,693","3,180","2,814","2,921","34,946",140.9
이 비 인 후 과,"1,527","1,264","1,198","1,452","1,441","1,375","1,345","1,340","1,304","1,532","1,474","1,563","16,815",67.8
피 부 과,"2,846","2,492","2,654","2,818","2,833","2,769","3,464","3,248","2,792","3,171","2,839","2,897","34,823",140.4
비 뇨 기 과,"3,964","3,395","3,427","3,561","3,712","3,221","3,627","3,335","3,288","3,854","3,423","3,755","42,562",171.6
치 과,"2,441","1,976","2,071","2,236","2,006","1,790","2,371","2,149","2,014","2,372","2,384","2,338","26,148",105.4
재 활 의 학 과,"2,586","2,181","2,263","2,428","2,263","2,029","2,438","2,303","2,045","2,615","2,398","2,288","27,837",112.2
가 정 의 학 과,"1,950","1,659","1,702","1,809","1,746","1,538","1,658","1,594","1,525","1,732","1,521","1,463","19,897",80.2
한 방 진 료 과,696,593,637,611,676,583,703,517,604,625,616,705,"7,566",30.5
건 강 관 리 과,307,416,555,513,"1,493",702,703,748,540,634,613,801,"8,025",32.4
향 정 신 과,125,115,131,136,97,90,134,126,78,108,72,68,"1,280",5.2
합 계,"41,123","35,366","37,310","39,409","40,488","35,026","40,727","37,874","36,162","49,355","38,817","41,323","472,980","1,907.2"
신 생 아,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
