구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
순환기내과,38,"5,076","5,114",22,"4,529","4,551",40,"4,937","4,977",32,"4,912","4,944",24,"5,050","5,074",36,"4,678","4,714",31,"5,135","5,166",27,"5,177","5,204",24,"4,004","4,028",28,"5,526","5,554",50,"4,783","4,833",29,"5,013","5,042",381,"58,820","59,201"
호흡기내과,62,"2,040","2,102",49,"1,716","1,765",50,"1,788","1,838",70,"1,784","1,854",65,"1,958","2,023",44,"1,639","1,683",54,"1,762","1,816",45,"1,706","1,751",49,"1,416","1,465",89,"2,039","2,128",103,"2,305","2,408",78,"2,095","2,173",758,"22,248","23,006"
내분비내과,6,"2,119","2,125",9,"1,911","1,920",7,"2,037","2,044",6,"2,038","2,044",11,"2,020","2,031",9,"1,957","1,966",10,"2,155","2,165",7,"2,160","2,167",11,"1,751","1,762",12,"2,309","2,321",10,"1,997","2,007",15,"2,045","2,060",113,"24,499","24,612"
소화기내과,55,"3,244","3,299",38,"2,705","2,743",44,"3,004","3,048",37,"2,928","2,965",39,"3,010","3,049",33,"2,663","2,696",49,"3,070","3,119",35,"2,997","3,032",40,"2,467","2,507",28,"3,170","3,198",32,"2,894","2,926",45,"2,917","2,962",475,"35,069","35,544"
혈액종양내과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,74,76,6,240,246,11,326,337,9,339,348,2,444,446,10,392,402,12,497,509,52,"2,312","2,364"
신장내과,11,"1,346","1,357",3,"1,149","1,152",6,"1,299","1,305",5,"1,324","1,329",3,"1,306","1,309",1,"1,233","1,234",3,"1,332","1,335",6,"1,335","1,341",4,"1,152","1,156",10,"1,331","1,341",9,"1,228","1,237",5,"1,213","1,218",66,"15,248","15,314"
일반내과,-,12,12,-,20,20,-,35,35,-,34,34,-,24,24,-,31,31,1,38,39,-,28,28,14,"1,734","1,748",324,"7,548","7,872",-,36,36,-,36,36,339,"9,576","9,915"
신경과,25,"2,795","2,820",10,"2,480","2,490",27,"2,761","2,788",29,"2,719","2,748",26,"2,823","2,849",57,"2,558","2,615",23,"2,781","2,804",10,"2,653","2,663",11,"2,091","2,102",14,"2,685","2,699",11,"2,406","2,417",98,"2,863","2,961",341,"31,615","31,956"
소아청소년과,165,"2,115","2,280",164,"1,850","2,014",145,"2,011","2,156",164,"2,226","2,390",156,"2,215","2,371",127,"1,893","2,020",128,"1,989","2,117",180,"2,198","2,378",110,"1,811","1,921",172,"2,583","2,755",143,"2,474","2,617",114,"2,292","2,406","1,768","25,657","27,425"
정신건강의학과,12,"1,167","1,179",14,"1,064","1,078",20,"1,263","1,283",8,"1,141","1,149",19,"1,217","1,236",13,"1,112","1,125",10,"1,204","1,214",7,"1,281","1,288",7,"1,052","1,059",8,"1,279","1,287",15,"1,160","1,175",8,"1,175","1,183",141,"14,115","14,256"
