구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,618,"5,935","6,553",532,"5,459","5,991",874,"6,355","7,229",652,"5,743","6,395",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,676","23,492","26,168"
소화기내과,-,-,-,-,-,-,-,-,-,594,"4,732","5,326",606,"3,039","3,645",641,"2,849","3,490",757,"2,967","3,724",814,"2,720","3,534",729,"2,824","3,553","1,032","2,639","3,671",855,"2,891","3,746",951,"2,845","3,796","6,979","27,506","34,485"
내분비내과,-,-,-,-,-,-,-,-,-,529,"4,563","5,092",169,"1,295","1,464",239,"1,295","1,534",241,"1,306","1,547",271,"1,263","1,534",290,"1,199","1,489",419,"1,206","1,625",227,"1,188","1,415",231,"1,267","1,498","2,616","14,582","17,198"
순환기내과,478,"2,576","3,054",401,"2,505","2,906",525,"2,944","3,469",486,"2,779","3,265",463,"2,735","3,198",471,"2,871","3,342",499,"2,818","3,317",495,"2,914","3,409",472,"2,829","3,301",669,"2,828","3,497",497,"2,898","3,395",553,"3,099","3,652","6,009","33,796","39,805"
호흡기내과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
신장내과,-,-,-,-,-,-,-,-,-,521,"4,578","5,099",123,"1,669","1,792",176,"1,681","1,857",180,"1,671","1,851",240,"1,577","1,817",130,"1,540","1,670",155,"1,594","1,749",161,"1,576","1,737",236,"1,680","1,916","1,922","17,566","19,488"
감염내과,-,-,-,-,-,-,-,-,-,519,"4,459","4,978",139,48,187,129,51,180,94,24,118,186,8,194,92,16,108,314,26,340,"1,418",25,"1,443","2,319",86,"2,405","5,210","4,743","9,953"
신경과,424,"1,959","2,383",395,"1,902","2,297",599,"2,207","2,806",444,"2,066","2,510",620,"2,098","2,718",557,"2,128","2,685",473,"2,181","2,654",486,"2,123","2,609",421,"2,089","2,510",792,"2,167","2,959",515,"2,104","2,619",663,"2,271","2,934","6,389","25,295","31,684"
정신건강의학과,109,784,893,98,808,906,125,893,"1,018",116,845,961,105,896,"1,001",93,888,981,96,870,966,113,881,994,98,889,987,360,826,"1,186",106,863,969,145,899,"1,044","1,564","10,342","11,906"
외과,178,438,616,188,440,628,221,442,663,240,523,763,198,464,662,275,500,775,238,501,739,236,559,795,190,500,690,214,536,750,207,464,671,379,561,940,"2,764","5,928","8,692"
흉부외과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
정형외과,563,"1,605","2,168",533,"1,542","2,075",655,"1,865","2,520",705,"1,813","2,518",639,"1,673","2,312",704,"1,848","2,552",728,"1,799","2,527",699,"1,751","2,450",642,"1,607","2,249",628,"1,616","2,244",632,"1,625","2,257",667,"1,772","2,439","7,795","20,516","28,311"
신경외과,341,"1,626","1,967",341,"1,473","1,814",424,"1,755","2,179",483,"1,723","2,206",384,"1,708","2,092",455,"1,732","2,187",395,"1,766","2,161",460,"1,781","2,241",322,"1,646","1,968",351,"1,539","1,890",388,"1,744","2,132",359,"1,698","2,057","4,703","20,191","24,894"
마취통증의학과,56,183,239,59,173,232,69,170,239,72,224,296,74,159,233,70,180,250,77,227,304,53,203,256,70,206,276,66,128,194,71,177,248,76,195,271,813,"2,225","3,038"
산부인과,123,208,331,122,168,290,177,227,404,130,240,370,157,237,394,138,232,370,137,248,385,111,180,291,131,192,323,175,184,359,153,205,358,451,207,658,"2,005","2,528","4,533"
