구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
순환기내과,211,"3,385","3,596",239,"3,472","3,711",240,"3,826","4,066",272,"3,480","3,752",231,"3,896","4,127",277,"3,765","4,042",310,"3,685","3,995",248,"3,958","4,206",207,"3,728","3,935",217,"3,728","3,945",248,"3,876","4,124",199,"3,754","3,953","2,899","44,553","47,452"
호흡기내과,108,741,849,61,677,738,35,323,358,23,102,125,32,33,65,3,21,24,-,24,24,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,262,"1,929","2,191"
내분비내과,115,"1,112","1,227",92,"1,063","1,155",103,"1,274","1,377",89,"1,125","1,214",102,"1,179","1,281",124,"1,214","1,338",110,"1,151","1,261",105,"1,171","1,276",92,"1,170","1,262",101,"1,113","1,214",107,"1,220","1,327",99,"1,135","1,234","1,239","13,927","15,166"
감염내과,77,10,87,108,14,122,98,11,109,116,83,199,109,110,219,154,43,197,80,14,94,75,23,98,128,20,148,116,19,135,429,86,515,151,24,175,"1,641",457,"2,098"
소화기내과,511,"1,675","2,186",546,"1,725","2,271",533,"1,866","2,399",502,"1,790","2,292",472,"1,812","2,284",458,"1,822","2,280",474,"1,791","2,265",487,"1,930","2,417",345,"1,656","2,001",392,"1,680","2,072",387,"1,860","2,247",300,"1,648","1,948","5,407","21,255","26,662"
혈액종양내과,45,448,493,60,353,413,64,401,465,56,416,472,60,417,477,53,360,413,65,414,479,84,374,458,53,445,498,42,426,468,55,455,510,56,357,413,693,"4,866","5,559"
신장내과,131,"1,169","1,300",125,"1,036","1,161",118,"1,203","1,321",108,"1,171","1,279",123,"1,310","1,433",98,"1,232","1,330",129,"1,231","1,360",142,"1,303","1,445",86,"1,278","1,364",75,"1,251","1,326",95,"1,223","1,318",76,"1,120","1,196","1,306","14,527","15,833"
일반내과,3,-,3,2,-,2,2,-,2,-,-,-,3,1,4,116,336,452,116,410,526,158,443,601,89,441,530,"3,551","3,224","6,775",818,540,"1,358",88,440,528,"4,946","5,835","10,781"
신경과,188,"2,653","2,841",176,"2,407","2,583",250,"2,826","3,076",310,"2,682","2,992",398,"2,979","3,377",436,"3,087","3,523",362,"3,028","3,390",432,"3,158","3,590",308,"2,994","3,302",562,"3,261","3,823",409,"3,016","3,425",332,"2,985","3,317","4,163","35,076","39,239"
소아청소년과,443,"1,685","2,128",603,"1,680","2,283",248,"1,646","1,894",247,"1,540","1,787",246,"1,733","1,979",269,"1,542","1,811",263,"1,561","1,824",436,"1,803","2,239",213,"1,538","1,751",268,"1,684","1,952",274,"1,808","2,082",214,"1,549","1,763","3,724","19,769","23,493"
