구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
순환기내과,15,"4,087","4,102",18,"3,752","3,770",29,"4,585","4,614",29,"4,171","4,200",25,"4,136","4,161",26,"4,524","4,550",38,"4,324","4,362",47,"4,369","4,416",45,"4,248","4,293",39,"4,004","4,043",43,"4,142","4,185",35,"4,384","4,419",389,"50,726","51,115"
호흡기내과,16,"1,486","1,502",24,"1,443","1,467",37,"1,679","1,716",20,"1,623","1,643",17,"1,457","1,474",23,"1,574","1,597",26,"1,456","1,482",22,"1,521","1,543",37,"1,451","1,488",30,"1,395","1,425",39,"1,622","1,661",33,"1,522","1,555",324,"18,229","18,553"
내분비내과,8,"1,450","1,458",7,"1,388","1,395",8,"1,678","1,686",8,"1,554","1,562",5,"1,403","1,408",9,"1,509","1,518",6,"1,662","1,668",1,"1,197","1,198",,"1,333","1,333",6,"1,370","1,376",8,"1,375","1,383",12,"1,668","1,680",78,"17,587","17,665"
감염내과,,,-,1,20,21,51,113,164,259,278,537,57,122,179,33,153,186,416,517,933,215,920,"1,135",339,449,788,120,539,659,90,224,314,72,287,359,"1,653","3,622","5,275"
소화기내과,17,"2,518","2,535",17,"2,408","2,425",30,"2,619","2,649",12,"2,559","2,571",15,"2,267","2,282",27,"2,480","2,507",25,"2,420","2,445",21,"2,380","2,401",14,"2,211","2,225",20,"2,275","2,295",14,"2,435","2,449",34,"2,623","2,657",246,"29,195","29,441"
혈액종양내과,3,590,593,,468,468,2,673,675,4,613,617,,612,612,,695,695,3,702,705,5,699,704,3,491,494,3,642,645,5,660,665,5,561,566,33,"7,406","7,439"
신장내과,5,"1,247","1,252",3,"1,169","1,172",8,"1,426","1,434",4,"1,304","1,308",9,"1,268","1,277",11,"1,300","1,311",9,"1,353","1,362",12,"1,353","1,365",7,"1,295","1,302",10,"1,266","1,276",5,"1,225","1,230",12,"1,220","1,232",95,"15,426","15,521"
일반내과,,11,11,,14,14,111,979,"1,090",43,428,471,,,-,91,263,354,,,-,,,-,19,96,115,163,"3,915","4,078",156,"2,029","2,185",85,620,705,668,"8,355","9,023"
신경과,20,"2,723","2,743",28,"2,743","2,771",40,"3,192","3,232",62,"3,077","3,139",46,"3,015","3,061",76,"3,241","3,317",55,"3,435","3,490",44,"3,396","3,440",66,"3,413","3,479",46,"3,147","3,193",34,"3,429","3,463",61,"3,539","3,600",578,"38,350","38,928"
소아청소년과,128,"1,629","1,757",191,"1,687","1,878",153,"1,845","1,998",165,"1,777","1,942",173,"1,608","1,781",243,"2,025","2,268",183,"1,637","1,820",264,"1,870","2,134",131,"1,645","1,776",79,"1,747","1,826",105,"1,844","1,949",117,"1,697","1,814","1,932","21,011","22,943"
정신건강의학과,13,"1,095","1,108",12,"1,069","1,081",17,"1,264","1,281",16,"1,185","1,201",9,"1,142","1,151",6,"1,166","1,172",18,"1,163","1,181",7,"1,103","1,110",12,"1,146","1,158",13,"1,079","1,092",24,"1,112","1,136",22,"1,234","1,256",169,"13,758","13,927"
외과,15,752,767,7,657,664,15,796,811,16,865,881,12,745,757,14,798,812,12,726,738,16,836,852,12,702,714,16,763,779,20,691,711,13,844,857,168,"9,175","9,343"
정형외과,26,"2,570","2,596",41,"2,540","2,581",72,"3,024","3,096",66,"2,971","3,037",68,"2,789","2,857",74,"3,181","3,255",61,"3,051","3,112",45,"2,986","3,031",34,"2,757","2,791",41,"2,759","2,800",63,"2,946","3,009",79,"3,126","3,205",670,"34,700","35,370"
신경외과,16,"1,980","1,996",12,"1,817","1,829",28,"2,280","2,308",27,"2,104","2,131",31,"2,052","2,083",20,"2,100","2,120",87,"2,297","2,384",96,"2,272","2,368",183,"2,105","2,288",29,"1,910","1,939",26,"1,928","1,954",21,"2,036","2,057",576,"24,881","25,457"
산부인과,118,173,291,181,205,386,593,257,850,251,187,438,493,238,731,484,456,940,352,212,564,322,247,569,336,232,568,339,212,551,333,190,523,277,195,472,"4,079","2,804","6,883"
안과,12,"1,636","1,648",11,"1,608","1,619",13,"1,926","1,939",18,"1,924","1,942",10,"1,681","1,691",12,"1,895","1,907",5,"1,923","1,928",6,"1,607","1,613",8,"1,712","1,720",15,"1,655","1,670",9,"1,682","1,691",5,"1,643","1,648",124,"20,892","21,016"
피부과,15,"1,753","1,768",11,"1,605","1,616",8,"1,975","1,983",8,"1,824","1,832",19,"1,771","1,790",20,"1,942","1,962",13,"1,941","1,954",16,"1,612","1,628",16,"1,544","1,560",6,"1,562","1,568",15,"1,550","1,565",13,"1,746","1,759",160,"20,825","20,985"
이비인후과,3,869,872,10,861,871,20,"1,097","1,117",15,977,992,6,958,964,8,"1,060","1,068",13,951,964,13,962,975,12,842,854,5,881,886,7,981,988,3,947,950,115,"11,386","11,501"
