구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,340,933,"1,273",355,892,"1,247",275,"1,137","1,412",298,980,"1,278",264,"1,019","1,283",308,"1,082","1,390",178,959,"1,137",342,"1,113","1,455",242,988,"1,230",694,"1,103","1,797",284,"1,075","1,359",230,"1,044","1,274","3,810","12,325","16,135"
호흡기내과,197,90,287,257,288,545,217,393,610,124,353,477,140,369,509,111,355,466,117,330,447,95,336,431,77,327,404,388,277,665,160,330,490,104,330,434,"1,987","3,778","5,765"
신경과,32,387,419,30,388,418,231,300,531,140,421,561,199,354,553,198,390,588,152,473,625,175,446,621,118,346,464,297,497,794,189,442,631,139,410,549,"1,900","4,854","6,754"
피부과,336,275,611,464,309,773,422,325,747,345,308,653,382,341,723,476,398,874,451,389,840,380,367,747,364,367,731,603,340,943,453,291,744,359,297,656,"5,035","4,007","9,042"
재활의학과,74,"1,142","1,216",89,"1,279","1,368",63,"1,487","1,550",80,"1,282","1,362",76,"1,341","1,417",97,"1,325","1,422",105,"1,388","1,493",91,"1,475","1,566",75,"1,412","1,487",436,"1,409","1,845",107,"1,470","1,577",84,"1,334","1,418","1,377","16,344","17,721"
가정의학과,363,823,"1,186",445,916,"1,361",468,"1,054","1,522",356,979,"1,335",379,"1,133","1,512",402,"1,153","1,555",339,"1,118","1,457",372,"1,022","1,394",423,"1,022","1,445",858,"1,065","1,923",555,"1,066","1,621",410,"1,081","1,491","5,370","12,432","17,802"
외과,71,450,521,63,353,416,-,-,-,-,-,-,92,75,167,109,128,237,104,132,236,94,139,233,91,164,255,407,135,542,168,131,299,83,117,200,"1,282","1,824","3,106"
정형외과,205,598,803,199,624,823,561,911,"1,472",249,877,"1,126",321,915,"1,236",368,"1,017","1,385",292,"1,013","1,305",369,"1,194","1,563",249,"1,078","1,327",885,"1,230","2,115",269,"1,041","1,310",166,920,"1,086","4,133","11,418","15,551"
신경외과,139,269,408,159,290,449,111,298,409,21,153,174,-,-,-,-,-,-,-,-,-,-,-,-,221,12,233,512,60,572,259,95,354,166,117,283,"1,588","1,294","2,882"
안과,247,196,443,294,218,512,526,219,745,298,206,504,291,257,548,153,457,610,204,415,619,258,440,698,202,475,677,567,500,"1,067",192,454,646,163,389,552,"3,395","4,226","7,621"
이비인후과,369,342,711,325,351,676,348,388,736,332,336,668,318,349,667,328,420,748,354,368,722,317,387,704,284,359,643,"1,089",479,"1,568",439,413,852,349,345,694,"4,852","4,537","9,389"
비뇨의학과,244,"1,637","1,881",256,"1,680","1,936",299,"1,844","2,143",221,"1,672","1,893",215,"1,684","1,899",210,"1,752","1,962",274,"1,649","1,923",250,"1,780","2,030",214,"1,592","1,806",480,"1,619","2,099",274,"1,528","1,802",249,"1,593","1,842","3,186","20,030","23,216"
치과,120,957,"1,077",128,977,"1,105",148,955,"1,103",96,907,"1,003",107,914,"1,021",115,928,"1,043",114,820,934,99,516,615,86,513,599,105,622,727,87,625,712,60,416,476,"1,265","9,150","10,415"
영상의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,-,108,-,-,-,-,-,-,108,-,108
마취통증의학과,39,125,164,50,117,167,15,100,115,14,84,98,13,67,80,35,41,76,46,59,105,29,74,103,40,62,102,112,75,187,33,45,78,17,51,68,443,900,"1,343"
응급의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,454,-,454,60,-,60,50,-,50,564,-,564
계,"2,776","8,224","11,000","3,114","8,682","11,796","3,684","9,411","13,095","2,574","8,558","11,132","2,797","8,818","11,615","2,910","9,446","12,356","2,730","9,113","11,843","2,871","9,289","12,160","2,686","8,717","11,403","7,995","9,411","17,406","3,529","9,006","12,535","2,629","8,444","11,073","40,295","107,119","147,414"
