구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
소화기내과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
내분비내과,621,"2,533","3,154",682,"2,328","3,010",772,"2,616","3,388",758,"2,505","3,263",761,"2,590","3,351",734,"2,516","3,250",677,"2,472","3,149",698,"2,466","3,164",483,"1,874","2,357",763,"1,893","2,656",621,"1,737","2,358",606,"1,608","2,214","8,176","27,138","35,314"
순환기내과,189,"1,168","1,357",215,"1,159","1,374",243,"1,294","1,537",158,908,"1,066",145,949,"1,094",223,800,"1,023",242,804,"1,046",245,818,"1,063",213,805,"1,018",-,-,-,-,-,-,-,-,-,"1,873","8,705","10,578"
호흡기내과,476,"3,118","3,594",528,"2,984","3,512",564,"3,187","3,751",505,"2,917","3,422",486,"3,196","3,682",511,"3,064","3,575",525,"3,154","3,679",455,"3,095","3,550",422,"3,005","3,427","1,098","3,265","4,363",518,"3,244","3,762",479,"3,024","3,503","6,567","37,253","43,820"
신장내과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
감염내과,243,"1,591","1,834",218,"1,453","1,671",236,"1,660","1,896",320,"1,483","1,803",324,"1,737","2,061",372,"1,670","2,042",311,"1,740","2,051",328,"1,676","2,004",394,"1,669","2,063","1,507","1,851","3,358",805,"1,912","2,717",612,"2,235","2,847","5,670","20,677","26,347"
신경과,54,9,63,32,8,40,30,15,45,7,6,13,13,9,22,19,14,33,19,8,27,353,28,381,18,20,38,314,15,329,841,39,880,70,17,87,"1,770",188,"1,958"
정신건강의학과,370,"1,931","2,301",432,"1,751","2,183",444,"2,052","2,496",412,"1,785","2,197",417,"1,924","2,341",489,"1,923","2,412",434,"1,921","2,355",441,"1,929","2,370",437,"1,865","2,302",574,"1,903","2,477",472,"1,924","2,396",535,"1,725","2,260","5,457","22,633","28,090"
외과,107,844,951,129,813,942,139,896,"1,035",115,827,942,112,953,"1,065",110,853,963,101,873,974,104,883,987,120,857,977,364,868,"1,232",116,863,979,124,823,947,"1,641","10,353","11,994"
흉부외과,247,538,785,262,483,745,271,595,866,199,515,714,233,575,808,250,560,810,209,557,766,239,542,781,219,479,698,778,558,"1,336",215,509,724,201,488,689,"3,323","6,399","9,722"
정형외과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
신경외과,560,"1,369","1,929",518,"1,312","1,830",652,"1,452","2,104",562,"1,364","1,926",600,"1,460","2,060",689,"1,535","2,224",622,"1,527","2,149",658,"1,526","2,184",600,"1,510","2,110",885,"1,579","2,464",552,"1,452","2,004",448,"1,438","1,886","7,346","17,524","24,870"
마취통증의학과,369,"1,562","1,931",394,"1,505","1,899",447,"1,782","2,229",367,"1,572","1,939",375,"1,633","2,008",379,"1,715","2,094",400,"1,675","2,075",359,"1,693","2,052",334,"1,508","1,842",891,"1,664","2,555",389,"1,712","2,101",361,"1,584","1,945","5,065","19,605","24,670"
산부인과,92,118,210,110,124,234,147,151,298,127,103,230,115,99,214,127,127,254,101,115,216,110,91,201,112,101,213,132,101,233,126,109,235,103,95,198,"1,402","1,334","2,736"
소아청소년과,218,182,400,183,160,343,180,208,388,166,183,349,172,199,371,185,164,349,193,166,359,212,170,382,152,164,316,462,193,655,669,179,848,181,158,339,"2,973","2,126","5,099"
안과,32,42,74,44,44,88,22,44,66,30,45,75,48,70,118,40,77,117,35,80,115,53,77,130,38,55,93,253,55,308,86,61,147,65,35,100,746,685,"1,431"
이비인후과,578,"1,214","1,792",646,"1,202","1,848",716,"1,349","2,065",641,"1,329","1,970",669,"1,365","2,034",625,"1,271","1,896",659,"1,376","2,035",672,"1,351","2,023",591,"1,261","1,852",891,"1,409","2,300",652,"1,361","2,013",518,"1,324","1,842","7,858","15,812","23,670"
피부과,449,"1,074","1,523",460,979,"1,439",534,"1,116","1,650",479,972,"1,451",492,"1,021","1,513",427,959,"1,386",455,985,"1,440",469,984,"1,453",482,961,"1,443",899,"1,002","1,901",556,"1,081","1,637",531,"1,086","1,617","6,233","12,220","18,453"
비뇨의학과,588,927,"1,515",658,933,"1,591",732,"1,047","1,779",625,895,"1,520",684,"1,023","1,707",753,938,"1,691",761,"1,005","1,766",746,948,"1,694",638,943,"1,581",853,906,"1,759",675,929,"1,604",641,865,"1,506","8,354","11,359","19,713"
재활의학과,406,"3,026","3,432",442,"2,911","3,353",409,"3,225","3,634",376,"2,813","3,189",368,"3,107","3,475",410,"2,986","3,396",388,"2,945","3,333",429,"2,993","3,422",390,"2,923","3,313",580,"2,977","3,557",407,"2,971","3,378",395,"3,002","3,397","5,000","35,879","40,879"
가정의학과,172,"3,093","3,265",182,"3,257","3,439",238,"3,536","3,774",200,"3,296","3,496",198,"3,308","3,506",177,"3,486","3,663",180,"3,549","3,729",252,"3,502","3,754",179,"3,326","3,505",468,"3,307","3,775",171,"3,649","3,820",134,"3,308","3,442","2,551","40,617","43,168"
치과,263,286,549,306,289,595,227,353,580,251,336,587,280,361,641,248,360,608,269,347,616,329,356,685,251,346,597,"2,656",395,"3,051",846,388,"1,234",436,384,820,"6,362","4,201","10,563"
건강관리과,526,"1,592","2,118",550,"1,597","2,147",660,"1,739","2,399",605,"1,539","2,144",503,"1,498","2,001",607,"1,674","2,281",609,"1,570","2,179",517,"1,669","2,186",576,"1,459","2,035",588,"1,400","1,988",633,"1,710","2,343",547,"1,517","2,064","6,921","18,964","25,885"
핵의학과,250,71,321,394,113,507,423,125,548,585,185,770,660,184,844,776,229,"1,005",347,115,462,447,121,568,388,97,485,449,125,574,483,168,651,471,147,618,"5,673","1,680","7,353"
핵의학과,51,311,362,75,355,430,80,408,488,76,340,416,78,374,452,71,355,426,70,372,442,74,377,451,46,249,295,80,265,345,103,279,382,72,229,301,876,"3,914","4,790"
계,"6,861","26,599","33,460","7,460","25,760","33,220","8,166","28,850","37,016","7,564","25,918","33,482","7,733","27,635","35,368","8,222","27,276","35,498","7,607","27,356","34,963","8,190","27,295","35,485","7,083","25,477","32,560","15,485","25,731","41,216","9,936","26,277","36,213","7,530","25,092","32,622","101,837","319,266","421,103"
