구분,국비,사비,계,일평균환자
초진,재진,계,일반,건강보험,의료급여,산재,자보,계,초진,재진,계,초진,재진,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,1,,1,,,,,,,,-,,,,,,,,,,,1,-,1,0,-,0
순환기내과,"5,918","56,863","62,781",129,506,635,"6,489","32,336","38,825",245,"1,803","2,048",,1,1,,1,1,"6,863","34,647","41,510","12,781","91,510","104,291",52,374,426
호흡기내과,"5,155","13,747","18,902",103,76,179,"4,502","10,668","15,170",178,604,782,1,1,2,,1,1,"4,784","11,350","16,134","9,939","25,097","35,036",41,102,143
내분비내과,"2,796","28,257","31,053",100,276,376,"4,172","21,484","25,656",153,944,"1,097",,,,,,,"4,425","22,704","27,129","7,221","50,961","58,182",29,208,237
감염내과,"8,646","1,280","9,926",429,30,459,"16,465","1,723","18,188",445,33,478,,,,2,,2,"17,341","1,786","19,127","25,987","3,066","29,053",106,13,119
소화기내과,"6,629","24,280","30,909",141,220,361,"8,483","19,302","27,785",347,959,"1,306",,,,,,,"8,971","20,481","29,452","15,600","44,761","60,361",64,183,246
혈액종양내과,"5,371","13,065","18,436",83,120,203,"2,748","4,427","7,175",122,565,687,,1,1,,,,"2,953","5,113","8,066","8,324","18,178","26,502",34,74,108
신장내과,"4,049","19,154","23,203",75,95,170,"3,133","10,384","13,517",113,805,918,,,,1,2,3,"3,322","11,286","14,608","7,371","30,440","37,811",30,124,154
류마티스내과,503,"4,241","4,744",4,24,28,711,"5,305","6,016",18,273,291,,,,,,,733,"5,602","6,335","1,236","9,843","11,079",5,40,45
소아청소년과,34,1,35,236,42,278,"1,525","1,326","2,851",23,168,191,,,,,,,"1,784","1,536","3,320","1,818","1,537","3,355",7,6,14
신경과,"5,932","38,038","43,970",75,436,511,"7,320","30,380","37,700",404,"2,402","2,806",1,10,11,3,5,8,"7,803","33,233","41,036","13,735","71,271","85,006",56,291,347
정신건강의학과,"1,066","13,524","14,590",18,94,112,"1,370","14,303","15,673",92,"1,786","1,878",,2,2,2,10,12,"1,482","16,195","17,677","2,548","29,719","32,267",10,121,132
피부과,"6,481","22,535","29,016",283,277,560,"6,231","10,346","16,577",224,527,751,,,,2,4,6,"6,740","11,154","17,894","13,221","33,689","46,910",54,138,191
재활의학과,"3,141","74,724","77,865",41,281,322,"2,369","15,405","17,774",168,"1,463","1,631",4,358,362,23,291,314,"2,605","17,798","20,403","5,746","92,522","98,268",23,378,401
재활센터신경과,263,"1,035","1,298",4,13,17,273,924,"1,197",12,71,83,,,,,1,1,289,"1,009","1,298",552,"2,044","2,596",2,8,11
가정의학과,"5,423","17,301","22,724",207,442,649,"8,706","20,852","29,558",334,"1,113","1,447",,,,3,1,4,"9,250","22,408","31,658","14,673","39,709","54,382",60,162,222
외과,"2,215","7,145","9,360",36,41,77,"2,553","5,500","8,053",130,397,527,,,,,,,"2,719","5,938","8,657","4,934","13,083","18,017",20,53,74
흉부외과,"1,053","5,880","6,933",13,19,32,679,"1,710","2,389",31,160,191,,4,4,2,4,6,725,"1,897","2,622","1,778","7,777","9,555",7,32,39
정형외과,"7,672","22,697","30,369",172,226,398,"12,719","27,618","40,337",593,"2,210","2,803",3,170,173,21,24,45,"13,508","30,248","43,756","21,180","52,945","74,125",86,216,303
신경외과,"3,447","12,716","16,163",34,43,77,"3,449","8,825","12,274",200,724,924,4,2,6,17,19,36,"3,704","9,613","13,317","7,151","22,329","29,480",29,91,120
성형외과,,,,,,,,,,,,,,,,,,,,,,,,,,,
산부인과,17,64,81,69,264,333,"2,593","16,686","19,279",113,943,"1,056",,,,,,,"2,775","17,893","20,668","2,792","17,957","20,749",11,73,85
