구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,235,781,"1,016",216,813,"1,029",920,911,"1,831",660,777,"1,437",784,586,"1,370",961,833,"1,794",593,741,"1,334",856,"1,001","1,857",425,935,"1,360","1,906","2,003","3,909","2,257","1,063","3,320","2,139",899,"3,038","11,952","11,343","23,295"
순환기내과,403,"2,255","2,658",319,"2,031","2,350",360,"2,457","2,817",376,"2,200","2,576",357,"2,007","2,364",388,"2,389","2,777",358,"2,176","2,534",354,"2,261","2,615",306,"2,045","2,351",417,"2,084","2,501",409,"2,134","2,543",410,"2,263","2,673","4,457","26,302","30,759"
호흡기내과,334,"1,145","1,479",206,916,"1,122",335,"1,239","1,574",335,"1,054","1,389",308,"1,010","1,318",366,"1,167","1,533",257,"1,115","1,372",341,"1,097","1,438",266,838,"1,104",221,"1,058","1,279",410,928,"1,338",323,962,"1,285","3,702","12,529","16,231"
내분비내과,179,"1,826","2,005",186,"1,751","1,937",173,"1,996","2,169",180,"2,014","2,194",136,"1,569","1,705",160,"1,833","1,993",154,"1,641","1,795",161,"1,777","1,938",112,"1,653","1,765",217,"1,604","1,821",191,"1,759","1,950",192,"1,870","2,062","2,041","21,293","23,334"
소화기내과,667,"2,909","3,576",618,"2,543","3,161",813,"3,088","3,901",758,"3,144","3,902",597,"2,728","3,325",785,"3,098","3,883",682,"3,131","3,813",629,"2,989","3,618",643,"2,841","3,484",670,"2,851","3,521",772,"2,894","3,666",602,"2,996","3,598","8,236","35,212","43,448"
혈액종양내과,0,0,0,0,0,0,97,32,129,64,65,129,58,82,140,63,91,154,60,114,174,51,126,177,70,123,193,47,127,174,78,144,222,74,139,213,662,"1,043","1,705"
신장내과,107,"1,776","1,883",115,"1,620","1,735",156,"1,862","2,018",123,"1,753","1,876",126,"1,735","1,861",148,"1,792","1,940",133,"1,782","1,915",112,"1,734","1,846",103,"1,798","1,901",137,"1,728","1,865",118,"1,726","1,844",116,"1,795","1,911","1,494","21,101","22,595"
류마티스내과,96,259,355,93,252,345,78,281,359,100,267,367,77,274,351,92,289,381,99,296,395,82,298,380,74,291,365,85,276,361,84,293,377,67,300,367,"1,027","3,376","4,403"
소아청소년과,816,49,865,788,60,848,"1,374",85,"1,459","1,259",92,"1,351",965,82,"1,047","1,089",133,"1,222","2,029",79,"2,108","2,651",70,"2,721","3,012",112,"3,124","3,117",144,"3,261","3,675",194,"3,869","6,853",192,"7,045","27,628","1,292","28,920"
신경과,443,"1,249","1,692",388,"1,175","1,563",521,"1,303","1,824",475,"1,314","1,789",410,"1,230","1,640",456,"1,349","1,805",436,"1,282","1,718",424,"1,280","1,704",463,"1,339","1,802",452,"1,187","1,639",408,"1,270","1,678",434,"1,345","1,779","5,310","15,323","20,633"
