구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,413,"2,007","2,420",305,"1,719","2,024",51,145,196,46,132,178,118,190,308,152,281,433,393,946,"1,339",571,"1,192","1,763",521,"1,223","1,744","1,760","1,870","3,630","1,233","1,116","2,349",603,"1,080","1,683","6,166","11,901","18,067"
순환기내과,348,"1,975","2,323",261,"1,378","1,639",783,"2,343","3,126",654,"2,172","2,826",504,"2,156","2,660",418,"2,594","3,012",417,"2,399","2,816",301,"2,050","2,351",318,"2,251","2,569",474,"2,143","2,617",431,"2,239","2,670",445,"2,451","2,896","5,354","26,151","31,505"
호흡기내과,334,"1,131","1,465",274,830,"1,104",444,"1,084","1,528",497,"1,013","1,510",477,"1,135","1,612",528,"1,251","1,779",429,"1,240","1,669",277,"1,081","1,358",282,"1,194","1,476",326,"1,121","1,447",278,"1,069","1,347",273,"1,122","1,395","4,419","13,271","17,690"
내분비내과,128,"1,564","1,692",168,"1,861","2,029",259,"1,815","2,074",224,"1,820","2,044",198,"1,871","2,069",243,"2,085","2,328",155,"2,060","2,215",122,"1,645","1,767",155,"1,951","2,106",182,"1,680","1,862",234,"1,874","2,108",180,"1,731","1,911","2,248","21,957","24,205"
소화기내과,717,"2,865","3,582",653,"2,340","2,993",925,"2,772","3,697",894,"2,844","3,738",880,"2,674","3,554",901,"3,196","4,097",828,"3,193","4,021",682,"2,717","3,399",655,"2,911","3,566",991,"2,982","3,973",892,"2,692","3,584",682,"2,830","3,512","9,700","34,016","43,716"
신장내과,152,"1,941","2,093",108,"1,812","1,920",130,"1,798","1,928",130,"1,927","2,057",195,"1,850","2,045",190,"1,862","2,052",151,"1,994","2,145",126,"1,828","1,954",128,"1,760","1,888",132,"1,886","2,018",142,"1,684","1,826",114,"1,778","1,892","1,698","22,120","23,818"
류마티스내과,0,0,0,0,0,0,117,43,160,110,103,213,113,155,268,169,251,420,117,256,373,100,265,365,99,256,355,89,257,346,92,234,326,91,282,373,"1,097","2,102","3,199"
소아청소년과,154,342,496,103,181,284,53,78,131,75,56,131,107,57,164,181,150,331,144,129,273,379,90,469,306,88,394,702,153,855,419,120,539,"1,422",118,"1,540","4,045","1,562","5,607"
신경과,473,"1,183","1,656",405,"1,118","1,523",460,"1,178","1,638",449,"1,179","1,628",414,"1,186","1,600",499,"1,299","1,798",514,"1,301","1,815",462,"1,284","1,746",370,"1,361","1,731",412,"1,152","1,564",414,"1,214","1,628",347,"1,334","1,681","5,219","14,789","20,008"
정신건강의학과,105,"1,673","1,778",96,"1,522","1,618",114,"1,672","1,786",102,"1,643","1,745",97,"1,528","1,625",81,"1,671","1,752",118,"1,741","1,859",73,"1,644","1,717",30,"1,423","1,453",57,"1,216","1,273",86,"1,218","1,304",72,"1,059","1,131","1,031","18,010","19,041"
피부과,876,"1,788","2,664",807,"1,560","2,367",989,"1,729","2,718",999,"1,671","2,670","1,030","1,625","2,655","1,168","1,847","3,015","1,056","1,899","2,955","1,124","1,821","2,945","1,079","1,898","2,977","1,275","1,901","3,176","1,108","1,683","2,791","1,067","1,678","2,745","12,578","21,100","33,678"
재활의학과,104,"2,661","2,765",87,"2,252","2,339",97,"2,079","2,176",107,"2,321","2,428",96,"2,372","2,468",145,"2,724","2,869",160,"3,029","3,189",122,"2,710","2,832",126,"2,484","2,610",88,"2,365","2,453",100,"2,442","2,542",92,"2,443","2,535","1,324","29,882","31,206"
가정의학과,530,"1,304","1,834",532,"1,142","1,674",598,"1,301","1,899",638,"1,365","2,003",865,"1,330","2,195","1,167","1,571","2,738",881,"1,306","2,187",540,"1,259","1,799",553,"1,247","1,800",909,"1,377","2,286",581,"1,188","1,769",313,"1,238","1,551","8,107","15,628","23,735"
외과,175,488,663,158,490,648,153,436,589,179,387,566,164,398,562,184,396,580,192,487,679,188,464,652,176,467,643,187,519,706,153,434,587,149,406,555,"2,058","5,372","7,430"
정형외과,689,"3,039","3,728",661,"2,785","3,446",723,"2,935","3,658",740,"2,908","3,648",749,"2,827","3,576",733,"2,978","3,711",585,"2,792","3,377",598,"2,834","3,432",614,"2,827","3,441",573,"2,706","3,279",741,"2,618","3,359",633,"2,786","3,419","8,039","34,035","42,074"
신경외과,531,"1,552","2,083",467,"1,487","1,954",456,"1,542","1,998",513,"1,529","2,042",583,"1,450","2,033",629,"1,728","2,357",606,"1,657","2,263",565,"1,610","2,175",634,"1,626","2,260",532,"1,440","1,972",519,"1,392","1,911",473,"1,472","1,945","6,508","18,485","24,993"
산부인과,67,87,154,72,72,144,79,75,154,81,69,150,114,73,187,124,85,209,139,78,217,87,78,165,104,87,191,105,77,182,156,66,222,210,75,285,"1,338",922,"2,260"
