구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,744,"2,660","3,404",577,"2,138","2,715",592,"2,127","2,719",549,"1,958","2,507",506,"2,008","2,514",516,"2,027","2,543",485,"1,982","2,467",574,"2,022","2,596",398,"1,549","1,947","6,387","8,154","14,541",929,"2,455","3,384",507,"2,101","2,608","12,764","31,181","43,945"
순환기내과,366,"2,258","2,624",300,"1,657","1,957",372,"2,087","2,459",343,"2,119","2,462",339,"1,850","2,189",335,"1,907","2,242",346,"2,159","2,505",292,"1,906","2,198",228,"1,571","1,799",328,"2,076","2,404",436,"2,014","2,450",338,"1,846","2,184","4,023","23,450","27,473"
호흡기내과,315,768,"1,083",227,607,834,258,739,997,283,686,969,273,779,"1,052",232,645,877,243,798,"1,041",283,764,"1,047",191,567,758,250,798,"1,048",264,692,956,215,651,866,"3,034","8,494","11,528"
내분비내과,282,"1,683","1,965",164,"1,440","1,604",191,"1,513","1,704",173,"1,350","1,523",143,"1,352","1,495",193,"1,224","1,417",297,"1,226","1,523",396,"1,560","1,956",304,"1,202","1,506",239,"1,556","1,795",207,"1,689","1,896",189,"1,489","1,678","2,778","17,284","20,062"
소화기내과,"1,013","2,645","3,658",692,"2,168","2,860",959,"2,359","3,318",926,"2,149","3,075",941,"2,359","3,300",862,"2,240","3,102",880,"2,590","3,470",796,"2,304","3,100",793,"2,061","2,854",948,"2,277","3,225",881,"2,056","2,937",883,"2,089","2,972","10,574","27,297","37,871"
신장내과,110,"1,564","1,674",119,"1,385","1,504",235,"1,650","1,885",184,"1,644","1,828",219,"1,762","1,981",169,"1,715","1,884",245,"1,829","2,074",196,"1,841","2,037",134,"1,651","1,785",149,"1,981","2,130",160,"1,848","2,008",142,"1,793","1,935","2,062","20,663","22,725"
소아청소년과,125,321,446,109,288,397,104,288,392,98,324,422,99,327,426,98,253,351,220,276,496,276,265,541,99,239,338,372,442,814,167,394,561,185,487,672,"1,952","3,904","5,856"
신경과,536,"1,357","1,893",438,"1,095","1,533",550,"1,267","1,817",485,"1,238","1,723",494,"1,323","1,817",507,"1,201","1,708",511,"1,196","1,707",531,"1,367","1,898",378,"1,054","1,432",525,"1,431","1,956",500,"1,258","1,758",493,"1,154","1,647","5,948","14,941","20,889"
정신건강의학과,88,"1,509","1,597",90,"1,264","1,354",107,"1,396","1,503",100,"1,287","1,387",108,"1,273","1,381",72,"1,090","1,162",107,"1,467","1,574",93,"1,474","1,567",93,"1,258","1,351",70,"1,198","1,268",100,"1,092","1,192",79,"1,262","1,341","1,107","15,570","16,677"
외과,179,546,725,126,402,528,192,502,694,167,491,658,194,477,671,165,441,606,196,509,705,205,527,732,162,465,627,211,551,762,192,545,737,169,524,693,"2,158","5,980","8,138"
정형외과,653,"3,284","3,937",510,"2,956","3,466",701,"3,394","4,095",660,"3,188","3,848",597,"3,331","3,928",621,"3,275","3,896",658,"3,396","4,054",623,"3,514","4,137",484,"2,928","3,412",649,"3,450","4,099",669,"3,350","4,019",525,"3,032","3,557","7,350","39,098","46,448"
신경외과,543,"1,693","2,236",508,"1,455","1,963",583,"1,696","2,279",582,"1,718","2,300",594,"1,741","2,335",564,"1,705","2,269",594,"1,756","2,350",560,"1,719","2,279",475,"1,552","2,027",602,"1,870","2,472",583,"1,771","2,354",542,"1,778","2,320","6,730","20,454","27,184"
산부인과,72,103,175,77,86,163,76,90,166,99,111,210,111,85,196,97,86,183,86,90,176,86,72,158,97,84,181,126,105,231,114,106,220,119,98,217,"1,160","1,116","2,276"
안과,913,"1,866","2,779",771,"1,588","2,359",910,"1,934","2,844",923,"1,826","2,749",854,"1,816","2,670",837,"1,803","2,640",967,"1,826","2,793",943,"1,928","2,871",770,"1,626","2,396",958,"2,084","3,042",834,"1,804","2,638",858,"1,830","2,688","10,538","21,931","32,469"
이비인후과,413,863,"1,276",323,659,982,441,855,"1,296",472,787,"1,259",370,828,"1,198",418,729,"1,147",428,851,"1,279",403,813,"1,216",300,748,"1,048",386,741,"1,127",448,835,"1,283",399,787,"1,186","4,801","9,496","14,297"
피부과,901,"1,908","2,809",889,"1,868","2,757",982,"1,992","2,974",924,"1,980","2,904",953,"1,981","2,934","1,026","1,904","2,930","1,173","2,202","3,375","1,034","2,281","3,315",844,"1,828","2,672","1,069","2,262","3,331",962,"2,054","3,016",878,"1,911","2,789","11,635","24,171","35,806"
비뇨의학과,491,"4,255","4,746",431,"3,937","4,368",532,"4,394","4,926",431,"4,145","4,576",431,"4,341","4,772",437,"3,995","4,432",486,"4,444","4,930",454,"4,638","5,092",346,"3,600","3,946",502,"4,622","5,124",455,"4,233","4,688",407,"4,369","4,776","5,403","50,973","56,376"
치과,608,"2,608","3,216",475,"2,264","2,739",582,"2,581","3,163",549,"2,349","2,898",574,"2,304","2,878",554,"2,256","2,810",630,"2,454","3,084",556,"2,276","2,832",456,"1,973","2,429",584,"2,284","2,868",646,"2,540","3,186",553,"2,467","3,020","6,767","28,356","35,123"
재활의학과,95,"2,028","2,123",121,"1,765","1,886",135,"2,050","2,185",123,"2,242","2,365",123,"2,186","2,309",111,"2,098","2,209",116,"2,377","2,493",132,"2,571","2,703",105,"1,976","2,081",128,"2,499","2,627",122,"2,409","2,531",116,"2,181","2,297","1,427","26,382","27,809"
가정의학과,412,"1,281","1,693",267,"1,022","1,289",313,"1,156","1,469",262,"1,046","1,308",266,"1,080","1,346",288,"1,035","1,323",299,"1,145","1,444",290,"1,155","1,445",263,972,"1,235",351,"1,221","1,572",416,"1,242","1,658",425,"1,335","1,760","3,852","13,690","17,542"
한방진료과,54,603,657,45,468,513,54,600,654,51,615,666,33,353,386,60,547,607,40,619,659,54,569,623,40,455,495,60,553,613,52,553,605,41,566,607,584,"6,501","7,085"
건강관리과,177,71,248,447,156,603,512,225,737,841,398,"1,239","1,148",350,"1,498",691,336,"1,027",515,269,784,577,206,783,378,286,664,647,253,900,675,252,927,679,297,976,"7,287","3,099","10,386"
향정신과,,22,22,,18,18,,20,20,,21,21,,20,20,,19,19,,22,22,,22,22,,17,17,,21,21,,21,21,,19,19,0,242,242
계,"9,090","35,896","44,986","7,706","30,686","38,392","9,381","34,915","44,296","9,225","33,672","42,897","9,370","33,926","43,296","8,853","32,531","41,384","9,522","35,483","45,005","9,354","35,794","45,148","7,338","29,662","37,000","15,541","42,429","57,970","9,812","35,213","45,025","8,742","34,066","42,808","113,934","414,273","528,207"
