구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,-,-,-
순환기내과,819,"6,924","7,743",942,"7,012","7,954",859,"7,750","8,609",796,"7,021","7,817",805,"6,635","7,440","1,053","7,426","8,479","1,032","7,510","8,542",925,"7,698","8,623",771,"6,709","7,480","1,477","7,197","8,674","1,022","7,877","8,899",818,"7,083","7,901","11,319","86,842","98,161"
호흡기내과,513,"2,447","2,960",550,"2,371","2,921",543,"2,652","3,195",508,"2,333","2,841",605,"2,599","3,204",700,"2,557","3,257",656,"2,530","3,186",601,"2,748","3,349",491,"2,526","3,017","2,132","2,846","4,978",640,"2,612","3,252",498,"2,211","2,709","8,437","30,432","38,869"
내분비내과,420,"3,933","4,353",430,"4,068","4,498",407,"4,426","4,833",444,"3,978","4,422",444,"4,081","4,525",560,"3,988","4,548",433,"4,204","4,637",461,"4,316","4,777",345,"3,904","4,249",823,"3,692","4,515",573,"4,330","4,903",352,"3,901","4,253","5,692","48,821","54,513"
감염내과,412,70,482,558,47,605,647,78,725,494,72,566,554,100,654,609,87,696,571,111,682,597,118,715,"2,125",108,"2,233","6,009",97,"6,106","1,268",123,"1,391",557,167,724,"14,401","1,178","15,579"
소화기내과,886,"2,689","3,575",852,"2,798","3,650",931,"2,727","3,658","1,073","2,619","3,692",914,"2,730","3,644","1,018","3,024","4,042",920,"2,705","3,625",790,"2,688","3,478",791,"2,625","3,416",758,"2,490","3,248",856,"2,636","3,492",772,"2,435","3,207","10,561","32,166","42,727"
혈액종양내과,338,"1,283","1,621",347,"1,329","1,676",403,"1,362","1,765",403,"1,294","1,697",443,"1,393","1,836",362,"1,398","1,760",414,"1,232","1,646",453,"1,489","1,942","1,042","1,235","2,277","1,136","1,314","2,450",395,"1,329","1,724",298,"1,224","1,522","6,034","15,882","21,916"
신장내과,337,"2,217","2,554",358,"2,304","2,662",360,"2,493","2,853",343,"2,111","2,454",346,"2,427","2,773",288,"2,320","2,608",382,"2,339","2,721",414,"2,436","2,850","1,233","2,570","3,803",775,"2,375","3,150",644,"2,445","3,089",278,"2,395","2,673","5,758","28,432","34,190"
류마티스내과,83,900,983,109,860,969,118,"1,273","1,391",57,655,712,28,825,853,82,755,837,158,"1,080","1,238",166,972,"1,138",137,955,"1,092",688,"1,157","1,845",129,882,"1,011",112,955,"1,067","1,867","11,269","13,136"
소아청소년과,46,31,77,50,36,86,51,49,100,29,39,68,35,38,73,156,47,203,80,51,131,53,47,100,41,43,84,174,54,228,115,56,171,49,46,95,879,537,"1,416"
