구분,국비,사비,계,일평균환자
초진,재진,계,일반,건강보험,의료급여,산재,자보,계,초진,재진,계,초진,재진,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
내과,55,369,424,32,478,510,69,485,554,63,409,472,82,400,482,54,478,532,52,353,405,66,480,546,77,420,497,59,443,502,61,402,463,70,489,559,740,"5,206","5,946"
소화기내과,436,"2,505","2,941",462,"2,643","3,105",539,"2,637","3,176",465,"2,409","2,874",509,"2,583","3,092",531,"2,510","3,041",432,"2,338","2,770",538,"2,710","3,248",490,"2,572","3,062",413,"2,385","2,798",488,"2,570","3,058",499,"2,610","3,109","5,802","30,472","36,274"
심장내과,251,"1,090","1,341",226,"1,090","1,316",387,"1,332","1,719",461,"1,251","1,712",358,"1,535","1,893",241,"1,578","1,819",204,"1,419","1,623",245,"1,610","1,855",215,"1,547","1,762",248,"1,479","1,727",264,"1,614","1,878",257,"1,615","1,872","3,357","17,160","20,517"
호흡기내과,209,672,881,189,685,874,283,658,941,307,632,939,336,717,"1,053",450,807,"1,257",376,794,"1,170",356,899,"1,255",328,820,"1,148",290,829,"1,119",361,899,"1,260",342,945,"1,287","3,827","9,357","13,184"
내분비내과,181,509,690,252,417,669,261,586,847,265,563,828,143,547,690,144,580,724,146,587,733,124,609,733,125,559,684,134,564,698,131,511,642,104,586,690,"2,010","6,618","8,628"
류마티스내과,114,405,519,63,354,417,106,382,488,150,451,601,182,458,640,119,485,604,57,420,477,139,573,712,143,490,633,83,483,566,118,543,661,86,527,613,"1,360","5,571","6,931"
신장내과,143,747,890,301,799,"1,100",170,722,892,215,837,"1,052",180,770,950,154,901,"1,055",168,874,"1,042",133,887,"1,020",125,883,"1,008",143,873,"1,016",152,847,999,161,827,988,"2,045","9,967","12,012"
혈액종양내과,158,591,749,199,689,888,163,537,700,174,660,834,198,527,725,110,564,674,136,595,731,199,742,941,147,660,807,142,705,847,121,636,757,137,689,826,"1,884","7,595","9,479"
소아청소년과,21,13,34,24,10,34,20,16,36,13,7,20,23,11,34,7,7,14,11,5,16,44,13,57,20,4,24,21,1,22,11,1,12,16,5,21,231,93,324
신 경 과,277,"2,176","2,453",259,"2,364","2,623",267,"2,268","2,535",285,"2,417","2,702",323,"2,273","2,596",312,"2,419","2,731",333,"2,185","2,518",333,"2,545","2,878",352,"2,270","2,622",308,"2,360","2,668",339,"2,255","2,594",301,"2,460","2,761","3,689","27,992","31,681"
정신건강의학과,-,4,4,-,3,3,-,5,5,647,77,724,234,478,712,107,572,679,75,478,553,118,659,777,127,613,740,93,562,655,107,612,719,85,525,610,"1,593","4,588","6,181"
피부과,575,574,"1,149",547,570,"1,117",604,557,"1,161",459,388,847,616,521,"1,137",798,394,"1,192",751,451,"1,202",656,448,"1,104",667,412,"1,079",666,339,"1,005",651,362,"1,013",514,279,793,"7,504","5,295","12,799"
재활의학과,140,"1,298","1,438",132,"1,344","1,476",134,"1,325","1,459",155,"1,404","1,559",157,"1,493","1,650",132,"1,555","1,687",132,"1,602","1,734",131,"1,483","1,614",128,"1,472","1,600",176,"1,452","1,628",132,"1,538","1,670",131,"1,600","1,731","1,680","17,566","19,246"
가정의학과,853,"1,300","2,153",668,"1,535","2,203","1,252","1,686","2,938","1,357","1,211","2,568",727,"1,045","1,772",678,"1,083","1,761",608,"1,077","1,685",853,"1,223","2,076",698,"1,197","1,895","5,936","2,159","8,095","1,303","1,218","2,521",905,"1,230","2,135","15,838","15,964","31,802"
외과,221,321,542,178,356,534,229,426,655,247,491,738,269,428,697,250,490,740,265,467,732,281,499,780,258,444,702,229,428,657,278,555,833,246,478,724,"2,951","5,383","8,334"
정형외과,459,"2,335","2,794",489,"2,432","2,921",685,"2,684","3,369",593,"2,602","3,195",619,"2,710","3,329",586,"2,812","3,398",604,"2,823","3,427",598,"3,054","3,652",576,"2,855","3,431",573,"2,852","3,425",620,"2,882","3,502",558,"2,983","3,541","6,960","33,024","39,984"
신경외과,111,364,475,103,391,494,148,381,529,133,377,510,108,374,482,104,392,496,98,352,450,100,374,474,105,375,480,93,356,449,113,356,469,92,388,480,"1,308","4,480","5,788"
산부인과,"1,257","1,973","3,230","1,232","1,890","3,122",987,"1,547","2,534",178,91,269,159,39,198,168,37,205,168,25,193,210,37,247,168,33,201,174,31,205,251,44,295,183,37,220,"5,135","5,784","10,919"
안과,426,586,"1,012",466,534,"1,000",478,544,"1,022",489,543,"1,032",485,536,"1,021",494,592,"1,086",453,612,"1,065",464,545,"1,009",517,578,"1,095",487,557,"1,044",431,590,"1,021",440,557,997,"5,630","6,774","12,404"
이비인후과,317,454,771,346,606,952,358,476,834,377,645,"1,022",352,570,922,284,602,886,317,624,941,319,638,957,389,618,"1,007",279,566,845,335,590,925,426,664,"1,090","4,099","7,053","11,152"
비뇨의학과,234,"2,101","2,335",237,"2,379","2,616",335,"2,348","2,683",342,"2,426","2,768",298,"2,296","2,594",308,"2,454","2,762",422,"2,265","2,687",542,"2,594","3,136",407,"2,346","2,753",367,"2,495","2,862",464,"2,390","2,854",455,"2,594","3,049","4,411","28,688","33,099"
치과,271,"1,978","2,249",258,"1,743","2,001",278,"1,936","2,214",291,"2,146","2,437",290,"1,866","2,156",285,"1,708","1,993",326,"1,815","2,141",323,"1,929","2,252",305,"1,949","2,254",313,"1,909","2,222",303,"1,951","2,254",333,"1,808","2,141","3,576","22,738","26,314"
마취통증의학과,40,226,266,34,229,263,29,256,285,30,226,256,34,250,284,35,238,273,37,250,287,42,248,290,60,250,310,41,268,309,37,287,324,43,268,311,462,"2,996","3,458"
한방진료과,60,338,398,60,374,434,69,383,452,70,431,501,68,453,521,71,425,496,85,443,528,84,469,553,68,398,466,69,347,416,95,462,557,70,459,529,869,"4,982","5,851"
영상의학과,-,-,-,-,-,-,-,-,-,-,-,-,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,9
건강검진센터,"3,377",143,284,224,88,312,419,120,539,704,780,"1,484",504,185,689,781,256,"1,037",479,169,648,462,225,687,352,162,514,353,182,535,458,231,689,626,267,893,"8,739","2,808","8,311"
계,"6,950","23,072","30,022","6,981","24,003","30,984","8,270","24,297","32,567","8,470","23,474","31,944","7,263","23,065","30,328","7,203","23,939","31,142","6,735","23,023","29,758","7,360","25,493","32,853","6,847","23,927","30,774","11,690","24,625","36,315","7,624","24,346","31,970","7,080","24,890","31,970","92,473","288,154","380,627"
