구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
일반내과,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2
순환기내과,766,"6,942","7,708",728,"6,062","6,790",871,"7,551","8,422",782,"6,765","7,547",866,"7,284","8,150",884,"6,732","7,616",948,"7,230","8,178",916,"7,554","8,470","1,317","7,301","8,618","1,973","6,771","8,744",993,"7,717","8,710",832,"7,166","7,998","11,876","85,075","96,951"
호흡기·알레르기내과,486,"1,784","2,270",459,"1,828","2,287",577,"1,837","2,414",428,"1,879","2,307",582,"2,170","2,752",557,"1,903","2,460",614,"1,944","2,558",671,"2,360","3,031",594,"2,332","2,926","1,102","2,166","3,268",589,"2,465","3,054",623,"2,482","3,105","7,282","25,150","32,432"
내분비내과,395,"4,388","4,783",349,"3,730","4,079",304,"4,065","4,369",376,"4,009","4,385",353,"4,105","4,458",422,"4,177","4,599",343,"3,700","4,043",354,"4,424","4,778",328,"4,215","4,543",352,"3,578","3,930",521,"4,254","4,775",434,"4,171","4,605","4,531","48,816","53,347"
감염내과,762,194,956,923,756,"1,679",955,762,"1,717",509,232,741,479,193,672,419,70,489,853,140,993,"1,004",373,"1,377","2,147",569,"2,716","5,461",262,"5,723","1,532",233,"1,765",584,138,722,"15,628","3,922","19,550"
소화기내과,"1,189","3,578","4,767",894,"3,361","4,255",817,"3,344","4,161",937,"3,242","4,179",872,"2,850","3,722",859,"2,805","3,664",855,"2,982","3,837","1,018","2,838","3,856",969,"2,935","3,904","1,096","3,069","4,165",906,"2,978","3,884",861,"2,778","3,639","11,273","36,760","48,033"
혈액종양내과,345,"1,365","1,710",205,"1,107","1,312",333,"1,096","1,429",359,"1,312","1,671",511,"1,318","1,829",410,"1,214","1,624",389,"1,314","1,703",353,"1,474","1,827",318,"1,365","1,683",832,"1,256","2,088",558,"1,481","2,039",389,"1,421","1,810","5,002","15,723","20,725"
신장내과,336,"2,278","2,614",274,"2,042","2,316",390,"2,152","2,542",377,"2,280","2,657",319,"2,257","2,576",365,"2,250","2,615",301,"2,071","2,372",346,"2,490","2,836",364,"2,246","2,610","1,023","2,313","3,336",403,"2,333","2,736",321,"2,376","2,697","4,819","27,088","31,907"
류마티스내과,107,918,"1,025",89,868,957,94,980,"1,074",89,934,"1,023",88,922,"1,010",75,945,"1,020",87,832,919,116,961,"1,077",111,930,"1,041",907,971,"1,878",98,941,"1,039",83,"1,006","1,089","1,944","11,208","13,152"
소아청소년과,103,83,186,84,73,157,123,62,185,54,126,180,40,25,65,49,36,85,254,58,312,242,47,289,55,43,98,242,49,291,110,42,152,56,34,90,"1,412",678,"2,090"
