"년도","병원명","진료과명","국사비구분","입원외래구분","진료인원"
"2012","중앙보훈병원","내과","국비","입원진료인원","66146"
"2012","중앙보훈병원","소아청소년","국비","입원진료인원","0"
"2012","중앙보훈병원","신경외과","국비","입원진료인원","24568"
"2012","중앙보훈병원","일반외과","국비","입원진료인원","9116"
"2012","중앙보훈병원","흉부외과","국비","입원진료인원","7880"
"2012","중앙보훈병원","정형외과","국비","입원진료인원","39724"
"2012","중앙보훈병원","성형외과","국비","입원진료인원","407"
"2012","중앙보훈병원","신경과","국비","입원진료인원","7590"
"2012","중앙보훈병원","정신과","국비","입원진료인원","19934"
"2012","중앙보훈병원","산부인과","국비","입원진료인원","17"
"2012","중앙보훈병원","안과","국비","입원진료인원","1735"
"2012","중앙보훈병원","이비인후과","국비","입원진료인원","4019"
"2012","중앙보훈병원","피부과","국비","입원진료인원","233"
"2012","중앙보훈병원","비뇨기과","국비","입원진료인원","4256"
"2012","중앙보훈병원","재활의학과","국비","입원진료인원","18586"
"2012","중앙보훈병원","치과","국비","입원진료인원","639"
"2012","중앙보훈병원","건강관리과","국비","입원진료인원","0"
"2012","중앙보훈병원","가정의학과","국비","입원진료인원","1349"
"2012","중앙보훈병원","마취통증","국비","입원진료인원","429"
"2012","중앙보훈병원","응급의학과","국비","입원진료인원","0"
"2012","중앙보훈병원","한방진료","국비","입원진료인원","0"
"2012","중앙보훈병원","방사선","국비","입원진료인원","0"
"2012","중앙보훈병원","호스피스","국비","입원진료인원","4482"
"2012","중앙보훈병원","욕창센터","국비","입원진료인원","2851"
"2012","중앙보훈병원","기타","국비","입원진료인원","0"
"2012","부산보훈병원","내과","국비","입원진료인원","56933"
"2012","부산보훈병원","소아청소년","국비","입원진료인원","0"
"2012","부산보훈병원","신경외과","국비","입원진료인원","28311"
"2012","부산보훈병원","일반외과","국비","입원진료인원","1583"
"2012","부산보훈병원","흉부외과","국비","입원진료인원","0"
"2012","부산보훈병원","정형외과","국비","입원진료인원","26035"
"2012","부산보훈병원","성형외과","국비","입원진료인원","0"
"2012","부산보훈병원","신경과","국비","입원진료인원","3758"
"2012","부산보훈병원","정신과","국비","입원진료인원","0"
"2012","부산보훈병원","산부인과","국비","입원진료인원","0"
"2012","부산보훈병원","안과","국비","입원진료인원","651"
"2012","부산보훈병원","이비인후과","국비","입원진료인원","374"
"2012","부산보훈병원","피부과","국비","입원진료인원","0"
"2012","부산보훈병원","비뇨기과","국비","입원진료인원","3701"
"2012","부산보훈병원","재활의학과","국비","입원진료인원","6712"
"2012","부산보훈병원","치과","국비","입원진료인원","0"
"2012","부산보훈병원","건강관리과","국비","입원진료인원","0"
"2012","부산보훈병원","가정의학과","국비","입원진료인원","7916"
"2012","부산보훈병원","마취통증","국비","입원진료인원","0"
"2012","부산보훈병원","응급의학과","국비","입원진료인원","0"
"2012","부산보훈병원","한방진료","국비","입원진료인원","0"
"2012","부산보훈병원","방사선","국비","입원진료인원","0"
"2012","부산보훈병원","호스피스","국비","입원진료인원","0"
"2012","부산보훈병원","욕창센터","국비","입원진료인원","0"
"2012","부산보훈병원","기타","국비","입원진료인원","0"
"2012","부산보훈병원","정산조정","국비","입원진료인원","0"
"2012","광주보훈병원","내과","국비","입원진료인원","51930"
"2012","광주보훈병원","소아청소년","국비","입원진료인원","0"
"2012","광주보훈병원","신경외과","국비","입원진료인원","5604"
"2012","광주보훈병원","일반외과","국비","입원진료인원","8850"
"2012","광주보훈병원","흉부외과","국비","입원진료인원","1593"
"2012","광주보훈병원","정형외과","국비","입원진료인원","15468"
"2012","광주보훈병원","성형외과","국비","입원진료인원","0"
"2012","광주보훈병원","신경과","국비","입원진료인원","2882"
"2012","광주보훈병원","정신과","국비","입원진료인원","0"
"2012","광주보훈병원","산부인과","국비","입원진료인원","0"
"2012","광주보훈병원","안과","국비","입원진료인원","242"
"2012","광주보훈병원","이비인후과","국비","입원진료인원","36"
"2012","광주보훈병원","피부과","국비","입원진료인원","0"
"2012","광주보훈병원","비뇨기과","국비","입원진료인원","2216"
"2012","광주보훈병원","재활의학과","국비","입원진료인원","17490"
"2012","광주보훈병원","치과","국비","입원진료인원","0"
"2012","광주보훈병원","건강관리과","국비","입원진료인원","0"
"2012","광주보훈병원","가정의학과","국비","입원진료인원","8425"
"2012","광주보훈병원","마취통증","국비","입원진료인원","0"
"2012","광주보훈병원","응급의학과","국비","입원진료인원","0"
"2012","광주보훈병원","한방진료","국비","입원진료인원","0"
"2012","광주보훈병원","방사선","국비","입원진료인원","0"
"2012","광주보훈병원","호스피스","국비","입원진료인원","0"
"2012","광주보훈병원","욕창센터","국비","입원진료인원","0"
"2012","광주보훈병원","기타","국비","입원진료인원","0"
"2012","대구보훈병원","내과","국비","입원진료인원","59648"
"2012","대구보훈병원","소아청소년","국비","입원진료인원","0"
"2012","대구보훈병원","신경외과","국비","입원진료인원","14253"
"2012","대구보훈병원","일반외과","국비","입원진료인원","6081"
"2012","대구보훈병원","흉부외과","국비","입원진료인원","0"
"2012","대구보훈병원","정형외과","국비","입원진료인원","9101"
"2012","대구보훈병원","성형외과","국비","입원진료인원","0"
"2012","대구보훈병원","신경과","국비","입원진료인원","3713"
"2012","대구보훈병원","정신과","국비","입원진료인원","0"
"2012","대구보훈병원","산부인과","국비","입원진료인원","0"
"2012","대구보훈병원","안과","국비","입원진료인원","274"
"2012","대구보훈병원","이비인후과","국비","입원진료인원","150"
"2012","대구보훈병원","피부과","국비","입원진료인원","112"
"2012","대구보훈병원","비뇨기과","국비","입원진료인원","2690"
"2012","대구보훈병원","재활의학과","국비","입원진료인원","16384"
"2012","대구보훈병원","치과","국비","입원진료인원","0"
