진료과별,소속부서,보유장비,내용
내과,소화기(내시경실),위내시경,"상하부 위장 질환, 간질환 위암, 간암진단 및 치료, 내시경"
내과,소화기(내시경실),S상 결장경,역행성 담췌관조영술(ERCP)
내과,소화기(내시경실),초음파 내시경,치료내시경(용종절제술/EVL/헤모클립 지혈술/내시경적 점막절제술)
내과,순환기(심혈관조영실),심혈관조영기,심장질환과 혈관질환에 대해 전박적인 검사 및 치료 시행
내과,순환기(심혈관조영실),(Angio),"고혈압, 심부전증, 심장판막질환, 동맥경화증, 고지혈증, 부정맥, 협심증"
내과,순환기(심혈관조영실),심장초음파,"심방세동, 허혈성 심질환 진단 및 치료"
내과,순환기(심혈관조영실),심운동부하검사,"관상동맥 조영술, 경피적 혈관내 금속스텐트 삽입술, 풍선혈관성형술"
내과,순환기(심혈관조영실),동맥경화검사,"말초혈관성형술(상, 하지), 경동맥혈관 성형술"
내과,순환기(심혈관조영실),,영구적 심장박동기 삽입술
내과,호흡기,흉부 CT,"호흡기질환(만성 폐쇄성 폐질환, 폐렴 , 호흡부전, 폐암, 결액) 간질성 폐질환"
내과,호흡기,폐용량 및 폐기능검사기,"(폐섬유화증 포함), 만성기침, 천식, 기관지 확장증, 흉막염, 급성 성인형"
내과,호흡기,기관지내시경검사,호흡 곤란 증후군등 인공호흡기가 필요한 중증 호흡기 질환 등을 진료
내과,내분비,골밀도검사,"당뇨병, 갑상선질환, 뇌하수체질환, 골다공증 및 갱년기증후군, 비만 및"
내과,내분비,체성분검사,기타 내분비 질횐 진단 및 치료
내과,내분비,자율신경기능검사,
내과,신장(인공신장실),혈액투석기(31대),"급 만성 신부전증, 당뇨병, 고협압, 전해질장애 진단 및 치료"
내과,신장(인공신장실),,"인공신장실(혈액투석, 복만투석환자 치료 )"
내과,혈액종양내과,,각종 혈액 질환과 종양의 진단과 치료
내과,감염내과,,"세균, 바이러스, 기생충 등 미생물의 인체 감염에 의한 질환 진료"
내과,감염내과,,"감기, 인플루엔자, 폐렴, 폐외 결핵, 패혈증, 신우신염, 매독, 에이즈, 말라리아, 쯔쯔가무시, 감염성 설사, 피부 감염 등의 감염질환"
내과,감염내과,,"증상으로는 발열, 오한, 전신통, 인후통, 기침, 배뇨통, 설사, 피부 발진, 피부 농양, 임파선 종대 등의 증상을 진료 "
소아청소년과,"클리닉(성 조숙증, 소아알레르기신생아 및 미숙아영유아, 소아발달장애비만 치 저신장, 소아당뇨)",,급성 호흡기 질환 및 소화기질환 치료
소아청소년과,"클리닉(성 조숙증, 소아알레르기신생아 및 미숙아영유아, 소아발달장애비만 치 저신장, 소아당뇨)",,"환경오염으로 점점 증가하는 알레르기 환자와 기후의 변화 , 환경호르몬 영향"
소아청소년과,"클리닉(성 조숙증, 소아알레르기신생아 및 미숙아영유아, 소아발달장애비만 치 저신장, 소아당뇨)",,으로 급속도로 증가 중인 성조숙증 환자 진료
소아청소년과,"클리닉(성 조숙증, 소아알레르기신생아 및 미숙아영유아, 소아발달장애비만 치 저신장, 소아당뇨)",,"비염, 천식, 중증 아토피 환자를 대상으로 알레르기 면역치료 시행"
소아청소년과,"클리닉(성 조숙증, 소아알레르기신생아 및 미숙아영유아, 소아발달장애비만 치 저신장, 소아당뇨)",,"모세기관지염, 페렴, 장염 등의 급성질환 체계적 치료"
소아청소년과,소아 심장학,심장초음파,소아심장질환 (심전도 및 심초음파실) 전문적 치료
소아청소년과,소아 신경학,뇌파검사,소아신경학 치료
소아청소년과,신생아실,인큐베이터실,신생아실은 미숙아를 집중 치료 
신경과,뇌신경센터,뇌 자기공명영상진단기(MRI),"인체의 신경계(중추 신경계, 말초신경계)와 관련된 질병 치료"
신경과,뇌신경센터,뇌 단층촬영기,"뇌혈관 의 이상에 의해 발샹하는 반산마비, 구언장애, 의식장애 등을 다루는 "
신경과,뇌신경센터,뇌 양전자단층촬영(Pet-ct),"뇌졸증 분야,  뇌허혈에 의한 경색, 뇌출혈, 뇌혈관 기형 등 뇌에서 일어나는"
신경과,뇌신경센터,비디오 안진검사,혈관과 관련된 질환 치료
신경과,뇌신경센터,뇌파검사,"손발저림, 근육위약과 위축 등 말초신경계를 다루는 말초신경 및 근육질환 분야"
신경과,뇌신경센터,자율신경검사기,"파킨슨 병과 간은 운동장애를 다루는 운동질환 분야, 간질,  알츠하이머병,"
신경과,뇌신경센터,근전도 검사,"인지 기능 저하와 관련된 치매, 신경계 감염 분야와 어지러움증, 안과 이상 을 "
신경과,뇌신경센터,경동맥초음파,"다루는 신경이안과, 두통 등 신경계 종양 분야 치료"
신경과,신경심리실,,임상심리사가 신경심리검사를 통해 신경계와 관련된 전문진단 검사 시행
