시뮬레이션회차,지표명,시뮬레이션값,전국평균,평가
2023,병상가동률(%),31.067187508114177,67.43,낮음 (전국평균 대비 46.1%)
2023,병상당의사수,0.09950823331349577,0.1671,낮음 (전국평균 대비 59.6%)
2023,의사당입원환자수,0.44510654490106544,4.0327,낮음 (전국평균 대비 11.0%)
2023,의사당외래환자수,6.32958487352323,10.625,낮음 (전국평균 대비 59.6%)
2023,외래대비입원비율,0.07767065034411802,0.3795,낮음 (전국평균 대비 20.5%)
2023,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
2024,병상가동률(%),30.402649019681064,67.43,낮음 (전국평균 대비 45.1%)
2024,병상당의사수,0.09913061851845915,0.1671,낮음 (전국평균 대비 59.3%)
2024,의사당입원환자수,0.43503565511784686,4.0327,낮음 (전국평균 대비 10.8%)
2024,의사당외래환자수,6.367144517582873,10.625,낮음 (전국평균 대비 59.9%)
2024,외래대비입원비율,0.07561754444153702,0.3795,낮음 (전국평균 대비 19.9%)
2024,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
2025,병상가동률(%),28.846629045893764,67.43,낮음 (전국평균 대비 42.8%)
2025,병상당의사수,0.09903026754836353,0.1671,낮음 (전국평균 대비 59.3%)
2025,의사당입원환자수,0.4136532549576028,4.0327,낮음 (전국평균 대비 10.3%)
2025,의사당외래환자수,6.444446607921891,10.625,낮음 (전국평균 대비 60.7%)
2025,외래대비입원비율,0.07028764080383088,0.3795,낮음 (전국평균 대비 18.5%)
2025,고가도지표,0.9999999999999998,1.0,적정 (전국평균 대비 100.0%)
2026,병상가동률(%),28.59726237377576,67.43,낮음 (전국평균 대비 42.4%)
2026,병상당의사수,0.0992460569989055,0.1671,낮음 (전국평균 대비 59.4%)
2026,의사당입원환자수,0.40843989400828545,4.0327,낮음 (전국평균 대비 10.1%)
2026,의사당외래환자수,6.469232803149769,10.625,낮음 (전국평균 대비 60.9%)
2026,외래대비입원비율,0.06966313303300967,0.3795,낮음 (전국평균 대비 18.4%)
2026,고가도지표,1.0000000000000002,1.0,적정 (전국평균 대비 100.0%)
2027,병상가동률(%),29.77113113244575,67.43,낮음 (전국평균 대비 44.2%)
2027,병상당의사수,0.09924138313576573,0.1671,낮음 (전국평균 대비 59.4%)
2027,의사당입원환자수,0.420428069616539,4.0327,낮음 (전국평균 대비 10.4%)
2027,의사당외래환자수,6.424390437040888,10.625,낮음 (전국평균 대비 60.5%)
2027,외래대비입원비율,0.074429573036744,0.3795,낮음 (전국평균 대비 19.6%)
2027,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
