"구분","상병코드","상병명칭","연령별 합계","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원(실인원)","I10~I13, I15","고혈압","54","3","2","6","32","10","1"
"입원(실인원)","E10~E14","당뇨병","144","7","2","6","121","8","0"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","6","1","2","0","2","0","1"
"입원(실인원)","A15, A16, A19","호흡기결핵","13","0","1","1","7","4","0"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","1088","15","22","54","845","125","27"
"입원(실인원)","I60~I69","대뇌혈관질환","137","10","3","3","106","10","5"
"입원(실인원)","G00~G37, G43~G83","신경계질환","72","5","2","5","57","2","1"
"입원(실인원)","C00~C97, D00~D09","악성신생물","525","28","21","25","358","82","11"
"입원(실인원)","E00~E07","갑상선의 장애","3","0","0","0","1","2","0"
"입원(실인원)","B18, B19, K70~K77","간의 질환","79","6","7","5","53","7","1"
"입원(실인원)","N18","만성신부전증","54","0","1","3","41","7","2"
"입원(연인원)","I10~I13, I15","고혈압","623","12","26","26","390","159","10"
"입원(연인원)","E10~E14","당뇨병","5026","276","48","144","4234","324","0"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","172","16","91","0","17","0","48"
"입원(연인원)","A15, A16, A19","호흡기결핵","369","0","3","14","247","105","0"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","7882","63","104","285","5768","1399","263"
"입원(연인원)","I60~I69","대뇌혈관질환","7821","663","194","290","6014","513","147"
"입원(연인원)","G00~G37, G43~G83","신경계질환","4480","417","80","440","3379","150","14"
"입원(연인원)","C00~C97, D00~D09","악성신생물","14240","461","404","521","10156","2381","317"
"입원(연인원)","E00~E07","갑상선의 장애","64","0","0","0","16","48","0"
"입원(연인원)","B18, B19, K70~K77","간의 질환","2369","310","278","130","1426","201","24"
"입원(연인원)","N18","만성신부전증","1813","0","1","217","1496","78","21"
"외래","I10~I13, I15","고혈압","20042","831","772","1533","14213","2255","438"
"외래","E10~E14","당뇨병","26141","1121","1072","2091","19059","2460","338"
"외래","F00~F99, G40~G41","정신 및 행동장애","19341","1402","654","1199","12553","2830","703"
"외래","A15, A16, A19","호흡기결핵","197","0","18","29","125","20","5"
"외래","I05~I09, I20~I27, I30~I52","심장질환","20056","377","518","1133","15239","2338","451"
"외래","I60~I69","대뇌혈관질환","12716","700","308","538","9419","1446","305"
"외래","G00~G37, G43~G83","신경계질환","7227","606","212","426","5219","676","88"
"외래","C00~C97, D00~D09","악성신생물","15518","310","231","713","12276","1760","228"
"외래","E00~E07","갑상선의 장애","2957","318","194","314","1841","251","39"
"외래","B18, B19, K70~K77","간의 질환","4546","557","306","390","3006","266","21"
"외래","N18","만성신부전증","14458","709","558","880","10203","1667","441"
