구분,상병코드,상병명칭,59이하,60-64,65-69,70-79,80-89,90이상
입원(실인원),"I10~I13, I15",고혈압,1,,,23,5,7
입원(실인원),E10~E14,당뇨병,8,2,10,147,52,2
입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,2,,,6,1,2
입원(실인원),"A15, A16, A19",호흡기결핵,1,3,6,61,9,11
입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,3,2,2,58,33,10
입원(실인원),I60~I69,대뇌혈관질환,14,5,4,68,14,1
입원(실인원),"G00~G37, G43~G83",신경계질환,36,15,60,165,96,34
입원(실인원),"C00~C97, D00~D09",악성신생물,2,,,1,,1
입원(실인원),E00~E07,갑상선의 장애,4,2,1,25,1,
입원(실인원),"B18, B19, K70~K77",간의 질환,249,148,243,2905,703,212
입원(실인원),N18,만성신부전증,6,2,3,74,35,9
입원(연인원),"I10~I13, I15",고혈압,5,,,430,18,328
입원(연인원),E10~E14,당뇨병,66,59,260,2995,943,13
입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,21,,,254,39,31
입원(연인원),"A15, A16, A19",호흡기결핵,1,7,11,227,41,352
입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,245,137,106,3048,1954,185
입원(연인원),I60~I69,대뇌혈관질환,1064,150,85,3329,946,4
입원(연인원),"G00~G37, G43~G83",신경계질환,712,277,1050,2808,2514,1105
입원(연인원),"C00~C97, D00~D09",악성신생물,11,,,105,,3
입원(연인원),E00~E07,갑상선의 장애,32,5,3,159,1,
입원(연인원),"B18, B19, K70~K77",간의 질환,2858,2299,2656,37572,12368,5018
입원(연인원),N18,만성신부전증,10,2,9,1518,332,261
외래,"I10~I13, I15",고혈압,925,698,1197,9109,2008,658
외래,E10~E14,당뇨병,1175,1051,1443,14118,2522,365
외래,"F00~F99, G40~G41",정신 및 행동장애,1273,373,807,9105,3378,1098
외래,"A15, A16, A19",호흡기결핵,6,,,29,,10
외래,"I05~I09, I20~I27, I30~I52",심장질환,224,167,379,5987,1317,440
외래,I60~I69,대뇌혈관질환,412,314,751,10104,2531,609
외래,"G00~G37, G43~G83",신경계질환,1347,378,500,5181,898,234
외래,"C00~C97, D00~D09",악성신생물,305,248,506,4101,1534,327
외래,E00~E07,갑상선의 장애,315,125,180,1093,202,50
외래,"B18, B19, K70~K77",간의 질환,816,284,385,1844,320,43
외래,N18,만성신부전증,884,655,418,4529,1702,690
