"구분","상병명 코드","상병명 명칭","연령별(59이하)","연령별(60-64)","연령별(65-69)","연령별(70-79)","연령별(80-89)","연령별(90이상)"
"입원(실인원)","I10~I13, I15","고혈압","0","0","0","4","2","2"
"입원(실인원)","E10~E14","당뇨병","2","2","7","42","16","13"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","0","0","0","34","12","2"
"입원(실인원)","A15, A16, A19","호흡기결핵","0","0","0","2","1","0"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","0","0","0","3","4","2"
"입원(실인원)","I60~I69","대뇌혈관질환","2","0","1","34","10","4"
"입원(실인원)","G00~G37, G43~G83","신경계질환","0","1","2","30","12","1"
"입원(실인원)","C00~C97, D00~D09","악성신생물","0","2","3","59","28","38"
"입원(실인원)","E00~E07","갑상선의 장애","0","0","0","2","0","0"
"입원(실인원)","B18, B19, K70~K77","간의 질환","3","3","0","6","1","0"
"입원(실인원)","N18","만성신부전증","0","0","0","1","0","1"
"입원(연인원)","I10~I13, I15","고혈압","0","0","0","17","60","25"
"입원(연인원)","E10~E14","당뇨병","38","20","173","771","248","349"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","0","0","0","243","76","43"
"입원(연인원)","A15, A16, A19","호흡기결핵","0","0","0","27","18","0"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","0","0","0","9","63","61"
"입원(연인원)","I60~I69","대뇌혈관질환","104","0","67","823","527","109"
"입원(연인원)","G00~G37, G43~G83","신경계질환","0","1","7","806","517","61"
"입원(연인원)","C00~C97, D00~D09","악성신생물","0","37","17","1007","579","1563"
"입원(연인원)","E00~E07","갑상선의 장애","0","0","0","15","0","0"
"입원(연인원)","B18, B19, K70~K77","간의 질환","36","197","0","61","1","0"
"입원(연인원)","N18","만성신부전증","0","0","0","7","0","13"
"외래","I10~I13, I15","고혈압","535","551","833","6194","1438","638"
"외래","E10~E14","당뇨병","524","361","665","4941","994","272"
"외래","F00~F99, G40~G41","정신 및 행동장애","40","30","112","1611","796","410"
"외래","A15, A16, A19","호흡기결핵","18","0","0","23","12","8"
"외래","I05~I09, I20~I27, I30~I52","심장질환","12","26","21","474","153","76"
"외래","I60~I69","대뇌혈관질환","269","44","346","2307","917","260"
"외래","G00~G37, G43~G83","신경계질환","631","60","443","3781","1001","124"
"외래","C00~C97, D00~D09","악성신생물","25","44","43","1389","316","193"
"외래","E00~E07","갑상선의 장애","81","33","32","232","52","12"
"외래","B18, B19, K70~K77","간의 질환","187","63","67","266","44","0"
"외래","N18","만성신부전증","0","3","0","57","18","4"
