"구분","상병명 코드","상병명 명칭","연령별(59이하)","연령별(60-64)","연령별(65-69)","연령별(70-79)","연령별(80-89)","연령별(90이상)"
"입원(실인원)","I10~I13, I15","고혈압","0","0","0","2","0","6"
"입원(실인원)","E10~E14","당뇨병","5","1","4","42","15","2"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","0","0","0","4","2","0"
"입원(실인원)","A15, A16, A19","호흡기결핵","0","0","0","0","0","0"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","0","0","0","0","2","1"
"입원(실인원)","I60~I69","대뇌혈관질환","0","0","1","8","4","1"
"입원(실인원)","G00~G37, G43~G83","신경계질환","3","0","1","16","2","0"
"입원(실인원)","C00~C97, D00~D09","악성신생물","2","5","0","34","26","19"
"입원(실인원)","E00~E07","갑상선의 장애","0","0","0","0","0","0"
"입원(실인원)","B18, B19, K70~K77","간의 질환","1","1","1","4","0","0"
"입원(실인원)","N18","만성신부전증","0","0","0","0","0","0"
"입원(연인원)","I10~I13, I15","고혈압","0","0","0","24","0","151"
"입원(연인원)","E10~E14","당뇨병","49","12","31","689","325","101"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","0","0","0","40","8","0"
"입원(연인원)","A15, A16, A19","호흡기결핵","0","0","0","0","0","0"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","0","0","0","0","4","36"
"입원(연인원)","I60~I69","대뇌혈관질환","0","0","13","240","53","20"
"입원(연인원)","G00~G37, G43~G83","신경계질환","84","0","7","548","87","0"
"입원(연인원)","C00~C97, D00~D09","악성신생물","5","71","0","501","569","552"
"입원(연인원)","E00~E07","갑상선의 장애","0","0","0","0","0","0"
"입원(연인원)","B18, B19, K70~K77","간의 질환","18","8","19","24","0","0"
"입원(연인원)","N18","만성신부전증","0","0","0","0","0","0"
"외래","I10~I13, I15","고혈압","524","620","881","6659","1543","603"
"외래","E10~E14","당뇨병","480","366","641","4416","827","216"
"외래","F00~F99, G40~G41","정신 및 행동장애","46","38","114","1484","706","251"
"외래","A15, A16, A19","호흡기결핵","0","0","0","0","0","0"
"외래","I05~I09, I20~I27, I30~I52","심장질환","26","29","47","608","224","114"
"외래","I60~I69","대뇌혈관질환","108","109","301","2664","825","179"
"외래","G00~G37, G43~G83","신경계질환","543","87","402","4011","429","92"
"외래","C00~C97, D00~D09","악성신생물","55","37","37","1457","370","136"
"외래","E00~E07","갑상선의 장애","58","21","24","211","42","5"
"외래","B18, B19, K70~K77","간의 질환","231","82","86","482","39","4"
"외래","N18","만성신부전증","0","4","0","55","11","0"
