"구분","상병코드","상병명칭","합계","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원(실인원)","I10~I13, I15","고혈압","47","4","","","26","14","3"
"입원(실인원)","E10~E14","당뇨병","241","11","9","9","175","33","4"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","4","","","","4","",""
"입원(실인원)","A15, A16, A19","호흡기결핵","4","","","","","1","3"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","959","19","29","60","670","136","45"
"입원(실인원)","I60~I69","대뇌혈관질환","79","4","2","5","35","21","12"
"입원(실인원)","G00~G37, G43~G83","신경계질환","54","1","2","2","42","7",""
"입원(실인원)","C00~C97, D00~D09","악성신생물","207","7","2","9","147","29","13"
"입원(실인원)","E00~E07","갑상선의 장애","3","","","1","","1","1"
"입원(실인원)","B18, B19, K70~K77","간의 질환","19","1","1","1","7","8","1"
"입원(실인원)","N18","만성신부전증","102","4","7","6","58","14","13"
"입원(연인원)","I10~I13, I15","고혈압","1657","10","","","1033","489","125"
"입원(연인원)","E10~E14","당뇨병","11572","263","465","214","9318","961","351"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","102","","","","102","",""
"입원(연인원)","A15, A16, A19","호흡기결핵","139","","","","","27","112"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","13753","94","264","211","7801","3824","1559"
"입원(연인원)","I60~I69","대뇌혈관질환","4409","148","11","188","3079","767","216"
"입원(연인원)","G00~G37, G43~G83","신경계질환","2889","261","80","68","1788","692",""
"입원(연인원)","C00~C97, D00~D09","악성신생물","4946","248","7","314","3412","616","349"
"입원(연인원)","E00~E07","갑상선의 장애","175","","","35","","16","124"
"입원(연인원)","B18, B19, K70~K77","간의 질환","1349","49","40","12","418","796","34"
"입원(연인원)","N18","만성신부전증","11137","154","307","2196","5601","2119","760"
"외래","I10~I13, I15","고혈압","23194","1261","1386","2312","14212","3106","917"
"외래","E10~E14","당뇨병","24795","1416","1304","2229","16510","2767","569"
"외래","F00~F99, G40~G41","정신 및 행동장애","15513","982","519","891","7362","4330","1429"
"외래","A15, A16, A19","호흡기결핵","36","1","1","","19","3","12"
"외래","I05~I09, I20~I27, I30~I52","심장질환","22880","675","678","1447","16162","3235","683"
"외래","I60~I69","대뇌혈관질환","13516","340","434","968","8738","2468","568"
"외래","G00~G37, G43~G83","신경계질환","16721","1149","646","923","12383","1308","312"
"외래","C00~C97, D00~D09","악성신생물","9770","245","142","345","6664","1873","501"
"외래","E00~E07","갑상선의 장애","5175","445","322","796","3106","431","75"
"외래","B18, B19, K70~K77","간의 질환","3244","697","339","356","1695","143","14"
"외래","N18","만성신부전증","7971","802","508","282","4973","852","554"
