"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함여부","약제비포함여부","특이사항"
"중앙","기본초음파-단순초음파","기본초음파-단순초음파(Ⅰ)","EB401","SEB401","16720","","","","",""
"중앙","기본초음파-단순초음파","기본초음파-단순초음파(Ⅱ)","EB402","SEB402","33450","","","","",""
"중앙","초음파 검사료","내시경 초음파를 이용한 세침 흡인 세포 검사","EZ992","SEZ992","800000","","","","",""
"중앙","초음파 검사료","복부-소아 복부 초음파(만8세 미만)","EB458","SEB458","239200","","","","",""
"중앙","초음파 검사료","유도초음파-(조영)유도초음파(Ⅳ)","EB564020","SEB564020","445370","","","","",""
"중앙","유도초음파-유도초음파","유도초음파-유도초음파(Ⅰ)","EB561","SEB561","57090","","","","",""
"중앙","유도초음파-유도초음파","유도초음파-유도초음파(Ⅱ)","EB562","SEB562","114200","","","","",""
"중앙","유도초음파-유도초음파","유도초음파-유도초음파(Ⅲ)","EB563","SEB563","137030","","","","",""
"중앙","유도초음파-유도초음파","유도초음파-유도초음파(Ⅳ)","EB564","SEB564","342580","","","","",""
"중앙","기능 검사료(호흡기기능검사)","정량적감각기능검사","FY883","SZ10900","30000","","","","",""
"중앙","진단초음파-복부","진단초음파-(도플러)복부-항문초음파만 시행한 경우","EB447010","SEB44701","129490","","","","",""
"중앙","진단초음파-임산부","진단초음파-2태아임산부-(고위험임신)제2,3삼분기","EB516","SEB51601","222425","","","","",""
"중앙","진단초음파-임산부","진단초음파-2태아임산부-(기형아정밀계측)제1삼분기","EB514","SEB51401","299670","","","","",""
"중앙","진단초음파-임산부","진단초음파-2태아임산부-(기형아정밀계측)제2,3삼분기","EB518","SEB51801","465375","","","","",""
"중앙","진단초음파-임산부","진단초음파-2태아임산부-(일반)제1삼분기","EB511","SEB51101","130935","","","","",""
"중앙","진단초음파-임산부","진단초음파-2태아임산부-(일반)제2,3삼분기","EB515","SEB51501","185355","","","","",""
"중앙","진단초음파-임산부","진단초음파-2태아임산부-(임신여부만 확인)제1삼분기","EB512","SEB51201","88860","","","","",""
"중앙","진단초음파-임산부","진단초음파-2태아임산부-(정밀)제1삼분기","EB513","SEB51301","233670","","","","",""
"중앙","진단초음파-임산부","진단초음파-2태아임산부-(정밀)제2,3삼분기","EB517","SEB51701","397260","","","","",""
"중앙","진단초음파-임산부","진단초음파-3태아임산부-(고위험임신)제2,3삼분기","EB516","SEB51602","284210","","","","",""
"중앙","진단초음파-임산부","진단초음파-3태아임산부-(기형아정밀계측)제1삼분기","EB514","SEB51402","399560","","","","",""
"중앙","진단초음파-임산부","진단초음파-3태아임산부-(기형아정밀계측)제2,3삼분기","EB518","SEB51802","620500","","","","",""
"중앙","진단초음파-임산부","진단초음파-3태아임산부-(일반)제1삼분기","EB511","SEB51102","174580","","","","",""
"중앙","진단초음파-임산부","진단초음파-3태아임산부-(일반)제2,3삼분기","EB515","SEB51502","247140","","","","",""
"중앙","진단초음파-임산부","진단초음파-3태아임산부-(임신여부만 확인)제1삼분기","EB512","SEB51202","118480","","","","",""
"중앙","진단초음파-임산부","진단초음파-3태아임산부-(정밀)제1삼분기","EB513","SEB51302","311560","","","","",""
"중앙","진단초음파-임산부","진단초음파-3태아임산부-(정밀)제2,3삼분기","EB517","SEB51702","529680","","","","",""
"중앙","진단초음파-두경부","진단초음파-경부-(도플러)갑상선·부갑상선","EB414010","SEB41401","108930","","","","",""
"중앙","진단초음파-두경부","진단초음파-경부-(도플러)갑상선·부갑상선 제외한 경부","EB415010","SEB41501","108930","","","","",""
"중앙","진단초음파-두경부","진단초음파-경부-갑상선·부갑상선","EB414","SEB414","99020","","","","",""
