"월","퇴원과","퇴원결과","건수"
"2022-01","재활의학과","경쾌","2"
"2022-01","호흡기내과","불변(호전안됨)","7"
"2022-01","류마티스내과","경쾌","1"
"2022-01","내분비내과","호전","2"
"2022-01","내과","호전","1"
"2022-02","안과","호전","12"
"2022-02","가정의학과","경쾌","1"
"2022-02","내과","호전","2"
"2022-02","류마티스내과","호전","4"
"2022-02","소화기내과","불변(호전안됨)","1"
"2022-03","호흡기내과","호전","43"
"2022-03","류마티스내과","48시간 후 사망","2"
"2022-03","심장내과","호전","9"
"2022-03","호흡기내과","48시간 후 사망","4"
"2022-04","류마티스내과","호전","22"
"2022-04","류마티스내과","경쾌","1"
"2022-04","신경과","48시간 후 사망","1"
"2022-04","정형외과","진단만실시","1"
"2022-04","혈액종양내과","경쾌","1"
"2022-05","신경과","호전","11"
"2022-05","소화기내과","48시간 후 사망","4"
"2022-05","내과","불변(호전안됨)","2"
"2022-05","이비인후과","경쾌","1"
"2022-05","안과","치료안함","1"
"2022-06","신경과","호전","13"
"2022-06","내과","호전","9"
"2022-06","정형외과","경쾌","5"
"2022-06","신경외과","경쾌","1"
"2022-06","정형외과","치료안함","1"
"2022-06","재활의학과","불변(호전안됨)","1"
"2022-07","혈액종양내과","48시간 후 사망","16"
"2022-07","내과","불변(호전안됨)","1"
"2022-07","가정의학과","호전","1"
"2022-08","소화기내과","48시간 전 사망","1"
"2022-08","류마티스내과","48시간 전 사망","1"
"2022-09","심장내과","경쾌","3"
"2022-09","호흡기내과","48시간 후 사망","2"
"2022-10","소화기내과","경쾌","54"
"2022-10","심장내과","경쾌","5"
"2022-10","호흡기내과","48시간 후 사망","2"
"2022-10","신장내과","호전","2"
"2022-11","소화기내과","호전","14"
"2022-11","비뇨의학과","진단만실시","4"
"2022-11","정형외과","진단만실시","3"
"2022-11","재활의학과","호전","1"
"2022-11","정형외과","불변(호전안됨)","4"
"2022-12","외과","호전","42"
"2022-12","이비인후과","경쾌","4"
"2022-12","정형외과","치료안함","2"
"2022-12","신경외과","호전","3"
"2022-01","호흡기내과","호전","37"
"2022-01","정형외과","호전","107"
"2022-01","내과","48시간 후 사망","1"
"2022-02","정형외과","호전","95"
"2022-02","심장내과","진단만실시","10"
"2022-03","내분비내과","호전","4"
"2022-03","신경과","호전","8"
"2022-03","류마티스내과","경쾌","3"
"2022-04","외과","호전","26"
"2022-04","심장내과","호전","11"
"2022-04","심장내과","불변(호전안됨)","2"
"2022-04","소화기내과","경쾌","49"
"2022-04","호흡기내과","경쾌","41"
"2022-04","정형외과","호전","134"
"2022-04","정형외과","경쾌","3"
"2022-04","혈액종양내과","48시간 후 사망","10"
"2022-04","신경과","경쾌","1"
"2022-04","류마티스내과","48시간 후 사망","1"
"2022-04","신경외과","호전","1"
"2022-05","소화기내과","진단만실시","2"
"2022-05","심장내과","48시간 전 사망","1"
"2022-05","가정의학과","불변(호전안됨)","1"
"2022-06","류마티스내과","호전","3"
"2022-06","외과","호전","48"
"2022-06","비뇨의학과","진단만실시","9"
"2022-06","내과","불변(호전안됨)","1"
"2022-06","호흡기내과","호전","4"
"2022-06","신장내과","호전","3"
"2022-07","심장내과","경쾌","1"
"2022-07","혈액종양내과","48시간 전 사망","1"
"2022-08","심장내과","호전","9"
"2022-08","심장내과","진단만실시","19"
"2022-08","이비인후과","경쾌","4"
"2022-08","소화기내과","진단만실시","2"
"2022-08","신장내과","경쾌","1"
"2022-09","내분비내과","호전","6"
"2022-09","안과","호전","22"
"2022-09","재활의학과","경쾌","10"
"2022-09","이비인후과","경쾌","3"
"2022-09","혈액종양내과","불변(호전안됨)","2"
"2022-09","외과","진단만실시","1"
"2022-10","외과","경쾌","1"
"2022-10","내과","호전","6"
"2022-10","정형외과","호전","142"
"2022-10","외과","호전","37"
"2022-10","내분비내과","불변(호전안됨)","1"
"2022-10","호흡기내과","호전","3"
"2022-10","비뇨의학과","진단만실시","7"
"2022-10","재활의학과","경쾌","1"
"2022-10","심장내과","48시간 후 사망","1"
"2022-10","신경과","불변(호전안됨)","2"
"2022-10","정형외과","치료안함","1"
"2022-10","이비인후과","경쾌","1"
"2022-11","심장내과","호전","12"
"2022-11","신장내과","호전","8"
"2022-11","신경과","불변(호전안됨)","2"
"2022-11","호흡기내과","경쾌","6"
"2022-11","신경외과","호전","3"
"2022-11","외과","불변(호전안됨)","1"
"2022-11","안과","치료안함","1"
"2022-12","혈액종양내과","48시간 후 사망","12"
"2022-12","정형외과","불변(호전안됨)","5"
"2022-12","신경외과","진단만실시","1"
"2022-12","소화기내과","48시간 후 사망","1"
"2022-12","가정의학과","48시간 후 사망","1"
"2022-01","호흡기내과","경쾌","26"
"2022-01","류마티스내과","호전","12"
"2022-01","소화기내과","불변(호전안됨)","1"
"2022-01","혈액종양내과","호전","7"
"2022-01","소화기내과","호전","22"
"2022-01","혈액종양내과","불변(호전안됨)","2"
"2022-01","소화기내과","48시간 후 사망","1"
"2022-01","정형외과","불변(호전안됨)","2"
"2022-01","내과","경쾌","1"
"2022-02","호흡기내과","호전","41"
"2022-02","혈액종양내과","48시간 후 사망","9"
"2022-02","정형외과","불변(호전안됨)","2"
"2022-02","이비인후과","경쾌","2"
"2022-03","혈액종양내과","48시간 후 사망","9"
"2022-03","가정의학과","불변(호전안됨)","1"
"2022-03","내과","불변(호전안됨)","1"
"2022-03","가정의학과","48시간 후 사망","4"
"2022-03","외과","불변(호전안됨)","1"
"2022-03","가정의학과","호전","1"
"2022-03","내과","48시간 후 사망","1"
"2022-04","안과","호전","20"
"2022-04","신장내과","호전","4"
"2022-04","호흡기내과","48시간 후 사망","4"
"2022-04","정형외과","불변(호전안됨)","6"
"2022-04","재활의학과","경쾌","3"
"2022-05","호흡기내과","불변(호전안됨)","1"
"2022-05","호흡기내과","진단만실시","1"
"2022-05","혈액종양내과","진단만실시","1"
"2022-05","소화기내과","불변(호전안됨)","2"
"2022-05","재활의학과","경쾌","1"
